Respuesta,Frecuencia,Asociación
derecho,29,0.033760186263096625
humano,16,0.018626309662398137
internacional,11,0.012805587892898719
reproductivo,8,0.009313154831199068
salud,7,0.008149010477299184
desarrollo,7,0.008149010477299184
1,7,0.008149010477299184
conferencia,7,0.008149010477299184
igualdad,7,0.008149010477299184
sexualidad,6,0.006984866123399301
mujer,6,0.006984866123399301
permitir,5,0.005820721769499418
discriminación,5,0.005820721769499418
adolescente,5,0.005820721769499418
construcción,4,0.004656577415599534
ámbito,4,0.004656577415599534
joven,4,0.004656577415599534
sida,4,0.004656577415599534
libertad,4,0.004656577415599534
político,4,0.004656577415599534
básico,3,0.0034924330616996507
trabajo,3,0.0034924330616996507
proceso,3,0.0034924330616996507
social,3,0.0034924330616996507
concepto,3,0.0034924330616996507
deber,3,0.0034924330616996507
población,3,0.0034924330616996507
información,3,0.0034924330616996507
propuesta,3,0.0034924330616996507
sexual,3,0.0034924330616996507
investigación,3,0.0034924330616996507
nacional,3,0.0034924330616996507
etapa,3,0.0034924330616996507
dirigir,3,0.0034924330616996507
contexto,3,0.0034924330616996507
niño,3,0.0034924330616996507
histórico,3,0.0034924330616996507
distinto,3,0.0034924330616996507
incluir,3,0.0034924330616996507
desarrollar,3,0.0034924330616996507
relación,3,0.0034924330616996507
plano,3,0.0034924330616996507
importancia,3,0.0034924330616996507
analizar,3,0.0034924330616996507
fundamental,3,0.0034924330616996507
generación,3,0.0034924330616996507
lucha,3,0.0034924330616996507
debate,3,0.0034924330616996507
respeto,3,0.0034924330616996507
civil,3,0.0034924330616996507
marco,3,0.0034924330616996507
1995,3,0.0034924330616996507
categoría,3,0.0034924330616996507
equidad,3,0.0034924330616996507
seguir,2,0.002328288707799767
red,2,0.002328288707799767
problema,2,0.002328288707799767
encontrar,2,0.002328288707799767
cultural,2,0.002328288707799767
país,2,0.002328288707799767
ejercicio,2,0.002328288707799767
programa,2,0.002328288707799767
factor,2,0.002328288707799767
organización,2,0.002328288707799767
mundial,2,0.002328288707799767
salud_sexual,2,0.002328288707799767
momento,2,0.002328288707799767
2,2,0.002328288707799767
definir,2,0.002328288707799767
punto,2,0.002328288707799767
género,2,0.002328288707799767
2006,2,0.002328288707799767
4,2,0.002328288707799767
derivar,2,0.002328288707799767
contenido,2,0.002328288707799767
fundamento,2,0.002328288707799767
expresión,2,0.002328288707799767
comportamiento_sexual,2,0.002328288707799767
sujeto,2,0.002328288707799767
transmisión,2,0.002328288707799767
prevención,2,0.002328288707799767
edad,2,0.002328288707799767
referencia,2,0.002328288707799767
privar,2,0.002328288707799767
reconocimiento,2,0.002328288707799767
característica,2,0.002328288707799767
persona,2,0.002328288707799767
fenómeno,2,0.002328288707799767
marcar,2,0.002328288707799767
entrada,2,0.002328288707799767
condición,2,0.002328288707799767
do,2,0.002328288707799767
consecuencia,2,0.002328288707799767
capacidad,2,0.002328288707799767
embarazo,2,0.002328288707799767
resultado,2,0.002328288707799767
11,2,0.002328288707799767
inicio,2,0.002328288707799767
