Respuesta,Frecuencia,Asociación
recibir,2,0.07407407407407407
tratamiento,2,0.07407407407407407
sospechoso,2,0.07407407407407407
caso,1,0.037037037037037035
respuesta,1,0.037037037037037035
definitivo,1,0.037037037037037035
do,1,0.037037037037037035
negativo,1,0.037037037037037035
ausencia,1,0.037037037037037035
paciente,1,0.037037037037037035
cultivo,1,0.037037037037037035
aislar,1,0.037037037037037035
microorganismo,1,0.037037037037037035
hialino,1,0.037037037037037035
uretritis,1,0.037037037037037035
gonocócico,1,0.037037037037037035
purulento,1,0.037037037037037035
frote,1,0.037037037037037035
gram,1,0.037037037037037035
552,1,0.037037037037037035
5521,1,0.037037037037037035
diplocococos,1,0.037037037037037035
gonorrea,1,0.037037037037037035
5522,1,0.037037037037037035
