Respuesta,Frecuencia,Asociación
determinar,5,0.012953367875647668
mujer,5,0.012953367875647668
pareja,4,0.010362694300518135
considerar,4,0.010362694300518135
deseo,4,0.010362694300518135
quedar,4,0.010362694300518135
fachada,3,0.007772020725388601
sexualidad,2,0.0051813471502590676
proceso,2,0.0051813471502590676
elemento,2,0.0051813471502590676
educación,2,0.0051813471502590676
asignatura,2,0.0051813471502590676
sexual,2,0.0051813471502590676
estudio,2,0.0051813471502590676
secundario,2,0.0051813471502590676
camino,2,0.0051813471502590676
implicar,2,0.0051813471502590676
hallar,2,0.0051813471502590676
cuerpo,2,0.0051813471502590676
objeto,2,0.0051813471502590676
razón,2,0.0051813471502590676
relación,2,0.0051813471502590676
escuela,2,0.0051813471502590676
ejemplo,2,0.0051813471502590676
valor,2,0.0051813471502590676
contraste,2,0.0051813471502590676
cambio,2,0.0051813471502590676
conducta,2,0.0051813471502590676
vida,2,0.0051813471502590676
canalizar,2,0.0051813471502590676
heterosexual,2,0.0051813471502590676
biológicamente,2,0.0051813471502590676
hombre,2,0.0051813471502590676
parecer,2,0.0051813471502590676
animalidad,2,0.0051813471502590676
exterior,2,0.0051813471502590676
hermoso,2,0.0051813471502590676
humanizante,2,0.0051813471502590676
ropa,2,0.0051813471502590676
elemental,2,0.0051813471502590676
enculturación,2,0.0051813471502590676
socialmente,2,0.0051813471502590676
vance,2,0.0051813471502590676
fertilidad,2,0.0051813471502590676
procreación,2,0.0051813471502590676
erótico,2,0.0051813471502590676
transformar,2,0.0051813471502590676
término,1,0.0025906735751295338
seguir,1,0.0025906735751295338
base,1,0.0025906735751295338
tratar,1,0.0025906735751295338
humano,1,0.0025906735751295338
cultural,1,0.0025906735751295338
conocimiento,1,0.0025906735751295338
deber,1,0.0025906735751295338
barrera,1,0.0025906735751295338
general,1,0.0025906735751295338
existir,1,0.0025906735751295338
actual,1,0.0025906735751295338
suponer,1,0.0025906735751295338
necesidad,1,0.0025906735751295338
educación_sexual,1,0.0025906735751295338
forma,1,0.0025906735751295338
organización,1,0.0025906735751295338
buscar,1,0.0025906735751295338
alternativa,1,0.0025906735751295338
mencionar,1,0.0025906735751295338
grupo,1,0.0025906735751295338
desarrollo,1,0.0025906735751295338
crear,1,0.0025906735751295338
modelo,1,0.0025906735751295338
proporcionar,1,0.0025906735751295338
principal,1,0.0025906735751295338
superar,1,0.0025906735751295338
importante,1,0.0025906735751295338
presente,1,0.0025906735751295338
mínimo,1,0.0025906735751295338
dato,1,0.0025906735751295338
carácter,1,0.0025906735751295338
resultar,1,0.0025906735751295338
tipo,1,0.0025906735751295338
niño,1,0.0025906735751295338
estudiante,1,0.0025906735751295338
maestro,1,0.0025906735751295338
adulto,1,0.0025906735751295338
punto,1,0.0025906735751295338
papel,1,0.0025906735751295338
adecuar,1,0.0025906735751295338
libre,1,0.0025906735751295338
descartar,1,0.0025906735751295338
denominar,1,0.0025906735751295338
género,1,0.0025906735751295338
3,1,0.0025906735751295338
integrar,1,0.0025906735751295338
construir,1,0.0025906735751295338
completo,1,0.0025906735751295338
caso,1,0.0025906735751295338
nivel,1,0.0025906735751295338
contenido,1,0.0025906735751295338
expresión,1,0.0025906735751295338
asunto,1,0.0025906735751295338
psicológico,1,0.0025906735751295338
incluir,1,0.0025906735751295338
orientación_sexual,1,0.0025906735751295338
masculino,1,0.0025906735751295338
