Respuesta,Frecuencia,Asociación
aspecto,2,0.05128205128205128
disfunción,2,0.05128205128205128
trabajo,1,0.02564102564102564
diverso,1,0.02564102564102564
elemento,1,0.02564102564102564
sexual,1,0.02564102564102564
presentar,1,0.02564102564102564
carácter,1,0.02564102564102564
separar,1,0.02564102564102564
rasgo,1,0.02564102564102564
nivel,1,0.02564102564102564
distinto,1,0.02564102564102564
psicológico,1,0.02564102564102564
familia,1,0.02564102564102564
persona,1,0.02564102564102564
ejemplo,1,0.02564102564102564
vivir,1,0.02564102564102564
experiencia,1,0.02564102564102564
causa,1,0.02564102564102564
influencia,1,0.02564102564102564
afectar,1,0.02564102564102564
generar,1,0.02564102564102564
intervenir,1,0.02564102564102564
malo,1,0.02564102564102564
económico,1,0.02564102564102564
provocar,1,0.02564102564102564
emocional,1,0.02564102564102564
presión,1,0.02564102564102564
alteración,1,0.02564102564102564
alterar,1,0.02564102564102564
tensión,1,0.02564102564102564
disfunción_sexual,1,0.02564102564102564
respuesta_sexual,1,0.02564102564102564
evento,1,0.02564102564102564
escasez,1,0.02564102564102564
causante,1,0.02564102564102564
estrés,1,0.02564102564102564
