Respuesta,Frecuencia,Asociación
material,3,0.07692307692307693
estudiar,1,0.02564102564102564
creación,1,0.02564102564102564
principalmente,1,0.02564102564102564
necesidad,1,0.02564102564102564
sexual,1,0.02564102564102564
crear,1,0.02564102564102564
estudio,1,0.02564102564102564
cuyo,1,0.02564102564102564
querer,1,0.02564102564102564
masturbación,1,0.02564102564102564
valor,1,0.02564102564102564
siglo,1,0.02564102564102564
xix,1,0.02564102564102564
admitir,1,0.02564102564102564
hombre,1,0.02564102564102564
parecer,1,0.02564102564102564
órgano,1,0.02564102564102564
amor,1,0.02564102564102564
increíble,1,0.02564102564102564
25,1,0.02564102564102564
flor,1,0.02564102564102564
corazón,1,0.02564102564102564
integridad,1,0.02564102564102564
personificar,1,0.02564102564102564
admirar,1,0.02564102564102564
delito,1,0.02564102564102564
demostración,1,0.02564102564102564
virginidad,1,0.02564102564102564
bello,1,0.02564102564102564
doncella,1,0.02564102564102564
himen,1,0.02564102564102564
ruptura,1,0.02564102564102564
1885,1,0.02564102564102564
troncoso,1,0.02564102564102564
incontinencia,1,0.02564102564102564
lésbico,1,0.02564102564102564
