Respuesta,Frecuencia,Asociación
suponer,2,0.008333333333333333
niño,2,0.008333333333333333
fenómeno,2,0.008333333333333333
físico,2,0.008333333333333333
niñez,2,0.008333333333333333
hijo,2,0.008333333333333333
historia,2,0.008333333333333333
formación,2,0.008333333333333333
trabajo,1,0.004166666666666667
texto,1,0.004166666666666667
proceso,1,0.004166666666666667
diverso,1,0.004166666666666667
humano,1,0.004166666666666667
elemento,1,0.004166666666666667
país,1,0.004166666666666667
contar,1,0.004166666666666667
permitir,1,0.004166666666666667
existente,1,0.004166666666666667
información,1,0.004166666666666667
riesgo,1,0.004166666666666667
desarrollo,1,0.004166666666666667
modelo,1,0.004166666666666667
necesitar,1,0.004166666666666667
esencial,1,0.004166666666666667
producto,1,0.004166666666666667
público,1,0.004166666666666667
importante,1,0.004166666666666667
dato,1,0.004166666666666667
carácter,1,0.004166666666666667
tipo,1,0.004166666666666667
punto,1,0.004166666666666667
adecuar,1,0.004166666666666667
mostrar,1,0.004166666666666667
llegar,1,0.004166666666666667
1,1,0.004166666666666667
implicar,1,0.004166666666666667
parámetro,1,0.004166666666666667
autor,1,0.004166666666666667
consistir,1,0.004166666666666667
límite,1,0.004166666666666667
utilizar,1,0.004166666666666667
establecer,1,0.004166666666666667
caso,1,0.004166666666666667
describir,1,0.004166666666666667
querer,1,0.004166666666666667
extenso,1,0.004166666666666667
evitar,1,0.004166666666666667
incluir,1,0.004166666666666667
desarrollar,1,0.004166666666666667
función,1,0.004166666666666667
abuso,1,0.004166666666666667
familia,1,0.004166666666666667
incorporar,1,0.004166666666666667
interesar,1,0.004166666666666667
introducir,1,0.004166666666666667
privar,1,0.004166666666666667
persona,1,0.004166666666666667
plano,1,0.004166666666666667
volver,1,0.004166666666666667
marcar,1,0.004166666666666667
índice,1,0.004166666666666667
valor,1,0.004166666666666667
especificar,1,0.004166666666666667
manejo,1,0.004166666666666667
vivir,1,0.004166666666666667
conducta,1,0.004166666666666667
creer,1,0.004166666666666667
preocupación,1,0.004166666666666667
relatar,1,0.004166666666666667
menor,1,0.004166666666666667
considerar,1,0.004166666666666667
preguntar,1,0.004166666666666667
mental,1,0.004166666666666667
aparecer,1,0.004166666666666667
época,1,0.004166666666666667
reprimir,1,0.004166666666666667
deseo,1,0.004166666666666667
mujer,1,0.004166666666666667
vida,1,0.004166666666666667
únicamente,1,0.004166666666666667
genital,1,0.004166666666666667
instancia,1,0.004166666666666667
observar,1,0.004166666666666667
entrevistar,1,0.004166666666666667
padre,1,0.004166666666666667
exigir,1,0.004166666666666667
película,1,0.004166666666666667
guión,1,0.004166666666666667
hombre,1,0.004166666666666667
órgano,1,0.004166666666666667
compartir,1,0.004166666666666667
esperar,1,0.004166666666666667
experimentar,1,0.004166666666666667
alejar,1,0.004166666666666667
impedir,1,0.004166666666666667
entrevistador,1,0.004166666666666667
informante,1,0.004166666666666667
lograr,1,0.004166666666666667
grado,1,0.004166666666666667
6,1,0.004166666666666667
sentimiento,1,0.004166666666666667
pequeño,1,0.004166666666666667
íntimo,1,0.004166666666666667
carecer,1,0.004166666666666667
atención,1,0.004166666666666667
hermano,1,0.004166666666666667
personal,1,0.004166666666666667
extremo,1,0.004166666666666667
intervenir,1,0.004166666666666667
adquirir,1,0.004166666666666667
confiar,1,0.004166666666666667
marcha,1,0.004166666666666667
atrás,1,0.004166666666666667
cercanía,1,0.004166666666666667
gracia,1,0.004166666666666667
escala,1,0.004166666666666667
septiembre,1,0.004166666666666667
realmente,1,0.004166666666666667
descubrir,1,0.004166666666666667
inmediato,1,0.004166666666666667
hijosas,1,0.004166666666666667
reacción,1,0.004166666666666667
distancia,1,0.004166666666666667
maternidad,1,0.004166666666666667
experimento,1,0.004166666666666667
legislación,1,0.004166666666666667
1978,1,0.004166666666666667
justificar,1,0.004166666666666667
modificación,1,0.004166666666666667
plazo,1,0.004166666666666667
protagonizar,1,0.004166666666666667
moderno,1,0.004166666666666667
escándalo,1,0.004166666666666667
ocurrir,1,0.004166666666666667
feto,1,0.004166666666666667
materno,1,0.004166666666666667
convivencia,1,0.004166666666666667
violencia,1,0.004166666666666667
inclusive,1,0.004166666666666667
hospital,1,0.004166666666666667
eeuu,1,0.004166666666666667
pobre,1,0.004166666666666667
director,1,0.004166666666666667
organismo,1,0.004166666666666667
perder,1,0.004166666666666667
indicio,1,0.004166666666666667
942,1,0.004166666666666667
enfermo,1,0.004166666666666667
tennesse,1,0.004166666666666667
181,1,0.004166666666666667
psiquiátrico,1,0.004166666666666667
sobrevivir,1,0.004166666666666667
asalto,1,0.004166666666666667
condenar,1,0.004166666666666667
asesinato,1,0.004166666666666667
fetal,1,0.004166666666666667
prudente,1,0.004166666666666667
código,1,0.004166666666666667
agradecimiento,1,0.004166666666666667
gustar,1,0.004166666666666667
guapo,1,0.004166666666666667
lejos,1,0.004166666666666667
avión,1,0.004166666666666667
ve,1,0.004166666666666667
afuera,1,0.004166666666666667
fíjate,1,0.004166666666666667
gratitud,1,0.004166666666666667
cuernavaca,1,0.004166666666666667
inconcebible,1,0.004166666666666667
dibujo,1,0.004166666666666667
desnudo,1,0.004166666666666667
edición,1,0.004166666666666667
estándar,1,0.004166666666666667
emergencia,1,0.004166666666666667
liberar,1,0.004166666666666667
alonso,1,0.004166666666666667
bedate,1,0.004166666666666667
necesariamente,1,0.004166666666666667
pequeñosas,1,0.004166666666666667
centrándose,1,0.004166666666666667
rostro,1,0.004166666666666667
alumnosas,1,0.004166666666666667
elizondo,1,0.004166666666666667
doble,1,0.004166666666666667
infertilidad,1,0.004166666666666667
reportar,1,0.004166666666666667
idiopático,1,0.004166666666666667
causar,1,0.004166666666666667
fragmentación,1,0.004166666666666667
dfi,1,0.004166666666666667
nucleótido,1,0.004166666666666667
fluorocromo,1,0.004166666666666667
rotura,1,0.004166666666666667
adn,1,0.004166666666666667
color,1,0.004166666666666667
auditivo,1,0.004166666666666667
cámara,1,0.004166666666666667
escena,1,0.004166666666666667
zoom,1,0.004166666666666667
popularidad,1,0.004166666666666667
deep,1,0.004166666666666667
throat,1,0.004166666666666667
garganta_profundo,1,0.004166666666666667
relato,1,0.004166666666666667
inquirir,1,0.004166666666666667
brindar,1,0.004166666666666667
ellosas,1,0.004166666666666667
mismosas,1,0.004166666666666667
fatal,1,0.004166666666666667
juana,1,0.004166666666666667
pasión,1,0.004166666666666667
retazo,1,0.004166666666666667
rápidamente,1,0.004166666666666667
interponer,1,0.004166666666666667
elvira,1,0.004166666666666667
pariente,1,0.004166666666666667
aislamiento,1,0.004166666666666667
aparentemente,1,0.004166666666666667
respectar,1,0.004166666666666667
camuflaje,1,0.004166666666666667
silencio,1,0.004166666666666667
apartamiento,1,0.004166666666666667
primordialmente,1,0.004166666666666667
personalidad,1,0.004166666666666667
vientre,1,0.004166666666666667
trato,1,0.004166666666666667
diario,1,0.004166666666666667
cultivo,1,0.004166666666666667
virtud,1,0.004166666666666667
golpear,1,0.004166666666666667
medir,1,0.004166666666666667
gravedad,1,0.004166666666666667
