Respuesta,Frecuencia,Asociación
deber,21,0.012620192307692308
sexual,13,0.0078125
paciente,11,0.006610576923076923
criterio,9,0.005408653846153846
embarazo,8,0.004807692307692308
sexualidad,7,0.004206730769230769
desarrollo,7,0.004206730769230769
1,7,0.004206730769230769
presencia,7,0.004206730769230769
oportuno,7,0.004206730769230769
its,7,0.004206730769230769
programa,6,0.003605769230769231
salud,6,0.003605769230769231
presentar,6,0.003605769230769231
caso,6,0.003605769230769231
transmisión,6,0.003605769230769231
médico,6,0.003605769230769231
mujer,6,0.003605769230769231
investigación,5,0.0030048076923076925
establecer,5,0.0030048076923076925
relación,5,0.0030048076923076925
prueba,5,0.0030048076923076925
diferencial,5,0.0030048076923076925
base,4,0.002403846153846154
existir,4,0.002403846153846154
informar,4,0.002403846153846154
año,4,0.002403846153846154
estudio,4,0.002403846153846154
2,4,0.002403846153846154
tipo,4,0.002403846153846154
asegurar,4,0.002403846153846154
duda,4,0.002403846153846154
nivel,4,0.002403846153846154
identidad,4,0.002403846153846154
identificación,4,0.002403846153846154
desarrollar,4,0.002403846153846154
enfermedad,4,0.002403846153846154
do,4,0.002403846153846154
adolescente,4,0.002403846153846154
aspecto,4,0.002403846153846154
cuidado,4,0.002403846153846154
ético,4,0.002403846153846154
descubrimiento,4,0.002403846153846154
calidad,4,0.002403846153846154
agudo,4,0.002403846153846154
detección,4,0.002403846153846154
sífilis,4,0.002403846153846154
preimplantatorio,4,0.002403846153846154
proceso,3,0.0018028846153846155
perspectiva,3,0.0018028846153846155
humano,3,0.0018028846153846155
contar,3,0.0018028846153846155
necesario,3,0.0018028846153846155
información,3,0.0018028846153846155
actual,3,0.0018028846153846155
necesidad,3,0.0018028846153846155
forma,3,0.0018028846153846155
constituir,3,0.0018028846153846155
ciencia,3,0.0018028846153846155
objetivo,3,0.0018028846153846155
consistir,3,0.0018028846153846155
evaluar,3,0.0018028846153846155
incluir,3,0.0018028846153846155
prevención,3,0.0018028846153846155
individuo,3,0.0018028846153846155
edad,3,0.0018028846153846155
posibilidad,3,0.0018028846153846155
característica,3,0.0018028846153846155
futuro,3,0.0018028846153846155
resultado,3,0.0018028846153846155
práctica,3,0.0018028846153846155
10,3,0.0018028846153846155
positivo,3,0.0018028846153846155
científico,3,0.0018028846153846155
clínico,3,0.0018028846153846155
reproductivo,3,0.0018028846153846155
padre,3,0.0018028846153846155
prenatal,3,0.0018028846153846155
personal,3,0.0018028846153846155
embrión,3,0.0018028846153846155
promedio,3,0.0018028846153846155
señalar,3,0.0018028846153846155
climatérico,3,0.0018028846153846155
sociodemográficos,3,0.0018028846153846155
examen,3,0.0018028846153846155
vihsida,3,0.0018028846153846155
laboratorio,3,0.0018028846153846155
unidad,3,0.0018028846153846155
trastorno,3,0.0018028846153846155
alteración,3,0.0018028846153846155
limitar,3,0.0018028846153846155
lesión,3,0.0018028846153846155
componente,3,0.0018028846153846155
chancroide,3,0.0018028846153846155
parafilia,3,0.0018028846153846155
artículo,2,0.001201923076923077
método,2,0.001201923076923077
material,2,0.001201923076923077
tratar,2,0.001201923076923077
social,2,0.001201923076923077
concepto,2,0.001201923076923077
población,2,0.001201923076923077
impacto,2,0.001201923076923077
riesgo,2,0.001201923076923077
nacional,2,0.001201923076923077
crear,2,0.001201923076923077
etapa,2,0.001201923076923077
análisis,2,0.001201923076923077
amplio,2,0.001201923076923077
diseño,2,0.001201923076923077
cuyo,2,0.001201923076923077
fase,2,0.001201923076923077
importante,2,0.001201923076923077
presente,2,0.001201923076923077
dato,2,0.001201923076923077
carácter,2,0.001201923076923077
énfasis,2,0.001201923076923077
niño,2,0.001201923076923077
joven,2,0.001201923076923077
estudiante,2,0.001201923076923077
c,2,0.001201923076923077
adicional,2,0.001201923076923077
papel,2,0.001201923076923077
mostrar,2,0.001201923076923077
parámetro,2,0.001201923076923077
3,2,0.001201923076923077
rasgo,2,0.001201923076923077
completo,2,0.001201923076923077
tomar,2,0.001201923076923077
diseñar,2,0.001201923076923077
biológico,2,0.001201923076923077
objeto,2,0.001201923076923077
control,2,0.001201923076923077
expresión,2,0.001201923076923077
sujeto,2,0.001201923076923077
alto,2,0.001201923076923077
referencia,2,0.001201923076923077
privar,2,0.001201923076923077
educativo,2,0.001201923076923077
servicio,2,0.001201923076923077
centro,2,0.001201923076923077
5,2,0.001201923076923077
medida,2,0.001201923076923077
cosa,2,0.001201923076923077
significativo,2,0.001201923076923077
definitivo,2,0.001201923076923077
consecuencia,2,0.001201923076923077
recordar,2,0.001201923076923077
sistema,2,0.001201923076923077
vivir,2,0.001201923076923077
desear,2,0.001201923076923077
aumentar,2,0.001201923076923077
adolescencia,2,0.001201923076923077
convertir,2,0.001201923076923077
asociar,2,0.001201923076923077
