Respuesta,Frecuencia,Asociación
salud,6,0.02912621359223301
1,4,0.019417475728155338
sexual,3,0.014563106796116505
mostrar,3,0.014563106796116505
mental,3,0.014563106796116505
mujer,3,0.014563106796116505
hombre,3,0.014563106796116505
6,3,0.014563106796116505
tratamiento,3,0.014563106796116505
96,3,0.014563106796116505
general,2,0.009708737864077669
existir,2,0.009708737864077669
investigación,2,0.009708737864077669
nivel,2,0.009708737864077669
rol,2,0.009708737864077669
servicio,2,0.009708737864077669
5,2,0.009708737864077669
generalmente,2,0.009708737864077669
menor,2,0.009708737864077669
vida,2,0.009708737864077669
80,2,0.009708737864077669
dispositivo,2,0.009708737864077669
psiquiátrico,2,0.009708737864077669
mecánico,2,0.009708737864077669
morbilidad,2,0.009708737864077669
seguimiento,2,0.009708737864077669
sexualidad,1,0.0048543689320388345
artículo,1,0.0048543689320388345
trabajo,1,0.0048543689320388345
término,1,0.0048543689320388345
proceso,1,0.0048543689320388345
red,1,0.0048543689320388345
tratar,1,0.0048543689320388345
problema,1,0.0048543689320388345
introducción,1,0.0048543689320388345
perspectiva,1,0.0048543689320388345
reto,1,0.0048543689320388345
social,1,0.0048543689320388345
cultural,1,0.0048543689320388345
deber,1,0.0048543689320388345
población,1,0.0048543689320388345
educación_sexual,1,0.0048543689320388345
riesgo,1,0.0048543689320388345
grupo,1,0.0048543689320388345
año,1,0.0048543689320388345
modelo,1,0.0048543689320388345
estudio,1,0.0048543689320388345
conformación,1,0.0048543689320388345
presente,1,0.0048543689320388345
definir,1,0.0048543689320388345
acceso,1,0.0048543689320388345
resultar,1,0.0048543689320388345
tipo,1,0.0048543689320388345
casa,1,0.0048543689320388345
llegar,1,0.0048543689320388345
delimitar,1,0.0048543689320388345
clasificación,1,0.0048543689320388345
español,1,0.0048543689320388345
género,1,0.0048543689320388345
autor,1,0.0048543689320388345
3,1,0.0048543689320388345
4,1,0.0048543689320388345
indicar,1,0.0048543689320388345
modificar,1,0.0048543689320388345
querer,1,0.0048543689320388345
comprender,1,0.0048543689320388345
fantasía_sexual,1,0.0048543689320388345
masculino,1,0.0048543689320388345
femenino,1,0.0048543689320388345
diferencia,1,0.0048543689320388345
relación,1,0.0048543689320388345
pareja,1,0.0048543689320388345
función,1,0.0048543689320388345
escuela,1,0.0048543689320388345
edad,1,0.0048543689320388345
reconocer,1,0.0048543689320388345
característica,1,0.0048543689320388345
moldear,1,0.0048543689320388345
esfuerzo,1,0.0048543689320388345
condición,1,0.0048543689320388345
valor,1,0.0048543689320388345
importancia,1,0.0048543689320388345
analizar,1,0.0048543689320388345
resumir,1,0.0048543689320388345
apoyo,1,0.0048543689320388345
cambio,1,0.0048543689320388345
resultado,1,0.0048543689320388345
conducta,1,0.0048543689320388345
nítido,1,0.0048543689320388345
práctica,1,0.0048543689320388345
asociar,1,0.0048543689320388345
torno,1,0.0048543689320388345
considerar,1,0.0048543689320388345
15,1,0.0048543689320388345
muestra,1,0.0048543689320388345
norma,1,0.0048543689320388345
tradicional,1,0.0048543689320388345
escolar,1,0.0048543689320388345
socialización,1,0.0048543689320388345
observar,1,0.0048543689320388345
padre,1,0.0048543689320388345
causa,1,0.0048543689320388345
hijo,1,0.0048543689320388345
historia,1,0.0048543689320388345
invertir,1,0.0048543689320388345
erótico,1,0.0048543689320388345
relevancia,1,0.0048543689320388345
significado,1,0.0048543689320388345
familiar,1,0.0048543689320388345
prolongar,1,0.0048543689320388345
34,1,0.0048543689320388345
enfocar,1,0.0048543689320388345
cotidiano,1,0.0048543689320388345
discurso,1,0.0048543689320388345
frente,1,0.0048543689320388345
afirmar,1,0.0048543689320388345
atención,1,0.0048543689320388345
figura,1,0.0048543689320388345
limitar,1,0.0048543689320388345
personal,1,0.0048543689320388345
legitimar,1,0.0048543689320388345
señalar,1,0.0048543689320388345
unión,1,0.0048543689320388345
reproducción,1,0.0048543689320388345
alguien,1,0.0048543689320388345
especie,1,0.0048543689320388345
farmacológico,1,0.0048543689320388345
difícil,1,0.0048543689320388345
santo,1,0.0048543689320388345
desigualdad,1,0.0048543689320388345
productor,1,0.0048543689320388345
25,1,0.0048543689320388345
24,1,0.0048543689320388345
gustar,1,0.0048543689320388345
perteneciente,1,0.0048543689320388345
oportuno,1,0.0048543689320388345
adicción,1,0.0048543689320388345
docente,1,0.0048543689320388345
masculinidad,1,0.0048543689320388345
feminidad,1,0.0048543689320388345
capacitación,1,0.0048543689320388345
excluyente,1,0.0048543689320388345
escena,1,0.0048543689320388345
creador,1,0.0048543689320388345
personaje,1,0.0048543689320388345
disfunción_sexual,1,0.0048543689320388345
parafilia,1,0.0048543689320388345
vejez,1,0.0048543689320388345
cirugía,1,0.0048543689320388345
climaterio,1,0.0048543689320388345
fantasear,1,0.0048543689320388345
ficción,1,0.0048543689320388345
anónimo,1,0.0048543689320388345
empírico,1,0.0048543689320388345
cuadro,1,0.0048543689320388345
intrincar,1,0.0048543689320388345
socioeconómico,1,0.0048543689320388345
desgraciadamente,1,0.0048543689320388345
preventivo,1,0.0048543689320388345
inequidad,1,0.0048543689320388345
reproductora,1,0.0048543689320388345
ama,1,0.0048543689320388345
infantiles7,1,0.0048543689320388345
contrapartida,1,0.0048543689320388345
sociocultural,1,0.0048543689320388345
gabriel,1,0.0048543689320388345
