Respuesta,Frecuencia,Asociación
ciento,3,0.031914893617021274
separar,2,0.02127659574468085
mujer,2,0.02127659574468085
hijo,2,0.02127659574468085
casar,2,0.02127659574468085
hombre,2,0.02127659574468085
escolaridad,2,0.02127659574468085
viudo,2,0.02127659574468085
trabajo,1,0.010638297872340425
cantidad,1,0.010638297872340425
deber,1,0.010638297872340425
sexual,1,0.010638297872340425
grupo,1,0.010638297872340425
año,1,0.010638297872340425
estudio,1,0.010638297872340425
momento,1,0.010638297872340425
corresponder,1,0.010638297872340425
resultar,1,0.010638297872340425
autor,1,0.010638297872340425
estereotipo,1,0.010638297872340425
dedicar,1,0.010638297872340425
clasificar,1,0.010638297872340425
relación,1,0.010638297872340425
pareja,1,0.010638297872340425
cultura,1,0.010638297872340425
tiempo,1,0.010638297872340425
5,1,0.010638297872340425
persona,1,0.010638297872340425
determinar,1,0.010638297872340425
do,1,0.010638297872340425
valor,1,0.010638297872340425
futuro,1,0.010638297872340425
experiencia,1,0.010638297872340425
perpetuar,1,0.010638297872340425
15,1,0.010638297872340425
33,1,0.010638297872340425
20,1,0.010638297872340425
enfoque,1,0.010638297872340425
posteriormente,1,0.010638297872340425
fuerza,1,0.010638297872340425
vida,1,0.010638297872340425
45,1,0.010638297872340425
manifestar,1,0.010638297872340425
tradicional,1,0.010638297872340425
real,1,0.010638297872340425
observar,1,0.010638297872340425
influencia,1,0.010638297872340425
expresar,1,0.010638297872340425
34,1,0.010638297872340425
impedir,1,0.010638297872340425
individual,1,0.010638297872340425
parejo,1,0.010638297872340425
hora,1,0.010638297872340425
reparación,1,0.010638297872340425
separación,1,0.010638297872340425
civil,1,0.010638297872340425
ejercer,1,0.010638297872340425
abiertamente,1,0.010638297872340425
doméstico,1,0.010638297872340425
destruir,1,0.010638297872340425
equivalente,1,0.010638297872340425
30,1,0.010638297872340425
25,1,0.010638297872340425
44,1,0.010638297872340425
arsenal,1,0.010638297872340425
26,1,0.010638297872340425
112,1,0.010638297872340425
ocasión,1,0.010638297872340425
convivir,1,0.010638297872340425
rechazo,1,0.010638297872340425
informal,1,0.010638297872340425
enfatizar,1,0.010638297872340425
153,1,0.010638297872340425
soltero,1,0.010638297872340425
estigmatizar,1,0.010638297872340425
disfunción,1,0.010638297872340425
analfabeto,1,0.010638297872340425
reproductora,1,0.010638297872340425
sexista,1,0.010638297872340425
armonía,1,0.010638297872340425
desconocedor,1,0.010638297872340425
reanudar,1,0.010638297872340425
anorgasmia,1,0.010638297872340425
unión_libre,1,0.010638297872340425
semanal,1,0.010638297872340425
