Respuesta,Frecuencia,Asociación
sexual,11,0.011840688912809472
presentar,10,0.010764262648008612
vaginal,7,0.007534983853606028
enfermedad,5,0.005382131324004306
mujer,5,0.005382131324004306
síntoma,5,0.005382131324004306
forma,4,0.004305705059203444
placer,4,0.004305705059203444
sentir,4,0.004305705059203444
sufrimiento,4,0.004305705059203444
hipogástrico,4,0.004305705059203444
sexualidad,3,0.0032292787944025836
año,3,0.0032292787944025836
incluir,3,0.0032292787944025836
relación_sexual,3,0.0032292787944025836
persona,3,0.0032292787944025836
instinto,3,0.0032292787944025836
médico,3,0.0032292787944025836
causa,3,0.0032292787944025836
acudir,3,0.0032292787944025836
falta,3,0.0032292787944025836
muerte,3,0.0032292787944025836
perversión,3,0.0032292787944025836
causar,3,0.0032292787944025836
virginidad,3,0.0032292787944025836
paciente,3,0.0032292787944025836
tumoración,3,0.0032292787944025836
ausencia,3,0.0032292787944025836
dispareunia,3,0.0032292787944025836
patricio,3,0.0032292787944025836
seguir,2,0.002152852529601722
problema,2,0.002152852529601722
encontrar,2,0.002152852529601722
social,2,0.002152852529601722
deber,2,0.002152852529601722
existir,2,0.002152852529601722
atender,2,0.002152852529601722
cualquiera,2,0.002152852529601722
1,2,0.002152852529601722
consulta,2,0.002152852529601722
derivar,2,0.002152852529601722
caso,2,0.002152852529601722
masoquismo,2,0.002152852529601722
pareja,2,0.002152852529601722
edad,2,0.002152852529601722
privar,2,0.002152852529601722
controlar,2,0.002152852529601722
emplear,2,0.002152852529601722
do,2,0.002152852529601722
activo,2,0.002152852529601722
adolescente,2,0.002152852529601722
embarazo,2,0.002152852529601722
recibir,2,0.002152852529601722
conducta,2,0.002152852529601722
creer,2,0.002152852529601722
experiencia,2,0.002152852529601722
producir,2,0.002152852529601722
15,2,0.002152852529601722
aborto,2,0.002152852529601722
negar,2,0.002152852529601722
deseo,2,0.002152852529601722
vida,2,0.002152852529601722
infección,2,0.002152852529601722
vagina,2,0.002152852529601722
pasivo,2,0.002152852529601722
tendencia,2,0.002152852529601722
penetración,2,0.002152852529601722
afirmar,2,0.002152852529601722
vivencia,2,0.002152852529601722
efecto,2,0.002152852529601722
puesto,2,0.002152852529601722
12,2,0.002152852529601722
previo,2,0.002152852529601722
cabeza,2,0.002152852529601722
colocar,2,0.002152852529601722
bloquear,2,0.002152852529601722
ingreso,2,0.002152852529601722
vómito,2,0.002152852529601722
disuria,2,0.002152852529601722
antecedente,2,0.002152852529601722
abdominal,2,0.002152852529601722
compasión,2,0.002152852529601722
provocación,2,0.002152852529601722
crueldad,2,0.002152852529601722
molestia,2,0.002152852529601722
disfunción,2,0.002152852529601722
pérdida,2,0.002152852529601722
oliguriadisuria,2,0.002152852529601722
suprapúbico,2,0.002152852529601722
inicialmente,2,0.002152852529601722
excitación,2,0.002152852529601722
pelvis,2,0.002152852529601722
acompañante,2,0.002152852529601722
descarga,2,0.002152852529601722
metrorragia,2,0.002152852529601722
ocasionalmente,2,0.002152852529601722
lesión,2,0.002152852529601722
ardoroso,2,0.002152852529601722
sadismo,2,0.002152852529601722
masoquista,2,0.002152852529601722
expresivo,2,0.002152852529601722
trabajo,1,0.001076426264800861
méxico,1,0.001076426264800861
proceso,1,0.001076426264800861
etcétera,1,0.001076426264800861
tratar,1,0.001076426264800861
proyecto,1,0.001076426264800861
abordar,1,0.001076426264800861
humano,1,0.001076426264800861
elemento,1,0.001076426264800861
indispensable,1,0.001076426264800861
contar,1,0.001076426264800861
permitir,1,0.001076426264800861
especialista,1,0.001076426264800861
general,1,0.001076426264800861
mayoría,1,0.001076426264800861
información,1,0.001076426264800861
necesidad,1,0.001076426264800861
conjunto,1,0.001076426264800861
particular,1,0.001076426264800861
mezcla,1,0.001076426264800861
riesgo,1,0.001076426264800861
ámbito,1,0.001076426264800861
tender,1,0.001076426264800861
salud,1,0.001076426264800861
acción,1,0.001076426264800861
relacionar,1,0.001076426264800861
fuente,1,0.001076426264800861
herramienta,1,0.001076426264800861
grupo,1,0.001076426264800861
2004,1,0.001076426264800861
desarrollo,1,0.001076426264800861
estudio,1,0.001076426264800861
amplio,1,0.001076426264800861
obtención,1,0.001076426264800861
necesitar,1,0.001076426264800861
momento,1,0.001076426264800861
ayuda,1,0.001076426264800861
2,1,0.001076426264800861
dirigir,1,0.001076426264800861
producto,1,0.001076426264800861
objetivo,1,0.001076426264800861
requerir,1,0.001076426264800861
fase,1,0.001076426264800861
depender,1,0.001076426264800861
corresponder,1,0.001076426264800861
servir,1,0.001076426264800861
temático,1,0.001076426264800861
carácter,1,0.001076426264800861
resultar,1,0.001076426264800861
contener,1,0.001076426264800861
tipo,1,0.001076426264800861
niño,1,0.001076426264800861
joven,1,0.001076426264800861
obtener,1,0.001076426264800861
publicar,1,0.001076426264800861
adecuar,1,0.001076426264800861
libre,1,0.001076426264800861
examinar,1,0.001076426264800861
mostrar,1,0.001076426264800861
llegar,1,0.001076426264800861
méndez,1,0.001076426264800861
implicar,1,0.001076426264800861
búsqueda,1,0.001076426264800861
localización,1,0.001076426264800861
autor,1,0.001076426264800861
sitio,1,0.001076426264800861
nombre,1,0.001076426264800861
hallar,1,0.001076426264800861
4,1,0.001076426264800861
consistir,1,0.001076426264800861
indicar,1,0.001076426264800861
escribir,1,0.001076426264800861
pasar,1,0.001076426264800861
ligar,1,0.001076426264800861
condicionar,1,0.001076426264800861
tomar,1,0.001076426264800861
región,1,0.001076426264800861
requisito,1,0.001076426264800861
describir,1,0.001076426264800861
nivel,1,0.001076426264800861
querer,1,0.001076426264800861
cincar,1,0.001076426264800861
institución,1,0.001076426264800861
visión,1,0.001076426264800861
distinto,1,0.001076426264800861
cuerpo,1,0.001076426264800861
objeto,1,0.001076426264800861
control,1,0.001076426264800861
respuesta,1,0.001076426264800861
orgasmo,1,0.001076426264800861
coito,1,0.001076426264800861
aumento,1,0.001076426264800861
disminución,1,0.001076426264800861
sujeto,1,0.001076426264800861
masculino,1,0.001076426264800861
femenino,1,0.001076426264800861
desarrollar,1,0.001076426264800861
vía,1,0.001076426264800861
actividad,1,0.001076426264800861
comportamiento,1,0.001076426264800861
relación,1,0.001076426264800861
terapia,1,0.001076426264800861
sociedad,1,0.001076426264800861
tiempo,1,0.001076426264800861
motor,1,0.001076426264800861
alto,1,0.001076426264800861
campo,1,0.001076426264800861
guardar,1,0.001076426264800861
discusión,1,0.001076426264800861
medida,1,0.001076426264800861
primario,1,0.001076426264800861
característica,1,0.001076426264800861
volver,1,0.001076426264800861
marcar,1,0.001076426264800861
identificar,1,0.001076426264800861
correcto,1,0.001076426264800861
ejemplo,1,0.001076426264800861
eliminar,1,0.001076426264800861
dejar,1,0.001076426264800861
entrada,1,0.001076426264800861
significar,1,0.001076426264800861
frecuente,1,0.001076426264800861
llamar,1,0.001076426264800861
pauta,1,0.001076426264800861
definitivo,1,0.001076426264800861
_,1,0.001076426264800861
generalmente,1,0.001076426264800861
consecuencia,1,0.001076426264800861
analizar,1,0.001076426264800861
capacidad,1,0.001076426264800861
sistema,1,0.001076426264800861
restricción,1,0.001076426264800861
situación,1,0.001076426264800861
2005,1,0.001076426264800861
prueba,1,0.001076426264800861
cambio,1,0.001076426264800861
aplicar,1,0.001076426264800861
vivir,1,0.001076426264800861
desear,1,0.001076426264800861
aumentar,1,0.001076426264800861
resultado,1,0.001076426264800861
actitud,1,0.001076426264800861
imagen,1,0.001076426264800861
aprendizaje,1,0.001076426264800861
práctica,1,0.001076426264800861
aprender,1,0.001076426264800861
adolescencia,1,0.001076426264800861
preocupación,1,0.001076426264800861
salir,1,0.001076426264800861
único,1,0.001076426264800861
asociar,1,0.001076426264800861
iniciar,1,0.001076426264800861
creencia,1,0.001076426264800861
mito,1,0.001076426264800861
menor,1,0.001076426264800861
inicial,1,0.001076426264800861
considerar,1,0.001076426264800861
8,1,0.001076426264800861
10,1,0.001076426264800861
abortar,1,0.001076426264800861
físico,1,0.001076426264800861
informe,1,0.001076426264800861
33,1,0.001076426264800861
18,1,0.001076426264800861
preguntar,1,0.001076426264800861
positivo,1,0.001076426264800861
mental,1,0.001076426264800861
peligro,1,0.001076426264800861
responsable,1,0.001076426264800861
practicar,1,0.001076426264800861
normal,1,0.001076426264800861
aparecer,1,0.001076426264800861
norma,1,0.001076426264800861
volumen,1,0.001076426264800861
sexo,1,0.001076426264800861
desviación,1,0.001076426264800861
derecho,1,0.001076426264800861
fomentar,1,0.001076426264800861
sufrir,1,0.001076426264800861
impulso,1,0.001076426264800861
progresivo,1,0.001076426264800861
error,1,0.001076426264800861
demostrar,1,0.001076426264800861
manifestar,1,0.001076426264800861
heterosexual,1,0.001076426264800861
real,1,0.001076426264800861
patológico,1,0.001076426264800861
ley,1,0.001076426264800861
encuadre,1,0.001076426264800861
aspecto,1,0.001076426264800861
agente,1,0.001076426264800861
observar,1,0.001076426264800861
contradicción,1,0.001076426264800861
migratorio,1,0.001076426264800861
violación,1,0.001076426264800861
hijo,1,0.001076426264800861
interpretar,1,0.001076426264800861
serie,1,0.001076426264800861
formar,1,0.001076426264800861
afectar,1,0.001076426264800861
hombre,1,0.001076426264800861
parecer,1,0.001076426264800861
mundo,1,0.001076426264800861
generar,1,0.001076426264800861
aceptar,1,0.001076426264800861
sumisión,1,0.001076426264800861
repetir,1,0.001076426264800861
mantener,1,0.001076426264800861
ropa,1,0.001076426264800861
amoroso,1,0.001076426264800861
esperar,1,0.001076426264800861
expresar,1,0.001076426264800861
erótico,1,0.001076426264800861
35,1,0.001076426264800861
especial,1,0.001076426264800861
unir,1,0.001076426264800861
técnico,1,0.001076426264800861
familiar,1,0.001076426264800861
amor,1,0.001076426264800861
alejar,1,0.001076426264800861
progenitor,1,0.001076426264800861
sector,1,0.001076426264800861
quedar,1,0.001076426264800861
intento,1,0.001076426264800861
apreciar,1,0.001076426264800861
6,1,0.001076426264800861
sentimiento,1,0.001076426264800861
intenso,1,0.001076426264800861
varón,1,0.001076426264800861
pequeño,1,0.001076426264800861
acto,1,0.001076426264800861
cursar,1,0.001076426264800861
acompañar,1,0.001076426264800861
carecer,1,0.001076426264800861
atención,1,0.001076426264800861
limitar,1,0.001076426264800861
personal,1,0.001076426264800861
vergüenza,1,0.001076426264800861
compañero,1,0.001076426264800861
surgir,1,0.001076426264800861
presencia,1,0.001076426264800861
extremo,1,0.001076426264800861
formación,1,0.001076426264800861
vih,1,0.001076426264800861
señalar,1,0.001076426264800861
corroborar,1,0.001076426264800861
evidencia,1,0.001076426264800861
disfrutar,1,0.001076426264800861
gracia,1,0.001076426264800861
1994,1,0.001076426264800861
unión,1,0.001076426264800861
reproducción,1,0.001076426264800861
inducir,1,0.001076426264800861
probablemente,1,0.001076426264800861
evolución,1,0.001076426264800861
exterior,1,0.001076426264800861
musical,1,0.001076426264800861
miedo,1,0.001076426264800861
finalizar,1,0.001076426264800861
padecer,1,0.001076426264800861
síndrome,1,0.001076426264800861
discutir,1,0.001076426264800861
cuidado,1,0.001076426264800861
ético,1,0.001076426264800861
político,1,0.001076426264800861
intimidad,1,0.001076426264800861
económico,1,0.001076426264800861
interés,1,0.001076426264800861
separación,1,0.001076426264800861
parir,1,0.001076426264800861
seguro,1,0.001076426264800861
modificación,1,0.001076426264800861
regla,1,0.001076426264800861
perfecto,1,0.001076426264800861
consentimiento,1,0.001076426264800861
evidenciar,1,0.001076426264800861
hipocresía,1,0.001076426264800861
empezar,1,0.001076426264800861
