Respuesta,Frecuencia,Asociación
masculino,11,0.019572953736654804
mujer,9,0.01601423487544484
subordinación,5,0.008896797153024912
social,4,0.0071174377224199285
femenino,4,0.0071174377224199285
relación,4,0.0071174377224199285
sexo,4,0.0071174377224199285
sexual,3,0.005338078291814947
constituir,3,0.005338078291814947
estudio,3,0.005338078291814947
diferencia,3,0.005338078291814947
valor,3,0.005338078291814947
interpretar,3,0.005338078291814947
varón,3,0.005338078291814947
feminista,3,0.005338078291814947
sexualidad,2,0.0035587188612099642
lenguaje,2,0.0035587188612099642
recurso,2,0.0035587188612099642
permitir,2,0.0035587188612099642
deber,2,0.0035587188612099642
general,2,0.0035587188612099642
suponer,2,0.0035587188612099642
forma,2,0.0035587188612099642
difusión,2,0.0035587188612099642
crear,2,0.0035587188612099642
estructuración,2,0.0035587188612099642
2,2,0.0035587188612099642
dirigir,2,0.0035587188612099642
acceso,2,0.0035587188612099642
género,2,0.0035587188612099642
realidad,2,0.0035587188612099642
institución,2,0.0035587188612099642
identidad,2,0.0035587188612099642
función,2,0.0035587188612099642
abuso,2,0.0035587188612099642
producción,2,0.0035587188612099642
situación,2,0.0035587188612099642
menor,2,0.0035587188612099642
entender,2,0.0035587188612099642
clase,2,0.0035587188612099642
norma,2,0.0035587188612099642
op,2,0.0035587188612099642
cit,2,0.0035587188612099642
homosexual,2,0.0035587188612099642
matrimonio,2,0.0035587188612099642
hombre,2,0.0035587188612099642
parecer,2,0.0035587188612099642
erótico,2,0.0035587188612099642
negación,2,0.0035587188612099642
interiorización,2,0.0035587188612099642
dispositivo,2,0.0035587188612099642
noviazgo,2,0.0035587188612099642
perpetuación,2,0.0035587188612099642
traducir,2,0.0035587188612099642
capital,2,0.0035587188612099642
foucault,2,0.0035587188612099642
espacio,2,0.0035587188612099642
pornográfico,2,0.0035587188612099642
escena,2,0.0035587188612099642
masoquista,2,0.0035587188612099642
sádico,2,0.0035587188612099642
proponer,1,0.0017793594306049821
metodología,1,0.0017793594306049821
trabajo,1,0.0017793594306049821
término,1,0.0017793594306049821
área,1,0.0017793594306049821
terreno,1,0.0017793594306049821
estudiar,1,0.0017793594306049821
proceso,1,0.0017793594306049821
seguir,1,0.0017793594306049821
base,1,0.0017793594306049821
descansar,1,0.0017793594306049821
método,1,0.0017793594306049821
material,1,0.0017793594306049821
palabra,1,0.0017793594306049821
diverso,1,0.0017793594306049821
encontrar,1,0.0017793594306049821
principio,1,0.0017793594306049821
cultural,1,0.0017793594306049821
construcción,1,0.0017793594306049821
comunicación,1,0.0017793594306049821
población,1,0.0017793594306049821
necesario,1,0.0017793594306049821
actual,1,0.0017793594306049821
ejercicio,1,0.0017793594306049821
propuesta,1,0.0017793594306049821
necesidad,1,0.0017793594306049821
particular,1,0.0017793594306049821
superior,1,0.0017793594306049821
ámbito,1,0.0017793594306049821
tender,1,0.0017793594306049821
organización,1,0.0017793594306049821
buscar,1,0.0017793594306049821
mencionar,1,0.0017793594306049821
investigación,1,0.0017793594306049821
presentar,1,0.0017793594306049821
grupo,1,0.0017793594306049821
2004,1,0.0017793594306049821
central,1,0.0017793594306049821
modelo,1,0.0017793594306049821
esquema,1,0.0017793594306049821
cualquiera,1,0.0017793594306049821
esencial,1,0.0017793594306049821
principal,1,0.0017793594306049821
importante,1,0.0017793594306049821
esencialmente,1,0.0017793594306049821
definir,1,0.0017793594306049821
lugar,1,0.0017793594306049821
obra,1,0.0017793594306049821
carácter,1,0.0017793594306049821
énfasis,1,0.0017793594306049821
contener,1,0.0017793594306049821
tipo,1,0.0017793594306049821
niño,1,0.0017793594306049821
joven,1,0.0017793594306049821
maestro,1,0.0017793594306049821
punto,1,0.0017793594306049821
juego,1,0.0017793594306049821
1,1,0.0017793594306049821
par,1,0.0017793594306049821
