Respuesta,Frecuencia,Asociación
im,11,0.01751592356687898
único,10,0.01592356687898089
penicilina,10,0.01592356687898089
oral,9,0.014331210191082803
vo,9,0.014331210191082803
wg_mg500,9,0.014331210191082803
vía,8,0.012738853503184714
ceftriaxona,8,0.012738853503184714
deber,7,0.011146496815286623
g,6,0.009554140127388535
millón,6,0.009554140127388535
azitromicina,5,0.007961783439490446
ciprofloxacina,5,0.007961783439490446
eritromicina,5,0.007961783439490446
sífilis,5,0.007961783439490446
24,5,0.007961783439490446
base,4,0.006369426751592357
dividir,4,0.006369426751592357
tratamiento,4,0.006369426751592357
benzatínica,4,0.006369426751592357
72,4,0.006369426751592357
tm_h12,4,0.006369426751592357
gonocócico,4,0.006369426751592357
ofloxacina,4,0.006369426751592357
tipo,3,0.004777070063694267
1,3,0.004777070063694267
utilizar,3,0.004777070063694267
opción,3,0.004777070063694267
genital,3,0.004777070063694267
útil,3,0.004777070063694267
tm_d10,3,0.004777070063694267
intervalo,3,0.004777070063694267
wg_mg125,3,0.004777070063694267
wg_mg400,3,0.004777070063694267
vigilar,3,0.004777070063694267
metronidazol,3,0.004777070063694267
intramuscular,3,0.004777070063694267
fármaco,3,0.004777070063694267
administrar,3,0.004777070063694267
consecutivo,3,0.004777070063694267
unidad,3,0.004777070063694267
seguir,2,0.0031847133757961785
tratar,2,0.0031847133757961785
existir,2,0.0031847133757961785
acción,2,0.0031847133757961785
secundario,2,0.0031847133757961785
3,2,0.0031847133757961785
evaluar,2,0.0031847133757961785
pareja,2,0.0031847133757961785
iv,2,0.0031847133757961785
elección,2,0.0031847133757961785
do,2,0.0031847133757961785
cambio,2,0.0031847133757961785
resultado,2,0.0031847133757961785
producir,2,0.0031847133757961785
vigilancia,2,0.0031847133757961785
mujer,2,0.0031847133757961785
infección,2,0.0031847133757961785
6,2,0.0031847133757961785
100,2,0.0031847133757961785
semana,2,0.0031847133757961785
paciente,2,0.0031847133757961785
54131,2,0.0031847133757961785
gramo,2,0.0031847133757961785
54133,2,0.0031847133757961785
herpes,2,0.0031847133757961785
mgkg,2,0.0031847133757961785
latente,2,0.0031847133757961785
alternativo,2,0.0031847133757961785
alergia,2,0.0031847133757961785
congénito,2,0.0031847133757961785
55111,2,0.0031847133757961785
55112,2,0.0031847133757961785
