Respuesta,Frecuencia,Asociación
sexual,10,0.010245901639344262
mujer,10,0.010245901639344262
sexo,6,0.006147540983606557
información,5,0.005122950819672131
libertad,5,0.005122950819672131
decisión,5,0.005122950819672131
práctica,5,0.005122950819672131
relacionar,4,0.004098360655737705
libre,4,0.004098360655737705
hombre,4,0.004098360655737705
consecuencia,4,0.004098360655737705
tratamiento,4,0.004098360655737705
genético,4,0.004098360655737705
base,3,0.0030737704918032786
humano,3,0.0030737704918032786
suponer,3,0.0030737704918032786
importante,3,0.0030737704918032786
servir,3,0.0030737704918032786
pensar,3,0.0030737704918032786
histórico,3,0.0030737704918032786
enfermedad,3,0.0030737704918032786
sociedad,3,0.0030737704918032786
persona,3,0.0030737704918032786
emplear,3,0.0030737704918032786
condición,3,0.0030737704918032786
padre,3,0.0030737704918032786
responsabilidad,3,0.0030737704918032786
protección,3,0.0030737704918032786
hijo,3,0.0030737704918032786
ideal,3,0.0030737704918032786
afirmación,3,0.0030737704918032786
moral,3,0.0030737704918032786
selección,3,0.0030737704918032786
básico,2,0.0020491803278688526
sexualidad,2,0.0020491803278688526
trabajo,2,0.0020491803278688526
término,2,0.0020491803278688526
proceso,2,0.0020491803278688526
método,2,0.0020491803278688526
tratar,2,0.0020491803278688526
encontrar,2,0.0020491803278688526
deber,2,0.0020491803278688526
comunicación,2,0.0020491803278688526
responder,2,0.0020491803278688526
forma,2,0.0020491803278688526
factor,2,0.0020491803278688526
informar,2,0.0020491803278688526
riesgo,2,0.0020491803278688526
investigación,2,0.0020491803278688526
amplio,2,0.0020491803278688526
público,2,0.0020491803278688526
corresponder,2,0.0020491803278688526
carácter,2,0.0020491803278688526
resultar,2,0.0020491803278688526
tipo,2,0.0020491803278688526
obtener,2,0.0020491803278688526
1,2,0.0020491803278688526
técnica,2,0.0020491803278688526
3,2,0.0020491803278688526
2006,2,0.0020491803278688526
complejo,2,0.0020491803278688526
número,2,0.0020491803278688526
ligar,2,0.0020491803278688526
origen,2,0.0020491803278688526
objeto,2,0.0020491803278688526
respuesta,2,0.0020491803278688526
incluir,2,0.0020491803278688526
placer,2,0.0020491803278688526
orientación_sexual,2,0.0020491803278688526
prevención,2,0.0020491803278688526
individuo,2,0.0020491803278688526
familia,2,0.0020491803278688526
continuación,2,0.0020491803278688526
correcto,2,0.0020491803278688526
ejemplo,2,0.0020491803278688526
médico,2,0.0020491803278688526
favor,2,0.0020491803278688526
vulnerabilidad,2,0.0020491803278688526
reproductivo,2,0.0020491803278688526
experimentar,2,0.0020491803278688526
experiencia,2,0.0020491803278688526
vida,2,0.0020491803278688526
noción,2,0.0020491803278688526
circunstancia,2,0.0020491803278688526
individual,2,0.0020491803278688526
producir,2,0.0020491803278688526
presidencial,2,0.0020491803278688526
feminista,2,0.0020491803278688526
convertir,2,0.0020491803278688526
situación,2,0.0020491803278688526
aborto,2,0.0020491803278688526
terapéutico,2,0.0020491803278688526
unir,2,0.0020491803278688526
derecho,2,0.0020491803278688526
asociar,2,0.0020491803278688526
informalidad,2,0.0020491803278688526
racional,2,0.0020491803278688526
ilegal,2,0.0020491803278688526
embarazo,2,0.0020491803278688526
familiar,2,0.0020491803278688526
abstinencia,2,0.0020491803278688526
its,2,0.0020491803278688526
do,2,0.0020491803278688526
actualidad,2,0.0020491803278688526
teórico,2,0.0020491803278688526
posición,2,0.0020491803278688526
recordar,2,0.0020491803278688526
incorrecto,2,0.0020491803278688526
honestidad,2,0.0020491803278688526
comportar,2,0.0020491803278688526
cuestionario,2,0.0020491803278688526
permisividad,2,0.0020491803278688526
método_anticonceptivo,2,0.0020491803278688526
seguro,2,0.0020491803278688526
consejería,2,0.0020491803278688526
adolescente,2,0.0020491803278688526
norma,2,0.0020491803278688526
regulación,2,0.0020491803278688526
fecundidad,2,0.0020491803278688526
entorno,2,0.0020491803278688526
occidente,2,0.0020491803278688526
españa,2,0.0020491803278688526
aclarar,2,0.0020491803278688526
vigente,2,0.0020491803278688526
previsión,2,0.0020491803278688526
observancia,2,0.0020491803278688526
pretensión,2,0.0020491803278688526
peligroso,2,0.0020491803278688526
eludir,2,0.0020491803278688526
grave,2,0.0020491803278688526
hereditario,2,0.0020491803278688526
dosis,2,0.0020491803278688526
homosexual,2,0.0020491803278688526
personal,2,0.0020491803278688526
fetiche,2,0.0020491803278688526
artículo,1,0.0010245901639344263
méxico,1,0.0010245901639344263
pretender,1,0.0010245901639344263
explicar,1,0.0010245901639344263
seguir,1,0.0010245901639344263
descansar,1,0.0010245901639344263
etcétera,1,0.0010245901639344263
proyecto,1,0.0010245901639344263
intentar,1,0.0010245901639344263
resolver,1,0.0010245901639344263
problema,1,0.0010245901639344263
específico,1,0.0010245901639344263
introducción,1,0.0010245901639344263
diverso,1,0.0010245901639344263
perspectiva,1,0.0010245901639344263
tema,1,0.0010245901639344263
principio,1,0.0010245901639344263
social,1,0.0010245901639344263
cultural,1,0.0010245901639344263
construcción,1,0.0010245901639344263
conocimiento,1,0.0010245901639344263
acercar,1,0.0010245901639344263
país,1,0.0010245901639344263
contar,1,0.0010245901639344263
recurso,1,0.0010245901639344263
facilitar,1,0.0010245901639344263
concepto,1,0.0010245901639344263
permitir,1,0.0010245901639344263
existente,1,0.0010245901639344263
población,1,0.0010245901639344263
general,1,0.0010245901639344263
contemplar,1,0.0010245901639344263
sistemático,1,0.0010245901639344263
existir,1,0.0010245901639344263
vocabulario,1,0.0010245901639344263
mayoría,1,0.0010245901639344263
ejercicio,1,0.0010245901639344263
propuesta,1,0.0010245901639344263
mexicano,1,0.0010245901639344263
programa,1,0.0010245901639344263
educación_sexual,1,0.0010245901639344263
ámbito,1,0.0010245901639344263
salud,1,0.0010245901639344263
buscar,1,0.0010245901639344263
alternativa,1,0.0010245901639344263
acción,1,0.0010245901639344263
salud_sexual,1,0.0010245901639344263
caber,1,0.0010245901639344263
presentar,1,0.0010245901639344263
grupo,1,0.0010245901639344263
año,1,0.0010245901639344263
2004,1,0.0010245901639344263
nacional,1,0.0010245901639344263
voluntario,1,0.0010245901639344263
finalidad,1,0.0010245901639344263
estudio,1,0.0010245901639344263
análisis,1,0.0010245901639344263
obtención,1,0.0010245901639344263
necesitar,1,0.0010245901639344263
momento,1,0.0010245901639344263
documentar,1,0.0010245901639344263
dirigir,1,0.0010245901639344263
diseño,1,0.0010245901639344263
empero,1,0.0010245901639344263
producto,1,0.0010245901639344263
cuyo,1,0.0010245901639344263
objetivo,1,0.0010245901639344263
contribuir,1,0.0010245901639344263
requerir,1,0.0010245901639344263
fase,1,0.0010245901639344263
depender,1,0.0010245901639344263
presente,1,0.0010245901639344263
lugar,1,0.0010245901639344263
contexto,1,0.0010245901639344263
acceso,1,0.0010245901639344263
calificar,1,0.0010245901639344263
niño,1,0.0010245901639344263
joven,1,0.0010245901639344263
estudiante,1,0.0010245901639344263
secundario,1,0.0010245901639344263
punto,1,0.0010245901639344263
papel,1,0.0010245901639344263
examinar,1,0.0010245901639344263
utilización,1,0.0010245901639344263
descartar,1,0.0010245901639344263
mostrar,1,0.0010245901639344263
estrategia,1,0.0010245901639344263
idea,1,0.0010245901639344263
género,1,0.0010245901639344263
sitio,1,0.0010245901639344263
asociación,1,0.0010245901639344263
hallar,1,0.0010245901639344263
modificar,1,0.0010245901639344263
alcance,1,0.0010245901639344263
límite,1,0.0010245901639344263
decidir,1,0.0010245901639344263
duda,1,0.0010245901639344263
realidad,1,0.0010245901639344263
completo,1,0.0010245901639344263
condicionar,1,0.0010245901639344263
tomar,1,0.0010245901639344263
trabajar,1,0.0010245901639344263
caso,1,0.0010245901639344263
requisito,1,0.0010245901639344263
querer,1,0.0010245901639344263
estable,1,0.0010245901639344263
evitar,1,0.0010245901639344263
representar,1,0.0010245901639344263
biológico,1,0.0010245901639344263
expresión,1,0.0010245901639344263
razón,1,0.0010245901639344263
cuestión,1,0.0010245901639344263
oral,1,0.0010245901639344263
aumento,1,0.0010245901639344263
sujeto,1,0.0010245901639344263
estereotipo,1,0.0010245901639344263
masculino,1,0.0010245901639344263
femenino,1,0.0010245901639344263
desarrollar,1,0.0010245901639344263
vía,1,0.0010245901639344263
diferencia,1,0.0010245901639344263
actividad,1,0.0010245901639344263
comportamiento,1,0.0010245901639344263
atracción,1,0.0010245901639344263
relación,1,0.0010245901639344263
pareja,1,0.0010245901639344263
función,1,0.0010245901639344263
abuso,1,0.0010245901639344263
cultura,1,0.0010245901639344263
tiempo,1,0.0010245901639344263
posibilidad,1,0.0010245901639344263
referencia,1,0.0010245901639344263
ampliamente,1,0.0010245901639344263
privar,1,0.0010245901639344263
servicio,1,0.0010245901639344263
lista,1,0.0010245901639344263
discusión,1,0.0010245901639344263
completamente,1,0.0010245901639344263
medida,1,0.0010245901639344263
característica,1,0.0010245901639344263
ahorrar,1,0.0010245901639344263
fenómeno,1,0.0010245901639344263
esfuerzo,1,0.0010245901639344263
voluntad,1,0.0010245901639344263
iv,1,0.0010245901639344263
suficiente,1,0.0010245901639344263
dejar,1,0.0010245901639344263
designación,1,0.0010245901639344263
frecuente,1,0.0010245901639344263
elegir,1,0.0010245901639344263
llamar,1,0.0010245901639344263
palabraclave,1,0.0010245901639344263
cercano,1,0.0010245901639344263
definitivo,1,0.0010245901639344263
iv3,1,0.0010245901639344263
rollo,1,0.0010245901639344263
fallar,1,0.0010245901639344263
píldora,1,0.0010245901639344263
efecto,1,0.0010245901639344263
probable,1,0.0010245901639344263
enterar,1,0.0010245901639344263
preservativo,1,0.0010245901639344263
habitual,1,0.0010245901639344263
vista,1,0.0010245901639344263
influencia,1,0.0010245901639344263
campaña,1,0.0010245901639344263
emoción,1,0.0010245901639344263
ternura,1,0.0010245901639344263
disfrutar,1,0.0010245901639344263
asumir,1,0.0010245901639344263
plenamente,1,0.0010245901639344263
regocijar,1,0.0010245901639344263
igualdad,1,0.0010245901639344263
mujeresy,1,0.0010245901639344263
aprovechar,1,0.0010245901639344263
hera,1,0.0010245901639344263
1998,1,0.0010245901639344263
luminoso,1,0.0010245901639344263
apostar,1,0.0010245901639344263
angustiante,1,0.0010245901639344263
fiesta,1,0.0010245901639344263
demostración,1,0.0010245901639344263
afecto,1,0.0010245901639344263
universitario,1,0.0010245901639344263
ocasión,1,0.0010245901639344263
agrado,1,0.0010245901639344263
persistir,1,0.0010245901639344263
probabilístico,1,0.0010245901639344263
estrechamente,1,0.0010245901639344263
epidémico,1,0.0010245901639344263
promover,1,0.0010245901639344263
política,1,0.0010245901639344263
favorecer,1,0.0010245901639344263
sociohistórico,1,0.0010245901639344263
planteamiento,1,0.0010245901639344263
brindar,1,0.0010245901639344263
ocurrir,1,0.0010245901639344263
vihit,1,0.0010245901639344263
etnográfico,1,0.0010245901639344263
sostener,1,0.0010245901639344263
infección,1,0.0010245901639344263
preferencia,1,0.0010245901639344263
especialmente,1,0.0010245901639344263
válido,1,0.0010245901639344263
migración,1,0.0010245901639344263
internacional,1,0.0010245901639344263
interactuar,1,0.0010245901639344263
actor,1,0.0010245901639344263
inmerso,1,0.0010245901639344263
tráfico,1,0.0010245901639344263
considerar,1,0.0010245901639344263
colocar,1,0.0010245901639344263
históricamente,1,0.0010245901639344263
lucha,1,0.0010245901639344263
organizar,1,0.0010245901639344263
multisectorial,1,0.0010245901639344263
votación,1,0.0010245901639344263
voto,1,0.0010245901639344263
secreto,1,0.0010245901639344263
votar,1,0.0010245901639344263
carbajal,1,0.0010245901639344263
triunfo,1,0.0010245901639344263
izquierda,1,0.0010245901639344263
despertar,1,0.0010245901639344263
esperanza,1,0.0010245901639344263
uruguayo,1,0.0010245901639344263
partido,1,0.0010245901639344263
socialista,1,0.0010245901639344263
postura,1,0.0010245901639344263
voluntariamente,1,0.0010245901639344263
ético,1,0.0010245901639344263
responsable,1,0.0010245901639344263
desmitificar,1,0.0010245901639344263
regalo,1,0.0010245901639344263
dios,1,0.0010245901639344263
plantear,1,0.0010245901639344263
amoroso,1,0.0010245901639344263
conllevar,1,0.0010245901639344263
deseo,1,0.0010245901639344263
compromiso,1,0.0010245901639344263
desigualdad,1,0.0010245901639344263
oír,1,0.0010245901639344263
voz,1,0.0010245901639344263
25,1,0.0010245901639344263
octubre,1,0.0010245901639344263
nicaragua,1,0.0010245901639344263
semana,1,0.0010245901639344263
inminente,1,0.0010245901639344263
reforma,1,0.0010245901639344263
cancelar,1,0.0010245901639344263
diplomático,1,0.0010245901639344263
nación,1,0.0010245901639344263
replanteamiento,1,0.0010245901639344263
biopsíquica,1,0.0010245901639344263
vínculo,1,0.0010245901639344263
afectivo,1,0.0010245901639344263
erótico,1,0.0010245901639344263
inasible,1,0.0010245901639344263
fórmula,1,0.0010245901639344263
simplificador,1,0.0010245901639344263
educadoresas,1,0.0010245901639344263
miedo,1,0.0010245901639344263
fobia,1,0.0010245901639344263
sentimiento,1,0.0010245901639344263
culpa,1,0.0010245901639344263
inseguridad,1,0.0010245901639344263
prejuicio,1,0.0010245901639344263
enfoque,1,0.0010245901639344263
denotar,1,0.0010245901639344263
currículum,1,0.0010245901639344263
oculto,1,0.0010245901639344263
enseñar,1,0.0010245901639344263
carga,1,0.0010245901639344263
emotivo,1,0.0010245901639344263
acceder,1,0.0010245901639344263
mercado,1,0.0010245901639344263
posibilitar,1,0.0010245901639344263
combinación,1,0.0010245901639344263
labor,1,0.0010245901639344263
doméstico,1,0.0010245901639344263
ingreso,1,0.0010245901639344263
ambivalente,1,0.0010245901639344263
simplemente,1,0.0010245901639344263
peligro,1,0.0010245901639344263
comunidad,1,0.0010245901639344263
indefinido,1,0.0010245901639344263
humanidad,1,0.0010245901639344263
tierra,1,0.0010245901639344263
formular,1,0.0010245901639344263
positivamente,1,0.0010245901639344263
futuro,1,0.0010245901639344263
integridad,1,0.0010245901639344263
ponderación,1,0.0010245901639344263
valor,1,0.0010245901639344263
acompañar,1,0.0010245901639344263
dignidad,1,0.0010245901639344263
llevándolas,1,0.0010245901639344263
mano,1,0.0010245901639344263
inexperto,1,0.0010245901639344263
clínico,1,0.0010245901639344263
demostrar,1,0.0010245901639344263
aumentar,1,0.0010245901639344263
frente,1,0.0010245901639344263
obligatoriedad,1,0.0010245901639344263
desear,1,0.0010245901639344263
consiguiente,1,0.0010245901639344263
sociocultural,1,0.0010245901639344263
percepción,1,0.0010245901639344263
actitud,1,0.0010245901639344263
amigo,1,0.0010245901639344263
pick,1,0.0010245901639344263
weiss,1,0.0010245901639344263
atkin,1,0.0010245901639344263
gribble,1,0.0010245901639344263
andrade,1,0.0010245901639344263
1991,1,0.0010245901639344263
contacto,1,0.0010245901639344263
íntimo,1,0.0010245901639344263
matrimonio,1,0.0010245901639344263
cristiano,1,0.0010245901639344263
posiblemente,1,0.0010245901639344263
manifestar,1,0.0010245901639344263
convivencia,1,0.0010245901639344263
ilegitimidad,1,0.0010245901639344263
relativamente,1,0.0010245901639344263
interétnico,1,0.0010245901639344263
frontera,1,0.0010245901639344263
guerra,1,0.0010245901639344263
condón,1,0.0010245901639344263
preventivo,1,0.0010245901639344263
compañero,1,0.0010245901639344263
temer,1,0.0010245901639344263
sida,1,0.0010245901639344263
