Respuesta,Frecuencia,Asociación
mujer,57,0.04145454545454545
embarazo,17,0.012363636363636363
deber,12,0.008727272727272728
1,11,0.008
hijo,9,0.006545454545454545
alto,8,0.005818181818181818
aborto,8,0.005818181818181818
quedar,8,0.005818181818181818
información,7,0.005090909090909091
sexual,7,0.005090909090909091
adolescente,7,0.005090909090909091
amor,7,0.005090909090909091
anticonceptivo,7,0.005090909090909091
riesgo,6,0.004363636363636364
año,6,0.004363636363636364
caso,6,0.004363636363636364
evitar,6,0.004363636363636364
chico,6,0.004363636363636364
paciente,6,0.004363636363636364
77,6,0.004363636363636364
ítem,6,0.004363636363636364
encontrar,5,0.0036363636363636364
grupo,5,0.0036363636363636364
niño,5,0.0036363636363636364
respuesta,5,0.0036363636363636364
derecho,5,0.0036363636363636364
infección,5,0.0036363636363636364
vih,5,0.0036363636363636364
12,5,0.0036363636363636364
sexualidad,4,0.002909090909090909
método,4,0.002909090909090909
componer,4,0.002909090909090909
llegar,4,0.002909090909090909
masturbación,4,0.002909090909090909
relación_sexual,4,0.002909090909090909
pareja,4,0.002909090909090909
importar,4,0.002909090909090909
controlar,4,0.002909090909090909
prueba,4,0.002909090909090909
salir,4,0.002909090909090909
nacer,4,0.002909090909090909
hombre,4,0.002909090909090909
droga,4,0.002909090909090909
revés,4,0.002909090909090909
43,4,0.002909090909090909
0,4,0.002909090909090909
escala,4,0.002909090909090909
maternidad,4,0.002909090909090909
trabajo,3,0.002181818181818182
problema,3,0.002181818181818182
comunicación,3,0.002181818181818182
salud,3,0.002181818181818182
proporcionar,3,0.002181818181818182
pensar,3,0.002181818181818182
cumplir,3,0.002181818181818182
nivel,3,0.002181818181818182
transmisión,3,0.002181818181818182
relación,3,0.002181818181818182
tiempo,3,0.002181818181818182
porcentaje,3,0.002181818181818182
dejar,3,0.002181818181818182
condición,3,0.002181818181818182
capacidad,3,0.002181818181818182
desear,3,0.002181818181818182
iniciar,3,0.002181818181818182
método_anticonceptivo,3,0.002181818181818182
físico,3,0.002181818181818182
negar,3,0.002181818181818182
vida,3,0.002181818181818182
ley,3,0.002181818181818182
padre,3,0.002181818181818182
causa,3,0.002181818181818182
acudir,3,0.002181818181818182
píldora,3,0.002181818181818182
juez,3,0.002181818181818182
perinatal,3,0.002181818181818182
seguro,3,0.002181818181818182
parto,3,0.002181818181818182
reproducción,3,0.002181818181818182
vertical,3,0.002181818181818182
periodo,3,0.002181818181818182
operar,3,0.002181818181818182
¾,3,0.002181818181818182
presionar,3,0.002181818181818182
renunciar,3,0.002181818181818182
término,2,0.0014545454545454545
área,2,0.0014545454545454545
estudiar,2,0.0014545454545454545
proceso,2,0.0014545454545454545
tema,2,0.0014545454545454545
social,2,0.0014545454545454545
país,2,0.0014545454545454545
mayoría,2,0.0014545454545454545
educación,2,0.0014545454545454545
acción,2,0.0014545454545454545
relacionar,2,0.0014545454545454545
mencionar,2,0.0014545454545454545
nacional,2,0.0014545454545454545
