Respuesta,Frecuencia,Asociación
mujer,77,0.016753698868581374
interrupción,52,0.011314186248912098
sexual,44,0.009573542210617928
adolescente,42,0.009138381201044387
aborto,35,0.007615317667536988
año,30,0.006527415143603133
voluntario,30,0.006527415143603133
hijo,26,0.005657093124456049
riesgo,23,0.005004351610095736
salud,23,0.005004351610095736
1,23,0.005004351610095736
caso,23,0.005004351610095736
servicio,19,0.004134029590948651
condición,19,0.004134029590948651
edad,18,0.0039164490861618795
vida,18,0.0039164490861618795
joven,17,0.0036988685813751088
desear,17,0.0036988685813751088
embarazar,17,0.0036988685813751088
número,16,0.0034812880765883376
relación_sexual,16,0.0034812880765883376
ley,16,0.0034812880765883376
deber,15,0.0032637075718015664
programa,14,0.0030461270670147957
reproductivo,14,0.0030461270670147957
existir,13,0.0028285465622280245
información,13,0.0028285465622280245
estudio,13,0.0028285465622280245
dato,13,0.0028285465622280245
infección,13,0.0028285465622280245
presentar,12,0.0026109660574412533
relación,12,0.0026109660574412533
problema,11,0.002393385552654482
pareja,11,0.002393385552654482
alto,11,0.002393385552654482
considerar,11,0.002393385552654482
práctica,11,0.002393385552654482
médico,11,0.002393385552654482
unir,11,0.002393385552654482
violación,11,0.002393385552654482
término,10,0.002175805047867711
social,10,0.002175805047867711
general,10,0.002175805047867711
relacionar,10,0.002175805047867711
incluir,10,0.002175805047867711
transmisión,10,0.002175805047867711
menor,10,0.002175805047867711
semana,10,0.002175805047867711
prever,10,0.002175805047867711
unión,10,0.002175805047867711
producto,9,0.0019582245430809398
importante,9,0.0019582245430809398
niño,9,0.0019582245430809398
utilizar,9,0.0019582245430809398
recibir,9,0.0019582245430809398
resultado,9,0.0019582245430809398
método_anticonceptivo,9,0.0019582245430809398
decisión,9,0.0019582245430809398
anticonceptivo,9,0.0019582245430809398
tratamiento,9,0.0019582245430809398
demanda,9,0.0019582245430809398
paciente,9,0.0019582245430809398
19,9,0.0019582245430809398
puerperio,9,0.0019582245430809398
fecundidad,9,0.0019582245430809398
méxico,8,0.0017406440382941688
país,8,0.0017406440382941688
población,8,0.0017406440382941688
enfermedad,8,0.0017406440382941688
15,8,0.0017406440382941688
diagnóstico,8,0.0017406440382941688
vih,8,0.0017406440382941688
familiar,8,0.0017406440382941688
grave,8,0.0017406440382941688
previo,8,0.0017406440382941688
madre,8,0.0017406440382941688
contagio,8,0.0017406440382941688
trabajo,7,0.0015230635335073978
método,7,0.0015230635335073978
tratar,7,0.0015230635335073978
encontrar,7,0.0015230635335073978
mayoría,7,0.0015230635335073978
educación_sexual,7,0.0015230635335073978
grupo,7,0.0015230635335073978
2,7,0.0015230635335073978
posibilidad,7,0.0015230635335073978
persona,7,0.0015230635335073978
abortar,7,0.0015230635335073978
derecho,7,0.0015230635335073978
seguro,7,0.0015230635335073978
ocurrir,7,0.0015230635335073978
mes,7,0.0015230635335073978
adolescencia,7,0.0015230635335073978
hombre,7,0.0015230635335073978
infectar,7,0.0015230635335073978
inicio,7,0.0015230635335073978
sexualidad,6,0.0013054830287206266
educación,6,0.0013054830287206266
principal,6,0.0013054830287206266
acceso,6,0.0013054830287206266
punto,6,0.0013054830287206266
establecer,6,0.0013054830287206266
representar,6,0.0013054830287206266
razón,6,0.0013054830287206266
valor,6,0.0013054830287206266
consecuencia,6,0.0013054830287206266
reducir,6,0.0013054830287206266
12,6,0.0013054830287206266
gestación,6,0.0013054830287206266
atención,6,0.0013054830287206266
efecto,6,0.0013054830287206266
20,6,0.0013054830287206266
frecuencia,6,0.0013054830287206266
antecedente,6,0.0013054830287206266
reproducción,6,0.0013054830287206266
ciento,6,0.0013054830287206266
sufrir,6,0.0013054830287206266
malformación,6,0.0013054830287206266
disminuir,6,0.0013054830287206266
etcétera,5,0.0010879025239338555
tema,5,0.0010879025239338555
permitir,5,0.0010879025239338555
investigación,5,0.0010879025239338555
desarrollo,5,0.0010879025239338555
amplio,5,0.0010879025239338555
proporcionar,5,0.0010879025239338555
momento,5,0.0010879025239338555
dirigir,5,0.0010879025239338555
mostrar,5,0.0010879025239338555
nivel,5,0.0010879025239338555
evitar,5,0.0010879025239338555
cuerpo,5,0.0010879025239338555
control,5,0.0010879025239338555
psicológico,5,0.0010879025239338555
reconocer,5,0.0010879025239338555
do,5,0.0010879025239338555
chico,5,0.0010879025239338555
quedar,5,0.0010879025239338555
interrumpir,5,0.0010879025239338555
planificación,5,0.0010879025239338555
parto,5,0.0010879025239338555
nacimiento,5,0.0010879025239338555
emergencia,5,0.0010879025239338555
orientación,5,0.0010879025239338555
presencia,5,0.0010879025239338555
materno,5,0.0010879025239338555
observar,5,0.0010879025239338555
enfrentar,5,0.0010879025239338555
feminista,5,0.0010879025239338555
negar,5,0.0010879025239338555
integral,5,0.0010879025239338555
anticoncepción,5,0.0010879025239338555
garantizar,5,0.0010879025239338555
expresar,5,0.0010879025239338555
procedimiento,5,0.0010879025239338555
normal,5,0.0010879025239338555
seguir,4,0.0008703220191470844
resolver,4,0.0008703220191470844
perspectiva,4,0.0008703220191470844
humano,4,0.0008703220191470844
elemento,4,0.0008703220191470844
necesario,4,0.0008703220191470844
forma,4,0.0008703220191470844
salud_sexual,4,0.0008703220191470844
modelo,4,0.0008703220191470844
análisis,4,0.0008703220191470844
público,4,0.0008703220191470844
requerir,4,0.0008703220191470844
lugar,4,0.0008703220191470844
4,4,0.0008703220191470844
tomar,4,0.0008703220191470844
aumento,4,0.0008703220191470844
femenino,4,0.0008703220191470844
vía,4,0.0008703220191470844
comportamiento,4,0.0008703220191470844
familia,4,0.0008703220191470844
sociedad,4,0.0008703220191470844
tiempo,4,0.0008703220191470844
referencia,4,0.0008703220191470844
medida,4,0.0008703220191470844
ejemplo,4,0.0008703220191470844
eliminar,4,0.0008703220191470844
capacidad,4,0.0008703220191470844
mil,4,0.0008703220191470844
cambio,4,0.0008703220191470844
preocupación,4,0.0008703220191470844
2007,4,0.0008703220191470844
preservativo,4,0.0008703220191470844
falta,4,0.0008703220191470844
mitad,4,0.0008703220191470844
legal,4,0.0008703220191470844
continuar,4,0.0008703220191470844
muerte,4,0.0008703220191470844
concreto,4,0.0008703220191470844
incidencia,4,0.0008703220191470844
10,4,0.0008703220191470844
iniciar,4,0.0008703220191470844
24,4,0.0008703220191470844
existencia,4,0.0008703220191470844
causa,4,0.0008703220191470844
asociar,4,0.0008703220191470844
pobreza,4,0.0008703220191470844
17,4,0.0008703220191470844
14,4,0.0008703220191470844
promover,4,0.0008703220191470844
distrito,4,0.0008703220191470844
incrementar,4,0.0008703220191470844
periodo,4,0.0008703220191470844
16,4,0.0008703220191470844
incremento,4,0.0008703220191470844
contraer,4,0.0008703220191470844
practicar,4,0.0008703220191470844
regular,4,0.0008703220191470844
posponer,4,0.0008703220191470844
fecha,4,0.0008703220191470844
adquirir,4,0.0008703220191470844
federal,4,0.0008703220191470844
moral,4,0.0008703220191470844
evento,4,0.0008703220191470844
básico,3,0.0006527415143603133
proceso,3,0.0006527415143603133
cultural,3,0.0006527415143603133
concepto,3,0.0006527415143603133
comunicación,3,0.0006527415143603133
