Respuesta,Frecuencia,Asociación
sexual,4,0.018957345971563982
transmisión,4,0.018957345971563982
resolver,3,0.014218009478672985
derecho,3,0.014218009478672985
infección,3,0.014218009478672985
sexualidad,2,0.009478672985781991
información,2,0.009478672985781991
consejo,2,0.009478672985781991
nacional,2,0.009478672985781991
público,2,0.009478672985781991
joven,2,0.009478672985781991
3,2,0.009478672985781991
representar,2,0.009478672985781991
adolescente,2,0.009478672985781991
adolescencia,2,0.009478672985781991
vida,2,0.009478672985781991
sida,2,0.009478672985781991
sector,2,0.009478672985781991
2003,2,0.009478672985781991
decisión,2,0.009478672985781991
tardío,2,0.009478672985781991
vihsida,2,0.009478672985781991
trabajo,1,0.004739336492890996
méxico,1,0.004739336492890996
tratar,1,0.004739336492890996
problema,1,0.004739336492890996
diverso,1,0.004739336492890996
tema,1,0.004739336492890996
reto,1,0.004739336492890996
social,1,0.004739336492890996
cultural,1,0.004739336492890996
conocimiento,1,0.004739336492890996
país,1,0.004739336492890996
común,1,0.004739336492890996
población,1,0.004739336492890996
general,1,0.004739336492890996
necesario,1,0.004739336492890996
contemplar,1,0.004739336492890996
existir,1,0.004739336492890996
mayoría,1,0.004739336492890996
programa,1,0.004739336492890996
educación,1,0.004739336492890996
educación_sexual,1,0.004739336492890996
forma,1,0.004739336492890996
organización,1,0.004739336492890996
salud,1,0.004739336492890996
acción,1,0.004739336492890996
mencionar,1,0.004739336492890996
investigación,1,0.004739336492890996
año,1,0.004739336492890996
desarrollo,1,0.004739336492890996
estudio,1,0.004739336492890996
amplio,1,0.004739336492890996
dirigir,1,0.004739336492890996
principal,1,0.004739336492890996
tipo,1,0.004739336492890996
niño,1,0.004739336492890996
publicar,1,0.004739336492890996
adecuar,1,0.004739336492890996
libre,1,0.004739336492890996
implicar,1,0.004739336492890996
utilizar,1,0.004739336492890996
número,1,0.004739336492890996
tomar,1,0.004739336492890996
caso,1,0.004739336492890996
distinto,1,0.004739336492890996
cuerpo,1,0.004739336492890996
respuesta,1,0.004739336492890996
incluir,1,0.004739336492890996
relación_sexual,1,0.004739336492890996
enfermedad,1,0.004739336492890996
prevención,1,0.004739336492890996
sociedad,1,0.004739336492890996
edad,1,0.004739336492890996
posibilidad,1,0.004739336492890996
alto,1,0.004739336492890996
reconocer,1,0.004739336492890996
5,1,0.004739336492890996
fenómeno,1,0.004739336492890996
eliminar,1,0.004739336492890996
condición,1,0.004739336492890996
consecuencia,1,0.004739336492890996
asimismo,1,0.004739336492890996
discriminación,1,0.004739336492890996
situación,1,0.004739336492890996
vivir,1,0.004739336492890996
embarazo,1,0.004739336492890996
desear,1,0.004739336492890996
preocupación,1,0.004739336492890996
crecimiento,1,0.004739336492890996
iniciar,1,0.004739336492890996
método_anticonceptivo,1,0.004739336492890996
escaso,1,0.004739336492890996
15,1,0.004739336492890996
aborto,1,0.004739336492890996
muestra,1,0.004739336492890996
20,1,0.004739336492890996
14,1,0.004739336492890996
exclusivamente,1,0.004739336492890996
saludable,1,0.004739336492890996
tabú,1,0.004739336492890996
educador,1,0.004739336492890996
mujer,1,0.004739336492890996
prevenir,1,0.004739336492890996
ley,1,0.004739336492890996
rol_de_género,1,0.004739336492890996
observar,1,0.004739336492890996
padre,1,0.004739336492890996
diariamente,1,0.004739336492890996
causa,1,0.004739336492890996
lógico,1,0.004739336492890996
casar,1,0.004739336492890996
hombre,1,0.004739336492890996
compartir,1,0.004739336492890996
cambiar,1,0.004739336492890996
dificultad,1,0.004739336492890996
transición,1,0.004739336492890996
enfocar,1,0.004739336492890996
grado,1,0.004739336492890996
varón,1,0.004739336492890996
daño,1,0.004739336492890996
independientemente,1,0.004739336492890996
carecer,1,0.004739336492890996
atención,1,0.004739336492890996
limitar,1,0.004739336492890996
personal,1,0.004739336492890996
vih,1,0.004739336492890996
señalar,1,0.004739336492890996
marcha,1,0.004739336492890996
embarazar,1,0.004739336492890996
preciso,1,0.004739336492890996
penalizar,1,0.004739336492890996
impulsar,1,0.004739336492890996
moderno,1,0.004739336492890996
carencia,1,0.004739336492890996
provocar,1,0.004739336492890996
vulnerabilidad,1,0.004739336492890996
constante,1,0.004739336492890996
incrementar,1,0.004739336492890996
crimen,1,0.004739336492890996
violencia,1,0.004739336492890996
1989,1,0.004739336492890996
fortalecer,1,0.004739336492890996
confirmar,1,0.004739336492890996
persistir,1,0.004739336492890996
70,1,0.004739336492890996
ausencia,1,0.004739336492890996
federal,1,0.004739336492890996
30,1,0.004739336492890996
complicación,1,0.004739336492890996
alterar,1,0.004739336492890996
reporte,1,0.004739336492890996
incompleto,1,0.004739336492890996
contagio,1,0.004739336492890996
dimensión,1,0.004739336492890996
conapo,1,0.004739336492890996
feminismo,1,0.004739336492890996
usualmente,1,0.004739336492890996
comprometer,1,0.004739336492890996
journal,1,0.004739336492890996
texas,1,0.004739336492890996
planear,1,0.004739336492890996
keijzer,1,0.004739336492890996
infertilidad,1,0.004739336492890996
servidor,1,0.004739336492890996
entretejer,1,0.004739336492890996
87,1,0.004739336492890996
permear,1,0.004739336492890996
soslayar,1,0.004739336492890996
pérez,1,0.004739336492890996
gálvez,1,0.004739336492890996
estimación,1,0.004739336492890996
panamericano,1,0.004739336492890996
nevado,1,0.004739336492890996
california,1,0.004739336492890996
arizo,1,0.004739336492890996
florido,1,0.004739336492890996
taza,1,0.004739336492890996
gonorrea,1,0.004739336492890996
clamidia,1,0.004739336492890996
prioritario,1,0.004739336492890996
consejería,1,0.004739336492890996
