Respuesta,Frecuencia,Asociación
mujer,3,0.05555555555555555
trabajo,2,0.037037037037037035
lenguaje,2,0.037037037037037035
proponer,1,0.018518518518518517
méxico,1,0.018518518518518517
recurso,1,0.018518518518518517
impacto,1,0.018518518518518517
necesidad,1,0.018518518518518517
mexicano,1,0.018518518518518517
sexual,1,0.018518518518518517
buscar,1,0.018518518518518517
salud_sexual,1,0.018518518518518517
requerir,1,0.018518518518518517
género,1,0.018518518518518517
hablar,1,0.018518518518518517
control,1,0.018518518518518517
identidad,1,0.018518518518518517
conquista,1,0.018518518518518517
dominar,1,0.018518518518518517
asignar,1,0.018518518518518517
referir,1,0.018518518518518517
asignación,1,0.018518518518518517
capacidad,1,0.018518518518518517
organizar,1,0.018518518518518517
experiencia,1,0.018518518518518517
comunidad,1,0.018518518518518517
reproductivo,1,0.018518518518518517
interpretar,1,0.018518518518518517
hombre,1,0.018518518518518517
simbólico,1,0.018518518518518517
laboral,1,0.018518518518518517
crianza,1,0.018518518518518517
autonomía,1,0.018518518518518517
frontera,1,0.018518518518518517
varón,1,0.018518518518518517
reproducción,1,0.018518518518518517
violencia,1,0.018518518518518517
equidad,1,0.018518518518518517
afirmación,1,0.018518518518518517
paternidad,1,0.018518518518518517
norte,1,0.018518518518518517
igualdad,1,0.018518518518518517
logro,1,0.018518518518518517
clasista,1,0.018518518518518517
migrante,1,0.018518518518518517
transnacionalismo,1,0.018518518518518517
étnicamente,1,0.018518518518518517
hirsch,1,0.018518518518518517
albur,1,0.018518518518518517
desposeído,1,0.018518518518518517
