Respuesta,Frecuencia,Asociación
relación,2,0.02631578947368421
mujer,2,0.02631578947368421
himen,2,0.02631578947368421
básico,1,0.013157894736842105
especialista,1,0.013157894736842105
forma,1,0.013157894736842105
sexual,1,0.013157894736842105
presentar,1,0.013157894736842105
importante,1,0.013157894736842105
abrir,1,0.013157894736842105
3,1,0.013157894736842105
utilizar,1,0.013157894736842105
querer,1,0.013157894736842105
cuestión,1,0.013157894736842105
relación_sexual,1,0.013157894736842105
sociedad,1,0.013157894736842105
pregunta,1,0.013157894736842105
persona,1,0.013157894736842105
prueba,1,0.013157894736842105
físico,1,0.013157894736842105
médico,1,0.013157894736842105
derecho,1,0.013157894736842105
existencia,1,0.013157894736842105
romper,1,0.013157894736842105
demostrar,1,0.013157894736842105
aceptar,1,0.013157894736842105
duro,1,0.013157894736842105
sanitario,1,0.013157894736842105
interlocutor,1,0.013157894736842105
grado,1,0.013157894736842105
sorprender,1,0.013157894736842105
puesto,1,0.013157894736842105
libertad,1,0.013157894736842105
inducir,1,0.013157894736842105
malo,1,0.013157894736842105
trabajador,1,0.013157894736842105
anomalía,1,0.013157894736842105
intimidad,1,0.013157894736842105
justicia,1,0.013157894736842105
anticonceptivo,1,0.013157894736842105
experto,1,0.013157894736842105
norteamericano,1,0.013157894736842105
injusto,1,0.013157894736842105
seguridad,1,0.013157894736842105
coacción,1,0.013157894736842105
esterilización,1,0.013157894736842105
certificado,1,0.013157894736842105
extranjero,1,0.013157894736842105
indirecto,1,0.013157894736842105
soborno,1,0.013157894736842105
anticoncepción,1,0.013157894736842105
depoprovera,1,0.013157894736842105
norplant,1,0.013157894736842105
freeman,1,0.013157894736842105
antropólogo,1,0.013157894736842105
samoano,1,0.013157894736842105
margaret,1,0.013157894736842105
mear,1,0.013157894736842105
equivocar,1,0.013157894736842105
vió,1,0.013157894736842105
burlar,1,0.013157894736842105
comprometer,1,0.013157894736842105
atropellar,1,0.013157894736842105
igualdad,1,0.013157894736842105
integridad,1,0.013157894736842105
procreación,1,0.013157894736842105
incontinencia,1,0.013157894736842105
anómalo,1,0.013157894736842105
confundir,1,0.013157894736842105
fácilmente,1,0.013157894736842105
apariencia,1,0.013157894736842105
intacto,1,0.013157894736842105
frecuencia,1,0.013157894736842105
