Respuesta,Frecuencia,Asociación
lesión,2,0.10526315789473684
desarrollo,1,0.05263157894736842
etapa,1,0.05263157894736842
característica,1,0.05263157894736842
iniciar,1,0.05263157894736842
progresivo,1,0.05263157894736842
observar,1,0.05263157894736842
tendencia,1,0.05263157894736842
limitar,1,0.05263157894736842
formación,1,0.05263157894736842
dolor,1,0.05263157894736842
edematoso,1,0.05263157894736842
borde,1,0.05263157894736842
herpes,1,0.05263157894736842
úlcera,1,0.05263157894736842
vesicoúlceras,1,0.05263157894736842
papular,1,0.05263157894736842
circinados,1,0.05263157894736842
