Respuesta,Frecuencia,Asociación
pezón,2,0.05555555555555555
seguir,1,0.027777777777777776
requerir,1,0.027777777777777776
cuerpo,1,0.027777777777777776
respuesta,1,0.027777777777777776
edad,1,0.027777777777777776
tiempo,1,0.027777777777777776
persona,1,0.027777777777777776
posición,1,0.027777777777777776
cambio,1,0.027777777777777776
menor,1,0.027777777777777776
mujer,1,0.027777777777777776
fuerza,1,0.027777777777777776
hombre,1,0.027777777777777776
vagina,1,0.027777777777777776
pene,1,0.027777777777777776
efecto,1,0.027777777777777776
intimidad,1,0.027777777777777776
hormonal,1,0.027777777777777776
contracción,1,0.027777777777777776
rápido,1,0.027777777777777776
disminuir,1,0.027777777777777776
facial,1,0.027777777777777776
pared,1,0.027777777777777776
elevar,1,0.027777777777777776
erección,1,0.027777777777777776
corporal,1,0.027777777777777776
adelgazar,1,0.027777777777777776
encuentro,1,0.027777777777777776
seno,1,0.027777777777777776
ocasionar,1,0.027777777777777776
testículo,1,0.027777777777777776
muscular,1,0.027777777777777776
flacidez,1,0.027777777777777776
hinchazón,1,0.027777777777777776
