Respuesta,Frecuencia,Asociación
pene,3,0.04
peneano,2,0.02666666666666667
artículo,1,0.013333333333333334
material,1,0.013333333333333334
diverso,1,0.013333333333333334
contar,1,0.013333333333333334
deber,1,0.013333333333333334
existir,1,0.013333333333333334
mayoría,1,0.013333333333333334
caer,1,0.013333333333333334
destinar,1,0.013333333333333334
joven,1,0.013333333333333334
c,1,0.013333333333333334
llegar,1,0.013333333333333334
masturbación,1,0.013333333333333334
relación_sexual,1,0.013333333333333334
sociedad,1,0.013333333333333334
prueba,1,0.013333333333333334
oportunidad,1,0.013333333333333334
homosexual,1,0.013333333333333334
heterosexual,1,0.013333333333333334
padre,1,0.013333333333333334
admitir,1,0.013333333333333334
hombre,1,0.013333333333333334
falo,1,0.013333333333333334
ropa,1,0.013333333333333334
confesar,1,0.013333333333333334
evidencia,1,0.013333333333333334
caracterizar,1,0.013333333333333334
exposición,1,0.013333333333333334
difícil,1,0.013333333333333334
perder,1,0.013333333333333334
disminuir,1,0.013333333333333334
doblar,1,0.013333333333333334
consumo,1,0.013333333333333334
promover,1,0.013333333333333334
acto_sexual,1,0.013333333333333334
erección,1,0.013333333333333334
pornográfico,1,0.013333333333333334
tocar,1,0.013333333333333334
sesenta,1,0.013333333333333334
automáticamente,1,0.013333333333333334
interior,1,0.013333333333333334
dormir,1,0.013333333333333334
comienzo,1,0.013333333333333334
enfatizar,1,0.013333333333333334
respiración,1,0.013333333333333334
imprimir,1,0.013333333333333334
rígido,1,0.013333333333333334
desnudez,1,0.013333333333333334
desnudo,1,0.013333333333333334
encarar,1,0.013333333333333334
pecho,1,0.013333333333333334
gradualmente,1,0.013333333333333334
vulva,1,0.013333333333333334
arqueológico,1,0.013333333333333334
figurilla,1,0.013333333333333334
cerámico,1,0.013333333333333334
escultórico,1,0.013333333333333334
descontextualizar,1,0.013333333333333334
opulento,1,0.013333333333333334
tarjeta,1,0.013333333333333334
postal,1,0.013333333333333334
camiseta,1,0.013333333333333334
hermafroditismo,1,0.013333333333333334
incuestionable,1,0.013333333333333334
pornografía,1,0.013333333333333334
espiar,1,0.013333333333333334
explicitar,1,0.013333333333333334
rigidez,1,0.013333333333333334
invariablemente,1,0.013333333333333334
declinar,1,0.013333333333333334
