Respuesta,Frecuencia,Asociación
cabo,3,0.02
alimentar,3,0.02
develarnos,3,0.02
triste,3,0.02
desalmar,3,0.02
permitir,2,0.013333333333333334
importante,2,0.013333333333333334
consistir,2,0.013333333333333334
indicar,2,0.013333333333333334
establecer,2,0.013333333333333334
cumplir,2,0.013333333333333334
profundo,2,0.013333333333333334
relación,2,0.013333333333333334
vivir,2,0.013333333333333334
deseo,2,0.013333333333333334
mujer,2,0.013333333333333334
vida,2,0.013333333333333334
erótico,2,0.013333333333333334
alcanzar,2,0.013333333333333334
zona,2,0.013333333333333334
alma,2,0.013333333333333334
cometido,2,0.013333333333333334
elevar,2,0.013333333333333334
sagrado,2,0.013333333333333334
enfermizo,2,0.013333333333333334
devela,2,0.013333333333333334
enamorado,2,0.013333333333333334
feliz,2,0.013333333333333334
fructífero,2,0.013333333333333334
corazón,2,0.013333333333333334
sexualidad,1,0.006666666666666667
trabajo,1,0.006666666666666667
definición,1,0.006666666666666667
palabra,1,0.006666666666666667
tema,1,0.006666666666666667
humano,1,0.006666666666666667
deber,1,0.006666666666666667
caer,1,0.006666666666666667
momento,1,0.006666666666666667
lengua,1,0.006666666666666667
cuerpo,1,0.006666666666666667
masoquismo,1,0.006666666666666667
sociedad,1,0.006666666666666667
alto,1,0.006666666666666667
dejar,1,0.006666666666666667
llamar,1,0.006666666666666667
consecuencia,1,0.006666666666666667
devolver,1,0.006666666666666667
salir,1,0.006666666666666667
desviación,1,0.006666666666666667
amoroso,1,0.006666666666666667
compartir,1,0.006666666666666667
expresar,1,0.006666666666666667
amor,1,0.006666666666666667
cotidiano,1,0.006666666666666667
acto,1,0.006666666666666667
atención,1,0.006666666666666667
surgir,1,0.006666666666666667
moral,1,0.006666666666666667
cauteloso,1,0.006666666666666667
muerte,1,0.006666666666666667
modificación,1,0.006666666666666667
calidad,1,0.006666666666666667
dolor,1,0.006666666666666667
sufrimiento,1,0.006666666666666667
empresa,1,0.006666666666666667
criminal,1,0.006666666666666667
grave,1,0.006666666666666667
cara,1,0.006666666666666667
síntoma,1,0.006666666666666667
castración,1,0.006666666666666667
focal,1,0.006666666666666667
concernir,1,0.006666666666666667
poética,1,0.006666666666666667
anteponer,1,0.006666666666666667
apuesta,1,0.006666666666666667
personaje,1,0.006666666666666667
silencio,1,0.006666666666666667
inventar,1,0.006666666666666667
erotismo,1,0.006666666666666667
irrumpir,1,0.006666666666666667
apostar,1,0.006666666666666667
conscientizan,1,0.006666666666666667
emerger,1,0.006666666666666667
tanathos,1,0.006666666666666667
emplazar,1,0.006666666666666667
griego,1,0.006666666666666667
afición,1,0.006666666666666667
desmedir,1,0.006666666666666667
conciliación,1,0.006666666666666667
moneda,1,0.006666666666666667
echar,1,0.006666666666666667
vuelo,1,0.006666666666666667
obscuro,1,0.006666666666666667
devaneo,1,0.006666666666666667
luminoso,1,0.006666666666666667
angustiante,1,0.006666666666666667
fiesta,1,0.006666666666666667
misterioso,1,0.006666666666666667
empeñar,1,0.006666666666666667
complejidad,1,0.006666666666666667
cuidadoso,1,0.006666666666666667
rencor,1,0.006666666666666667
desánimo,1,0.006666666666666667
disfunción_eréctil,1,0.006666666666666667
liberar,1,0.006666666666666667
culpa,1,0.006666666666666667
primitivo,1,0.006666666666666667
narcisista,1,0.006666666666666667
sadismo,1,0.006666666666666667
defusión,1,0.006666666666666667
thanatos,1,0.006666666666666667
líbido,1,0.006666666666666667
evitación,1,0.006666666666666667
temer,1,0.006666666666666667
