Respuesta,Frecuencia,Asociación
mujer,4,0.029197080291970802
sexual,2,0.014598540145985401
constituir,2,0.014598540145985401
cuerpo,2,0.014598540145985401
consciente,2,0.014598540145985401
menor,2,0.014598540145985401
tocar,2,0.014598540145985401
fijar,2,0.014598540145985401
trabajo,1,0.0072992700729927005
área,1,0.0072992700729927005
seguir,1,0.0072992700729927005
base,1,0.0072992700729927005
introducción,1,0.0072992700729927005
humano,1,0.0072992700729927005
permitir,1,0.0072992700729927005
deber,1,0.0072992700729927005
general,1,0.0072992700729927005
suponer,1,0.0072992700729927005
factor,1,0.0072992700729927005
salud,1,0.0072992700729927005
mencionar,1,0.0072992700729927005
modelo,1,0.0072992700729927005
cualquiera,1,0.0072992700729927005
estructuración,1,0.0072992700729927005
contexto,1,0.0072992700729927005
secundario,1,0.0072992700729927005
examinar,1,0.0072992700729927005
1,1,0.0072992700729927005
género,1,0.0072992700729927005
conformar,1,0.0072992700729927005
registro,1,0.0072992700729927005
cincar,1,0.0072992700729927005
evitar,1,0.0072992700729927005
sujeto,1,0.0072992700729927005
masculino,1,0.0072992700729927005
masoquismo,1,0.0072992700729927005
relación,1,0.0072992700729927005
cultura,1,0.0072992700729927005
posibilidad,1,0.0072992700729927005
servicio,1,0.0072992700729927005
centro,1,0.0072992700729927005
referir,1,0.0072992700729927005
desencadenar,1,0.0072992700729927005
aparición,1,0.0072992700729927005
marcar,1,0.0072992700729927005
programación,1,0.0072992700729927005
determinar,1,0.0072992700729927005
do,1,0.0072992700729927005
importancia,1,0.0072992700729927005
posición,1,0.0072992700729927005
sentir,1,0.0072992700729927005
memoria,1,0.0072992700729927005
producir,1,0.0072992700729927005
revisión,1,0.0072992700729927005
psíquico,1,0.0072992700729927005
muestra,1,0.0072992700729927005
14,1,0.0072992700729927005
siglo,1,0.0072992700729927005
regular,1,0.0072992700729927005
instinto,1,0.0072992700729927005
aparecer,1,0.0072992700729927005
fantasía,1,0.0072992700729927005
genital,1,0.0072992700729927005
patrón,1,0.0072992700729927005
hombre,1,0.0072992700729927005
diferenciar,1,0.0072992700729927005
sexuado,1,0.0072992700729927005
vagina,1,0.0072992700729927005
compartir,1,0.0072992700729927005
erótico,1,0.0072992700729927005
mercado,1,0.0072992700729927005
quedar,1,0.0072992700729927005
personal,1,0.0072992700729927005
útil,1,0.0072992700729927005
combinación,1,0.0072992700729927005
marcha,1,0.0072992700729927005
obstante,1,0.0072992700729927005
operar,1,0.0072992700729927005
exterior,1,0.0072992700729927005
político,1,0.0072992700729927005
oposición,1,0.0072992700729927005
muerte,1,0.0072992700729927005
censura,1,0.0072992700729927005
postura,1,0.0072992700729927005
ginecológico,1,0.0072992700729927005
zona,1,0.0072992700729927005
directamente,1,0.0072992700729927005
traer,1,0.0072992700729927005
estímulo,1,0.0072992700729927005
labio,1,0.0072992700729927005
detectar,1,0.0072992700729927005
categoría,1,0.0072992700729927005
genérico,1,0.0072992700729927005
caracterización,1,0.0072992700729927005
erotismo,1,0.0072992700729927005
conjugar,1,0.0072992700729927005
corporal,1,0.0072992700729927005
pornográfico,1,0.0072992700729927005
orgásmico,1,0.0072992700729927005
satisfacción,1,0.0072992700729927005
excitación,1,0.0072992700729927005
sadismo,1,0.0072992700729927005
históricamente,1,0.0072992700729927005
gusto,1,0.0072992700729927005
hegemónico,1,0.0072992700729927005
apelar,1,0.0072992700729927005
crítico,1,0.0072992700729927005
recuerdo,1,0.0072992700729927005
fácilmente,1,0.0072992700729927005
bolita,1,0.0072992700729927005
pecho,1,0.0072992700729927005
concomitantemente,1,0.0072992700729927005
genealogía,1,0.0072992700729927005
nominación,1,0.0072992700729927005
llamémosla,1,0.0072992700729927005
rizoma,1,0.0072992700729927005
estructurándose,1,0.0072992700729927005
pornografía,1,0.0072992700729927005
accesorio,1,0.0072992700729927005
semántica,1,0.0072992700729927005
porno,1,0.0072992700729927005
reinscribir,1,0.0072992700729927005
reificación,1,0.0072992700729927005
esencialista,1,0.0072992700729927005
vestíbulo,1,0.0072992700729927005
proyectar,1,0.0072992700729927005
introyectado,1,0.0072992700729927005
