Respuesta,Frecuencia,Asociación
erotismo,32,0.010921501706484642
sexual,31,0.010580204778156996
deseo,27,0.009215017064846417
experiencia,22,0.007508532423208191
sexualidad,21,0.007167235494880546
cuerpo,21,0.007167235494880546
imagen,17,0.005802047781569966
pornografía,17,0.005802047781569966
hombre,16,0.005460750853242321
objeto,14,0.00477815699658703
forma,13,0.004436860068259386
juego,13,0.004436860068259386
mujer,13,0.004436860068259386
vida,13,0.004436860068259386
placer,11,0.0037542662116040954
relación,11,0.0037542662116040954
pareja,11,0.0037542662116040954
femenino,9,0.0030716723549488053
persona,9,0.0030716723549488053
pornográfico,8,0.0027303754266211604
bataille,8,0.0027303754266211604
etcétera,7,0.002389078498293515
humano,7,0.002389078498293515
límite,7,0.002389078498293515
adolescente,7,0.002389078498293515
práctica,7,0.002389078498293515
acto,7,0.002389078498293515
espacio,7,0.002389078498293515
dimensión,7,0.002389078498293515
permitir,6,0.0020477815699658703
existir,6,0.0020477815699658703
relacionar,6,0.0020477815699658703
sentir,6,0.0020477815699658703
vivir,6,0.0020477815699658703
afectivo,6,0.0020477815699658703
sexo,6,0.0020477815699658703
expresar,6,0.0020477815699658703
escena,6,0.0020477815699658703
vincular,6,0.0020477815699658703
intenso,6,0.0020477815699658703
necesario,5,0.0017064846416382253
2,5,0.0017064846416382253
papel,5,0.0017064846416382253
construir,5,0.0017064846416382253
hablar,5,0.0017064846416382253
actividad_sexual,5,0.0017064846416382253
entender,5,0.0017064846416382253
fantasía,5,0.0017064846416382253
observar,5,0.0017064846416382253
jugar,5,0.0017064846416382253
connotación,5,0.0017064846416382253
muerte,5,0.0017064846416382253
caricia,5,0.0017064846416382253
previo,5,0.0017064846416382253
disfunción,5,0.0017064846416382253
proceso,4,0.0013651877133105802
intentar,4,0.0013651877133105802
acción,4,0.0013651877133105802
momento,4,0.0013651877133105802
principal,4,0.0013651877133105802
lugar,4,0.0013651877133105802
carácter,4,0.0013651877133105802
tipo,4,0.0013651877133105802
obtener,4,0.0013651877133105802
género,4,0.0013651877133105802
3,4,0.0013651877133105802
comprender,4,0.0013651877133105802
dividir,4,0.0013651877133105802
distinto,4,0.0013651877133105802
anal,4,0.0013651877133105802
relación_sexual,4,0.0013651877133105802
producción,4,0.0013651877133105802
dejar,4,0.0013651877133105802
llamar,4,0.0013651877133105802
cualitativo,4,0.0013651877133105802
convertir,4,0.0013651877133105802
menor,4,0.0013651877133105802
considerar,4,0.0013651877133105802
representación,4,0.0013651877133105802
corporal,4,0.0013651877133105802
personaje,4,0.0013651877133105802
madre,4,0.0013651877133105802
compañero,4,0.0013651877133105802
amor,4,0.0013651877133105802
necesariamente,4,0.0013651877133105802
cogida,4,0.0013651877133105802
acto_sexual,4,0.0013651877133105802
religioso,4,0.0013651877133105802
excitación,4,0.0013651877133105802
alejar,4,0.0013651877133105802
goce,4,0.0013651877133105802
satisfacción,4,0.0013651877133105802
sexo_oral,4,0.0013651877133105802
genitales,4,0.0013651877133105802
diversificar,4,0.0013651877133105802
arte,4,0.0013651877133105802
deformación,4,0.0013651877133105802
reportar,4,0.0013651877133105802
institucionalización,4,0.0013651877133105802
proponer,3,0.0010238907849829352
trabajo,3,0.0010238907849829352
término,3,0.0010238907849829352
problema,3,0.0010238907849829352
palabra,3,0.0010238907849829352
elemento,3,0.0010238907849829352
social,3,0.0010238907849829352
general,3,0.0010238907849829352
suponer,3,0.0010238907849829352
necesidad,3,0.0010238907849829352
factor,3,0.0010238907849829352
2004,3,0.0010238907849829352
desarrollo,3,0.0010238907849829352
obtención,3,0.0010238907849829352
objetivo,3,0.0010238907849829352
definir,3,0.0010238907849829352
niño,3,0.0010238907849829352
joven,3,0.0010238907849829352
idea,3,0.0010238907849829352
escribir,3,0.0010238907849829352
caso,3,0.0010238907849829352
biológico,3,0.0010238907849829352
expresión,3,0.0010238907849829352
cuestión,3,0.0010238907849829352
orgasmo,3,0.0010238907849829352
sujeto,3,0.0010238907849829352
masculino,3,0.0010238907849829352
diferencia,3,0.0010238907849829352
cultura,3,0.0010238907849829352
edad,3,0.0010238907849829352
desprender,3,0.0010238907849829352
característica,3,0.0010238907849829352
ejemplo,3,0.0010238907849829352
significar,3,0.0010238907849829352
cualidad,3,0.0010238907849829352
1999,3,0.0010238907849829352
valor,3,0.0010238907849829352
aprender,3,0.0010238907849829352
crecimiento,3,0.0010238907849829352
único,3,0.0010238907849829352
asociar,3,0.0010238907849829352
secreto,3,0.0010238907849829352
aparecer,3,0.0010238907849829352
homosexual,3,0.0010238907849829352
reproductivo,3,0.0010238907849829352
fuerte,3,0.0010238907849829352
1997,3,0.0010238907849829352
hijo,3,0.0010238907849829352
parecer,3,0.0010238907849829352
mundo,3,0.0010238907849829352
velo,3,0.0010238907849829352
ojo,3,0.0010238907849829352
capaz,3,0.0010238907849829352
intercambio,3,0.0010238907849829352
continuar,3,0.0010238907849829352
holístico,3,0.0010238907849829352
respuesta_sexual,3,0.0010238907849829352
batailliana,3,0.0010238907849829352
obsceno,3,0.0010238907849829352
lacan,3,0.0010238907849829352
reproducción,3,0.0010238907849829352
apertura,3,0.0010238907849829352
sensación,3,0.0010238907849829352
oculto,3,0.0010238907849829352
soler,3,0.0010238907849829352
manifestación,3,0.0010238907849829352
fotografía,3,0.0010238907849829352
convocar,3,0.0010238907849829352
condenar,3,0.0010238907849829352
contrario,3,0.0010238907849829352
fusión,3,0.0010238907849829352
orgía,3,0.0010238907849829352
encuentro,3,0.0010238907849829352
perder,3,0.0010238907849829352
provocar,3,0.0010238907849829352
especie,3,0.0010238907849829352
estímulo,3,0.0010238907849829352
colectivo,3,0.0010238907849829352
grupal,3,0.0010238907849829352
conciencia,3,0.0010238907849829352
personal,3,0.0010238907849829352
imposibilidad,3,0.0010238907849829352
24,3,0.0010238907849829352
religión,3,0.0010238907849829352
excitar,3,0.0010238907849829352
efecto,3,0.0010238907849829352
frecuencia,3,0.0010238907849829352
recuerdo,3,0.0010238907849829352
externo,3,0.0010238907849829352
gustar,3,0.0010238907849829352
símbolo,3,0.0010238907849829352
desaparición,3,0.0010238907849829352
básico,2,0.0006825938566552901
méxico,2,0.0006825938566552901
texto,2,0.0006825938566552901
método,2,0.0006825938566552901
material,2,0.0006825938566552901
tratar,2,0.0006825938566552901
específico,2,0.0006825938566552901
diverso,2,0.0006825938566552901
tema,2,0.0006825938566552901
encontrar,2,0.0006825938566552901
principio,2,0.0006825938566552901
contar,2,0.0006825938566552901
integración,2,0.0006825938566552901
población,2,0.0006825938566552901
estructurar,2,0.0006825938566552901
información,2,0.0006825938566552901
propuesta,2,0.0006825938566552901
principalmente,2,0.0006825938566552901
particular,2,0.0006825938566552901
atender,2,0.0006825938566552901
programa,2,0.0006825938566552901
riesgo,2,0.0006825938566552901
ámbito,2,0.0006825938566552901
constituir,2,0.0006825938566552901
alternativa,2,0.0006825938566552901
presentar,2,0.0006825938566552901
crear,2,0.0006825938566552901
estudio,2,0.0006825938566552901
etapa,2,0.0006825938566552901
amplio,2,0.0006825938566552901
cualquiera,2,0.0006825938566552901
relevante,2,0.0006825938566552901
requerir,2,0.0006825938566552901
ocurrencia,2,0.0006825938566552901
acceso,2,0.0006825938566552901
pensar,2,0.0006825938566552901
maestro,2,0.0006825938566552901
adecuar,2,0.0006825938566552901
llegar,2,0.0006825938566552901
1,2,0.0006825938566552901
búsqueda,2,0.0006825938566552901
4,2,0.0006825938566552901
separar,2,0.0006825938566552901
conformar,2,0.0006825938566552901
realidad,2,0.0006825938566552901
kinsey,2,0.0006825938566552901
contenido,2,0.0006825938566552901
estructura,2,0.0006825938566552901
representar,2,0.0006825938566552901
control,2,0.0006825938566552901
comportamiento_sexual,2,0.0006825938566552901
coito,2,0.0006825938566552901
orientación_sexual,2,0.0006825938566552901
desarrollar,2,0.0006825938566552901
transmisión,2,0.0006825938566552901
vía,2,0.0006825938566552901
atracción,2,0.0006825938566552901
individuo,2,0.0006825938566552901
habilidad,2,0.0006825938566552901
conquista,2,0.0006825938566552901
sociedad,2,0.0006825938566552901
tiempo,2,0.0006825938566552901
posibilidad,2,0.0006825938566552901
reconocer,2,0.0006825938566552901
provenir,2,0.0006825938566552901
reconocimiento,2,0.0006825938566552901
centro,2,0.0006825938566552901
ofrecer,2,0.0006825938566552901
desencadenar,2,0.0006825938566552901
precedente,2,0.0006825938566552901
moldear,2,0.0006825938566552901
identificar,2,0.0006825938566552901
frecuente,2,0.0006825938566552901
posición,2,0.0006825938566552901
ayudar,2,0.0006825938566552901
naturaleza,2,0.0006825938566552901
capacidad,2,0.0006825938566552901
conclusión,2,0.0006825938566552901
activo,2,0.0006825938566552901
manejo,2,0.0006825938566552901
aplicar,2,0.0006825938566552901
desear,2,0.0006825938566552901
creer,2,0.0006825938566552901
enfrentar,2,0.0006825938566552901
defender,2,0.0006825938566552901
relatar,2,0.0006825938566552901
erróneo,2,0.0006825938566552901
torno,2,0.0006825938566552901
escaso,2,0.0006825938566552901
físico,2,0.0006825938566552901
psíquico,2,0.0006825938566552901
entrevista,2,0.0006825938566552901
clase,2,0.0006825938566552901
coital,2,0.0006825938566552901
época,2,0.0006825938566552901
norma,2,0.0006825938566552901
negar,2,0.0006825938566552901
derecho,2,0.0006825938566552901
existencia,2,0.0006825938566552901
infantil,2,0.0006825938566552901
vital,2,0.0006825938566552901
infancia,2,0.0006825938566552901
impulso,2,0.0006825938566552901
represión,2,0.0006825938566552901
despertar,2,0.0006825938566552901
1948,2,0.0006825938566552901
heterosexual,2,0.0006825938566552901
real,2,0.0006825938566552901
infección,2,0.0006825938566552901
matrimonio,2,0.0006825938566552901
europeo,2,0.0006825938566552901
estricto,2,0.0006825938566552901
variabilidad,2,0.0006825938566552901
dominación,2,0.0006825938566552901
sexuado,2,0.0006825938566552901
pensamiento,2,0.0006825938566552901
historia,2,0.0006825938566552901
órgano,2,0.0006825938566552901
deseable,2,0.0006825938566552901
canción,2,0.0006825938566552901
letra,2,0.0006825938566552901
compartir,2,0.0006825938566552901
provocador,2,0.0006825938566552901
reivindicación,2,0.0006825938566552901
desatar,2,0.0006825938566552901
horizonte,2,0.0006825938566552901
calle,2,0.0006825938566552901
empezar,2,0.0006825938566552901
alcanzar,2,0.0006825938566552901
matiz,2,0.0006825938566552901
alguien,2,0.0006825938566552901
difícil,2,0.0006825938566552901
debate,2,0.0006825938566552901
categoría,2,0.0006825938566552901
eros,2,0.0006825938566552901
calidad,2,0.0006825938566552901
justo,2,0.0006825938566552901
acaso,2,0.0006825938566552901
animal,2,0.0006825938566552901
atribuir,2,0.0006825938566552901
anticonceptivo,2,0.0006825938566552901
40,2,0.0006825938566552901
procreativo,2,0.0006825938566552901
diferencía,2,0.0006825938566552901
suerte,2,0.0006825938566552901
intimidad,2,0.0006825938566552901
piel,2,0.0006825938566552901
exaltar,2,0.0006825938566552901
pedro,2,0.0006825938566552901
