Respuesta,Frecuencia,Asociación
humano,9,0.03169014084507042
óvulo,7,0.02464788732394366
adn,7,0.02464788732394366
existir,3,0.01056338028169014
caso,3,0.01056338028169014
x,3,0.01056338028169014
cromatina,3,0.01056338028169014
diverso,2,0.007042253521126761
permitir,2,0.007042253521126761
salud,2,0.007042253521126761
lugar,2,0.007042253521126761
técnica,2,0.007042253521126761
parámetro,2,0.007042253521126761
nivel,2,0.007042253521126761
biológico,2,0.007042253521126761
incluir,2,0.007042253521126761
posibilidad,2,0.007042253521126761
alto,2,0.007042253521126761
defecto,2,0.007042253521126761
tasa,2,0.007042253521126761
resultado,2,0.007042253521126761
producir,2,0.007042253521126761
asociar,2,0.007042253521126761
considerar,2,0.007042253521126761
inicio,2,0.007042253521126761
sexo,2,0.007042253521126761
mujer,2,0.007042253521126761
someter,2,0.007042253521126761
tumor,2,0.007042253521126761
mola,2,0.007042253521126761
excluir,2,0.007042253521126761
somático,2,0.007042253521126761
infertilidad,2,0.007042253521126761
exhibir,2,0.007042253521126761
cromosoma_sexual,2,0.007042253521126761
cigoto,2,0.007042253521126761
cromosómico,2,0.007042253521126761
espermático,2,0.007042253521126761
proceso,1,0.0035211267605633804
material,1,0.0035211267605633804
tratar,1,0.0035211267605633804
perspectiva,1,0.0035211267605633804
encontrar,1,0.0035211267605633804
indispensable,1,0.0035211267605633804
contar,1,0.0035211267605633804
deber,1,0.0035211267605633804
criterio,1,0.0035211267605633804
necesidad,1,0.0035211267605633804
particular,1,0.0035211267605633804
atender,1,0.0035211267605633804
organización,1,0.0035211267605633804
mundial,1,0.0035211267605633804
2000,1,0.0035211267605633804
presentar,1,0.0035211267605633804
desarrollo,1,0.0035211267605633804
crear,1,0.0035211267605633804
estudio,1,0.0035211267605633804
análisis,1,0.0035211267605633804
momento,1,0.0035211267605633804
producto,1,0.0035211267605633804
importante,1,0.0035211267605633804
definir,1,0.0035211267605633804
contener,1,0.0035211267605633804
tipo,1,0.0035211267605633804
punto,1,0.0035211267605633804
obtener,1,0.0035211267605633804
esencia,1,0.0035211267605633804
3,1,0.0035211267605633804
hallar,1,0.0035211267605633804
utilizar,1,0.0035211267605633804
sección,1,0.0035211267605633804
distinto,1,0.0035211267605633804
cuerpo,1,0.0035211267605633804
coito,1,0.0035211267605633804
femenino,1,0.0035211267605633804
diferencia,1,0.0035211267605633804
relación,1,0.0035211267605633804
individuo,1,0.0035211267605633804
entrar,1,0.0035211267605633804
discusión,1,0.0035211267605633804
característica,1,0.0035211267605633804
suficiente,1,0.0035211267605633804
funcional,1,0.0035211267605633804
seleccionar,1,0.0035211267605633804
condición,1,0.0035211267605633804
capacidad,1,0.0035211267605633804
situación,1,0.0035211267605633804
implementar,1,0.0035211267605633804
éxito,1,0.0035211267605633804
embarazo,1,0.0035211267605633804
único,1,0.0035211267605633804
cerca,1,0.0035211267605633804
22,1,0.0035211267605633804
aborto,1,0.0035211267605633804
20,1,0.0035211267605633804
oms,1,0.0035211267605633804
normal,1,0.0035211267605633804
aparecer,1,0.0035211267605633804
infancia,1,0.0035211267605633804
despertar,1,0.0035211267605633804
demostrar,1,0.0035211267605633804
patológico,1,0.0035211267605633804
genital,1,0.0035211267605633804
causa,1,0.0035211267605633804
hombre,1,0.0035211267605633804
natural,1,0.0035211267605633804
vagina,1,0.0035211267605633804
generar,1,0.0035211267605633804
especial,1,0.0035211267605633804
unir,1,0.0035211267605633804
núcleo,1,0.0035211267605633804
negativo,1,0.0035211267605633804
quedar,1,0.0035211267605633804
lograr,1,0.0035211267605633804
afirmar,1,0.0035211267605633804
pene,1,0.0035211267605633804
daño,1,0.0035211267605633804
presencia,1,0.0035211267605633804
formación,1,0.0035211267605633804
adquirir,1,0.0035211267605633804
evidencia,1,0.0035211267605633804
rutina,1,0.0035211267605633804
probablemente,1,0.0035211267605633804
malo,1,0.0035211267605633804
d,1,0.0035211267605633804
maduración,1,0.0035211267605633804
crucial,1,0.0035211267605633804
anomalía,1,0.0035211267605633804
embrión,1,0.0035211267605633804
radicar,1,0.0035211267605633804
interés,1,0.0035211267605633804
estrechamente,1,0.0035211267605633804
ocurrir,1,0.0035211267605633804
calidad,1,0.0035211267605633804
reproducción_asistir,1,0.0035211267605633804
implantación,1,0.0035211267605633804
genético,1,0.0035211267605633804
embrionario,1,0.0035211267605633804
fecundación,1,0.0035211267605633804
sustentar,1,0.0035211267605633804
sencillo,1,0.0035211267605633804
fertilizante,1,0.0035211267605633804
traer,1,0.0035211267605633804
potencial,1,0.0035211267605633804
evaluación,1,0.0035211267605633804
inyección,1,0.0035211267605633804
duplicar,1,0.0035211267605633804
contacto,1,0.0035211267605633804
pérdida,1,0.0035211267605633804
conducir,1,0.0035211267605633804
incremento,1,0.0035211267605633804
estéril,1,0.0035211267605633804
44,1,0.0035211267605633804
fecundar,1,0.0035211267605633804
originar,1,0.0035211267605633804
hallazgo,1,0.0035211267605633804
gestacional,1,0.0035211267605633804
entidad,1,0.0035211267605633804
reportar,1,0.0035211267605633804
alterar,1,0.0035211267605633804
reporte,1,0.0035211267605633804
selección,1,0.0035211267605633804
evidentemente,1,0.0035211267605633804
ovulación,1,0.0035211267605633804
doble,1,0.0035211267605633804
rango,1,0.0035211267605633804
código,1,0.0035211267605633804
intacto,1,0.0035211267605633804
integridad,1,0.0035211267605633804
transferencia,1,0.0035211267605633804
simplemente,1,0.0035211267605633804
encuentro,1,0.0035211267605633804
bucle,1,0.0035211267605633804
célula,1,0.0035211267605633804
exacto,1,0.0035211267605633804
modalidad,1,0.0035211267605633804
esperable,1,0.0035211267605633804
estructural,1,0.0035211267605633804
nuclear,1,0.0035211267605633804
acentuar,1,0.0035211267605633804
cadena,1,0.0035211267605633804
estadio,1,0.0035211267605633804
concentración,1,0.0035211267605633804
recomendación,1,0.0035211267605633804
potencialidad,1,0.0035211267605633804
rotura,1,0.0035211267605633804
gameto,1,0.0035211267605633804
fragmentar,1,0.0035211267605633804
replantear,1,0.0035211267605633804
singamia,1,0.0035211267605633804
adultez,1,0.0035211267605633804
objetivismo,1,0.0035211267605633804
subjetivismo,1,0.0035211267605633804
richardson,1,0.0035211267605633804
reiss,1,0.0035211267605633804
desdiferenciar,1,0.0035211267605633804
totipotencia,1,0.0035211267605633804
descendencia,1,0.0035211267605633804
molécula,1,0.0035211267605633804
íntegro,1,0.0035211267605633804
condensación,1,0.0035211267605633804
tunel,1,0.0035211267605633804
isnt,1,0.0035211267605633804
fragmentación,1,0.0035211267605633804
seminal,1,0.0035211267605633804
anormal,1,0.0035211267605633804
oligoteratoastenozoospermia,1,0.0035211267605633804
morfología,1,0.0035211267605633804
halo,1,0.0035211267605633804
microgel,1,0.0035211267605633804
azaroso,1,0.0035211267605633804
lisis,1,0.0035211267605633804
desproteinizados,1,0.0035211267605633804
electroforesis,1,0.0035211267605633804
fivicsi,1,0.0035211267605633804
fiv,1,0.0035211267605633804
icsi,1,0.0035211267605633804
intracitoplásmica,1,0.0035211267605633804
panamericano,1,0.0035211267605633804
opsorganización,1,0.0035211267605633804
warren,1,0.0035211267605633804
cromosoma,1,0.0035211267605633804
ovulando,1,0.0035211267605633804
fecundante,1,0.0035211267605633804
tracto,1,0.0035211267605633804
