Respuesta,Frecuencia,Asociación
mujer,24,0.02528977871443625
método,13,0.0136986301369863
esterilizar,9,0.009483667017913594
médico,7,0.007376185458377239
salud,5,0.005268703898840885
ayuda,5,0.005268703898840885
caso,5,0.005268703898840885
anticonceptivo,5,0.005268703898840885
brasileño,5,0.005268703898840885
deber,4,0.004214963119072708
aborto,4,0.004214963119072708
diu,4,0.004214963119072708
vasectomía,4,0.004214963119072708
noticia,4,0.004214963119072708
internacional,4,0.004214963119072708
laparoscopia,4,0.004214963119072708
masivo,4,0.004214963119072708
trabajo,3,0.003161222339304531
méxico,3,0.003161222339304531
país,3,0.003161222339304531
población,3,0.003161222339304531
general,3,0.003161222339304531
programa,3,0.003161222339304531
importante,3,0.003161222339304531
consistir,3,0.003161222339304531
indicar,3,0.003161222339304531
requisito,3,0.003161222339304531
apartado,3,0.003161222339304531
femenino,3,0.003161222339304531
individuo,3,0.003161222339304531
edad,3,0.003161222339304531
servicio,3,0.003161222339304531
ejemplo,3,0.003161222339304531
método_anticonceptivo,3,0.003161222339304531
negar,3,0.003161222339304531
aceptar,3,0.003161222339304531
especial,3,0.003161222339304531
familiar,3,0.003161222339304531
católico,3,0.003161222339304531
política,3,0.003161222339304531
consentimiento,3,0.003161222339304531
guerra,3,0.003161222339304531
alimento,3,0.003161222339304531
indio,3,0.003161222339304531
coacción,3,0.003161222339304531
premio,3,0.003161222339304531
agencia,3,0.003161222339304531
indígena,3,0.003161222339304531
alceni,3,0.003161222339304531
salvador,3,0.003161222339304531
realización,3,0.003161222339304531
construcción,2,0.002107481559536354
conocimiento,2,0.002107481559536354
información,2,0.002107481559536354
factor,2,0.002107481559536354
año,2,0.002107481559536354
requerir,2,0.002107481559536354
dato,2,0.002107481559536354
usuario,2,0.002107481559536354
autorizar,2,0.002107481559536354
tipo,2,0.002107481559536354
punto,2,0.002107481559536354
manual,2,0.002107481559536354
estrategia,2,0.002107481559536354
hallar,2,0.002107481559536354
duda,2,0.002107481559536354
comprender,2,0.002107481559536354
psicológico,2,0.002107481559536354
introducir,2,0.002107481559536354
ofrecer,2,0.002107481559536354
prácticamente,2,0.002107481559536354
reflejar,2,0.002107481559536354
condición,2,0.002107481559536354
do,2,0.002107481559536354
_,2,0.002107481559536354
aplicar,2,0.002107481559536354
éxito,2,0.002107481559536354
vivir,2,0.002107481559536354
15,2,0.002107481559536354
cerca,2,0.002107481559536354
21,2,0.002107481559536354
mayo,2,0.002107481559536354
practicar,2,0.002107481559536354
norma,2,0.002107481559536354
derecho,2,0.002107481559536354
vida,2,0.002107481559536354
demostrar,2,0.002107481559536354
argumentar,2,0.002107481559536354
fundamentalmente,2,0.002107481559536354
perseguir,2,0.002107481559536354
hombre,2,0.002107481559536354
comprobar,2,0.002107481559536354
1991,2,0.002107481559536354
