Respuesta,Frecuencia,Asociación
publicar,3,0.08333333333333333
femenino,2,0.05555555555555555
activo,2,0.05555555555555555
mujer,2,0.05555555555555555
movimiento,2,0.05555555555555555
feminista,2,0.05555555555555555
geramine,2,0.05555555555555555
greer,2,0.05555555555555555
baluarte,2,0.05555555555555555
sexualidad,1,0.027777777777777776
artículo,1,0.027777777777777776
tratar,1,0.027777777777777776
sistemático,1,0.027777777777777776
estudio,1,0.027777777777777776
obra,1,0.027777777777777776
kinsey,1,0.027777777777777776
actitud,1,0.027777777777777776
convertir,1,0.027777777777777776
iniciar,1,0.027777777777777776
considerar,1,0.027777777777777776
alfred,1,0.027777777777777776
matrimonio,1,0.027777777777777776
inferior,1,0.027777777777777776
convencional,1,0.027777777777777776
observación,1,0.027777777777777776
1939,1,0.027777777777777776
