Respuesta,Frecuencia,Asociación
3,8,0.0148975791433892
1,7,0.01303538175046555
2,6,0.0111731843575419
4,6,0.0111731843575419
5,6,0.0111731843575419
persona,5,0.00931098696461825
mujer,5,0.00931098696461825
hombre,5,0.00931098696461825
sexual,4,0.0074487895716946
necesitar,4,0.0074487895716946
deseo,4,0.0074487895716946
factor,3,0.00558659217877095
público,3,0.00558659217877095
joven,3,0.00558659217877095
actividad_sexual,3,0.00558659217877095
apuntar,3,0.00558659217877095
do,3,0.00558659217877095
sexo,3,0.00558659217877095
vagina,3,0.00558659217877095
erótico,3,0.00558659217877095
dificultad,3,0.00558659217877095
acto,3,0.00558659217877095
disfrutar,3,0.00558659217877095
vestir,3,0.00558659217877095
32,3,0.00558659217877095
exhibicionismo,3,0.00558659217877095
encontrar,2,0.0037243947858473
contar,2,0.0037243947858473
análisis,2,0.0037243947858473
principal,2,0.0037243947858473
lugar,2,0.0037243947858473
pensar,2,0.0037243947858473
llegar,2,0.0037243947858473
utilizar,2,0.0037243947858473
exponer,2,0.0037243947858473
querer,2,0.0037243947858473
mente,2,0.0037243947858473
cuerpo,2,0.0037243947858473
masturbación,2,0.0037243947858473
pareja,2,0.0037243947858473
interesar,2,0.0037243947858473
importar,2,0.0037243947858473
adolescencia,2,0.0037243947858473
método_anticonceptivo,2,0.0037243947858473
preservativo,2,0.0037243947858473
18,2,0.0037243947858473
chico,2,0.0037243947858473
20,2,0.0037243947858473
oponer,2,0.0037243947858473
27,2,0.0037243947858473
amor,2,0.0037243947858473
grado,2,0.0037243947858473
acabar,2,0.0037243947858473
comenzar,2,0.0037243947858473
desventaja,2,0.0037243947858473
corte,2,0.0037243947858473
provocar,2,0.0037243947858473
extraño,2,0.0037243947858473
condón,2,0.0037243947858473
95,2,0.0037243947858473
estímulo,2,0.0037243947858473
anestesia,2,0.0037243947858473
28,2,0.0037243947858473
112,2,0.0037243947858473
756,2,0.0037243947858473
201,2,0.0037243947858473
704,2,0.0037243947858473
104,2,0.0037243947858473
708,2,0.0037243947858473
189,2,0.0037243947858473
cadena,2,0.0037243947858473
componente,2,0.0037243947858473
acp,2,0.0037243947858473
rotación,2,0.0037243947858473
oblicuo,2,0.0037243947858473
174,2,0.0037243947858473
tocar,2,0.0037243947858473
to,2,0.0037243947858473
15tengo,2,0.0037243947858473
cine,2,0.0037243947858473
insatisfecho,2,0.0037243947858473
gay,2,0.0037243947858473
observación,2,0.0037243947858473
sexualidad,1,0.00186219739292365
artículo,1,0.00186219739292365
trabajo,1,0.00186219739292365
área,1,0.00186219739292365
estudiar,1,0.00186219739292365
explicar,1,0.00186219739292365
proceso,1,0.00186219739292365
seguir,1,0.00186219739292365
etcétera,1,0.00186219739292365
orientar,1,0.00186219739292365
problema,1,0.00186219739292365
i,1,0.00186219739292365
diverso,1,0.00186219739292365
cultural,1,0.00186219739292365
concepto,1,0.00186219739292365
permitir,1,0.00186219739292365
faltar,1,0.00186219739292365
responder,1,0.00186219739292365
necesidad,1,0.00186219739292365
mexicano,1,0.00186219739292365
superior,1,0.00186219739292365
riesgo,1,0.00186219739292365
buscar,1,0.00186219739292365
relacionar,1,0.00186219739292365
investigación,1,0.00186219739292365
presentar,1,0.00186219739292365
desarrollo,1,0.00186219739292365
crear,1,0.00186219739292365
amplio,1,0.00186219739292365
cualquiera,1,0.00186219739292365
dirigir,1,0.00186219739292365
objetivo,1,0.00186219739292365
resolución,1,0.00186219739292365
importante,1,0.00186219739292365
acceso,1,0.00186219739292365
destinar,1,0.00186219739292365
carácter,1,0.00186219739292365
calificar,1,0.00186219739292365
tipo,1,0.00186219739292365
mostrar,1,0.00186219739292365
idea,1,0.00186219739292365
implicar,1,0.00186219739292365
género,1,0.00186219739292365
duda,1,0.00186219739292365
pasar,1,0.00186219739292365
trabajar,1,0.00186219739292365
visión,1,0.00186219739292365
distinto,1,0.00186219739292365
objeto,1,0.00186219739292365
control,1,0.00186219739292365
orgasmo,1,0.00186219739292365
fantasía_sexual,1,0.00186219739292365
estimulación,1,0.00186219739292365
coito,1,0.00186219739292365
placer,1,0.00186219739292365
relación_sexual,1,0.00186219739292365
sujeto,1,0.00186219739292365
masculino,1,0.00186219739292365
femenino,1,0.00186219739292365
clasificar,1,0.00186219739292365
relación,1,0.00186219739292365
tiempo,1,0.00186219739292365
referir,1,0.00186219739292365
facilidad,1,0.00186219739292365
ejemplo,1,0.00186219739292365
agregar,1,0.00186219739292365
suficiente,1,0.00186219739292365
frecuente,1,0.00186219739292365
definitivo,1,0.00186219739292365
generalmente,1,0.00186219739292365
capacidad,1,0.00186219739292365
sentir,1,0.00186219739292365
consciente,1,0.00186219739292365
desear,1,0.00186219739292365
práctica,1,0.00186219739292365
producir,1,0.00186219739292365
salir,1,0.00186219739292365
considerar,1,0.00186219739292365
15,1,0.00186219739292365
físico,1,0.00186219739292365
33,1,0.00186219739292365
23,1,0.00186219739292365
entender,1,0.00186219739292365
distinguir,1,0.00186219739292365
escuchar,1,0.00186219739292365
vida,1,0.00186219739292365
impulso,1,0.00186219739292365
fantasía,1,0.00186219739292365
heterosexual,1,0.00186219739292365
regulación,1,0.00186219739292365
fuerte,1,0.00186219739292365
observar,1,0.00186219739292365
entrevistar,1,0.00186219739292365
padre,1,0.00186219739292365
costumbre,1,0.00186219739292365
estricto,1,0.00186219739292365
admitir,1,0.00186219739292365
televisión,1,0.00186219739292365
interpretar,1,0.00186219739292365
película,1,0.00186219739292365
representación,1,0.00186219739292365
diferenciar,1,0.00186219739292365
parecer,1,0.00186219739292365
baile,1,0.00186219739292365
mantener,1,0.00186219739292365
ropa,1,0.00186219739292365
sexualmente,1,0.00186219739292365
35,1,0.00186219739292365
cambiar,1,0.00186219739292365
quedar,1,0.00186219739292365
16,1,0.00186219739292365
penetración,1,0.00186219739292365
frente,1,0.00186219739292365
6,1,0.00186219739292365
compromiso,1,0.00186219739292365
varón,1,0.00186219739292365
sensación,1,0.00186219739292365
personal,1,0.00186219739292365
vergüenza,1,0.00186219739292365
compañero,1,0.00186219739292365
extremo,1,0.00186219739292365
caracterizar,1,0.00186219739292365
lleno,1,0.00186219739292365
inmediato,1,0.00186219739292365
madre,1,0.00186219739292365
cometer,1,0.00186219739292365
exposición,1,0.00186219739292365
interés,1,0.00186219739292365
alguien,1,0.00186219739292365
moderno,1,0.00186219739292365
capaz,1,0.00186219739292365
censura,1,0.00186219739292365
viaje,1,0.00186219739292365
postura,1,0.00186219739292365
dolor,1,0.00186219739292365
circunstancia,1,0.00186219739292365
imaginar,1,0.00186219739292365
públicamente,1,0.00186219739292365
directamente,1,0.00186219739292365
sencillo,1,0.00186219739292365
emitir,1,0.00186219739292365
verde,1,0.00186219739292365
preferencia,1,0.00186219739292365
vaginal,1,0.00186219739292365
co,1,0.00186219739292365
perder,1,0.00186219739292365
rojo,1,0.00186219739292365
consumo,1,0.00186219739292365
contacto,1,0.00186219739292365
trastorno,1,0.00186219739292365
19,1,0.00186219739292365
externo,1,0.00186219739292365
miembro,1,0.00186219739292365
genitales,1,0.00186219739292365
respectivamente,1,0.00186219739292365
458,1,0.00186219739292365
26,1,0.00186219739292365
manifestación,1,0.00186219739292365
sorpresa,1,0.00186219739292365
alcohol,1,0.00186219739292365
694,1,0.00186219739292365
263,1,0.00186219739292365
naranja,1,0.00186219739292365
acridina,1,0.00186219739292365
intercalar,1,0.00186219739292365
adn,1,0.00186219739292365
