Respuesta,Frecuencia,Asociación
sexual,4,0.013201320132013201
mostrar,4,0.013201320132013201
fetichismo,4,0.013201320132013201
persona,4,0.013201320132013201
sexo,4,0.013201320132013201
deseo,4,0.013201320132013201
voyeurismo,4,0.013201320132013201
pedófilo,4,0.013201320132013201
sexualmente,3,0.009900990099009901
varón,3,0.009900990099009901
tratamiento,3,0.009900990099009901
excitar,3,0.009900990099009901
parafilia,3,0.009900990099009901
perversión,3,0.009900990099009901
aunar,2,0.006600660066006601
contemplar,2,0.006600660066006601
responder,2,0.006600660066006601
mexicano,2,0.006600660066006601
nacional,2,0.006600660066006601
ocurrencia,2,0.006600660066006601
1,2,0.006600660066006601
representar,2,0.006600660066006601
cuerpo,2,0.006600660066006601
anal,2,0.006600660066006601
masoquismo,2,0.006600660066006601
individuo,2,0.006600660066006601
sociedad,2,0.006600660066006601
generalmente,2,0.006600660066006601
prueba,2,0.006600660066006601
práctica,2,0.006600660066006601
investigar,2,0.006600660066006601
encuesta,2,0.006600660066006601
muestra,2,0.006600660066006601
instinto,2,0.006600660066006601
fantasía,2,0.006600660066006601
violación,2,0.006600660066006601
cambiar,2,0.006600660066006601
permisividad,2,0.006600660066006601
diagnóstico,2,0.006600660066006601
grado,2,0.006600660066006601
plazo,2,0.006600660066006601
promover,2,0.006600660066006601
genitales,2,0.006600660066006601
sorpresa,2,0.006600660066006601
reporte,2,0.006600660066006601
pudor,2,0.006600660066006601
sadismo,2,0.006600660066006601
menester,2,0.006600660066006601
masoquista,2,0.006600660066006601
encarcelación,2,0.006600660066006601
extranos,2,0.006600660066006601
exhibicionista,2,0.006600660066006601
etcétera,1,0.0033003300330033004
tratar,1,0.0033003300330033004
palabra,1,0.0033003300330033004
encontrar,1,0.0033003300330033004
elemento,1,0.0033003300330033004
común,1,0.0033003300330033004
deber,1,0.0033003300330033004
general,1,0.0033003300330033004
criterio,1,0.0033003300330033004
especializar,1,0.0033003300330033004
forma,1,0.0033003300330033004
constituir,1,0.0033003300330033004
buscar,1,0.0033003300330033004
fuente,1,0.0033003300330033004
presentar,1,0.0033003300330033004
2,1,0.0033003300330033004
público,1,0.0033003300330033004
resultar,1,0.0033003300330033004
descripción,1,0.0033003300330033004
tipo,1,0.0033003300330033004
adulto,1,0.0033003300330033004
derivar,1,0.0033003300330033004
tomar,1,0.0033003300330033004
caso,1,0.0033003300330033004
cumplir,1,0.0033003300330033004
objeto,1,0.0033003300330033004
expresión,1,0.0033003300330033004
psicológico,1,0.0033003300330033004
oral,1,0.0033003300330033004
relación_sexual,1,0.0033003300330033004
sujeto,1,0.0033003300330033004
identificación,1,0.0033003300330033004
travestismo,1,0.0033003300330033004
bisexualidad,1,0.0033003300330033004
zoofilia,1,0.0033003300330033004
comportamiento,1,0.0033003300330033004
relación,1,0.0033003300330033004
cultura,1,0.0033003300330033004
edad,1,0.0033003300330033004
provenir,1,0.0033003300330033004
servicio,1,0.0033003300330033004
centro,1,0.0033003300330033004
característica,1,0.0033003300330033004
ejemplo,1,0.0033003300330033004
dejar,1,0.0033003300330033004
cualidad,1,0.0033003300330033004
determinar,1,0.0033003300330033004
habitualmente,1,0.0033003300330033004
do,1,0.0033003300330033004
importancia,1,0.0033003300330033004
naturaleza,1,0.0033003300330033004
restricción,1,0.0033003300330033004
cambio,1,0.0033003300330033004
adolescente,1,0.0033003300330033004
conducta,1,0.0033003300330033004
imagen,1,0.0033003300330033004
convertir,1,0.0033003300330033004
menor,1,0.0033003300330033004
considerar,1,0.0033003300330033004
clínica,1,0.0033003300330033004
exclusivamente,1,0.0033003300330033004
normal,1,0.0033003300330033004
época,1,0.0033003300330033004
desviación,1,0.0033003300330033004
homosexualidad,1,0.0033003300330033004
existencia,1,0.0033003300330033004
mujer,1,0.0033003300330033004
vida,1,0.0033003300330033004
impulso,1,0.0033003300330033004
oponer,1,0.0033003300330033004
homosexual,1,0.0033003300330033004
heterosexual,1,0.0033003300330033004
patológico,1,0.0033003300330033004
observar,1,0.0033003300330033004
mitad,1,0.0033003300330033004
casar,1,0.0033003300330033004
parecer,1,0.0033003300330033004
detener,1,0.0033003300330033004
erótico,1,0.0033003300330033004
familiar,1,0.0033003300330033004
liberación,1,0.0033003300330033004
negativo,1,0.0033003300330033004
cotidiano,1,0.0033003300330033004
lograr,1,0.0033003300330033004
penetración,1,0.0033003300330033004
proporción,1,0.0033003300330033004
confianza,1,0.0033003300330033004
pene,1,0.0033003300330033004
sorprender,1,0.0033003300330033004
suerte,1,0.0033003300330033004
puesto,1,0.0033003300330033004
mirada,1,0.0033003300330033004
exterior,1,0.0033003300330033004
reacción,1,0.0033003300330033004
legal,1,0.0033003300330033004
justicia,1,0.0033003300330033004
exposición,1,0.0033003300330033004
entregar,1,0.0033003300330033004
muerte,1,0.0033003300330033004
justificar,1,0.0033003300330033004
alguien,1,0.0033003300330033004
diagnosticar,1,0.0033003300330033004
dolor,1,0.0033003300330033004
precisamente,1,0.0033003300330033004
simple,1,0.0033003300330033004
incapaz,1,0.0033003300330033004
40,1,0.0033003300330033004
ocultar,1,0.0033003300330033004
excusa,1,0.0033003300330033004
ganar,1,0.0033003300330033004
alteración,1,0.0033003300330033004
colocar,1,0.0033003300330033004
trastorno,1,0.0033003300330033004
frecuencia,1,0.0033003300330033004
elevar,1,0.0033003300330033004
orinar,1,0.0033003300330033004
soler,1,0.0033003300330033004
ocasión,1,0.0033003300330033004
intencional,1,0.0033003300330033004
raro,1,0.0033003300330033004
liberar,1,0.0033003300330033004
satisfacción,1,0.0033003300330033004
preferencia_sexual,1,0.0033003300330033004
distintivo,1,0.0033003300330033004
nino,1,0.0033003300330033004
provocación,1,0.0033003300330033004
conservar,1,0.0033003300330033004
simplemente,1,0.0033003300330033004
impúdico,1,0.0033003300330033004
exhibición,1,0.0033003300330033004
culto,1,0.0033003300330033004
típico,1,0.0033003300330033004
instintivo,1,0.0033003300330033004
perturbar,1,0.0033003300330033004
agresión_sexual,1,0.0033003300330033004
innecesario,1,0.0033003300330033004
exhibir,1,0.0033003300330033004
masa,1,0.0033003300330033004
monstruoso,1,0.0033003300330033004
atrapar,1,0.0033003300330033004
moralmente,1,0.0033003300330033004
débil,1,0.0033003300330033004
proyectar,1,0.0033003300330033004
consumidor,1,0.0033003300330033004
etiología,1,0.0033003300330033004
pornografía,1,0.0033003300330033004
ano,1,0.0033003300330033004
gratificación,1,0.0033003300330033004
transitorio,1,0.0033003300330033004
latín,1,0.0033003300330033004
per,1,0.0033003300330033004
pecar,1,0.0033003300330033004
alardear,1,0.0033003300330033004
aberastury,1,0.0033003300330033004
mercantilizar,1,0.0033003300330033004
escandalizar,1,0.0033003300330033004
acoso_sexual,1,0.0033003300330033004
monstruo,1,0.0033003300330033004
monstrum,1,0.0033003300330033004
pedofilia,1,0.0033003300330033004
provocativo,1,0.0033003300330033004
raramente,1,0.0033003300330033004
psicosexual,1,0.0033003300330033004
sensual5,1,0.0033003300330033004
reincidir,1,0.0033003300330033004
conducta1,1,0.0033003300330033004
psicodinámico,1,0.0033003300330033004
pregenital,1,0.0033003300330033004
contemplación,1,0.0033003300330033004
derrotar,1,0.0033003300330033004
pedofílico,1,0.0033003300330033004
carino,1,0.0033003300330033004
vencimiento,1,0.0033003300330033004
anormalidad,1,0.0033003300330033004
parafílico,1,0.0033003300330033004
todasel,1,0.0033003300330033004
difereciarse,1,0.0033003300330033004
