Respuesta,Frecuencia,Asociación
hombre,7,0.015590200445434299
mujer,6,0.013363028953229399
precoz,6,0.013363028953229399
2,5,0.011135857461024499
3,5,0.011135857461024499
sexual,4,0.008908685968819599
femenino,4,0.008908685968819599
menor,4,0.008908685968819599
sexualidad,3,0.0066815144766146995
año,3,0.0066815144766146995
experiencia,3,0.0066815144766146995
deseo,3,0.0066815144766146995
ignorar,3,0.0066815144766146995
proceso,2,0.004454342984409799
intentar,2,0.004454342984409799
problema,2,0.004454342984409799
general,2,0.004454342984409799
necesidad,2,0.004454342984409799
presentar,2,0.004454342984409799
cuerpo,2,0.004454342984409799
control,2,0.004454342984409799
psicológico,2,0.004454342984409799
masculino,2,0.004454342984409799
controlar,2,0.004454342984409799
preocupación,2,0.004454342984409799
abril,2,0.004454342984409799
aparecer,2,0.004454342984409799
volumen,2,0.004454342984409799
sexo,2,0.004454342984409799
clínico,2,0.004454342984409799
mitad,2,0.004454342984409799
dificultad,2,0.004454342984409799
respeto,2,0.004454342984409799
patología,2,0.004454342984409799
tratamiento,2,0.004454342984409799
vaginal,2,0.004454342984409799
erección,2,0.004454342984409799
lento,2,0.004454342984409799
en_cuatro,2,0.004454342984409799
grupal,2,0.004454342984409799
ep,2,0.004454342984409799
eyaculatorio,2,0.004454342984409799
sueño,2,0.004454342984409799
emisión,2,0.004454342984409799
nocturno,2,0.004454342984409799
pornográfico,2,0.004454342984409799
koons,2,0.004454342984409799
trabajo,1,0.0022271714922048997
seguir,1,0.0022271714922048997
método,1,0.0022271714922048997
diverso,1,0.0022271714922048997
tema,1,0.0022271714922048997
social,1,0.0022271714922048997
facilitar,1,0.0022271714922048997
claridad,1,0.0022271714922048997
común,1,0.0022271714922048997
comunicación,1,0.0022271714922048997
necesario,1,0.0022271714922048997
existir,1,0.0022271714922048997
criterio,1,0.0022271714922048997
información,1,0.0022271714922048997
ejercicio,1,0.0022271714922048997
educación,1,0.0022271714922048997
factor,1,0.0022271714922048997
relacionar,1,0.0022271714922048997
mencionar,1,0.0022271714922048997
grupo,1,0.0022271714922048997
desarrollo,1,0.0022271714922048997
momento,1,0.0022271714922048997
requerir,1,0.0022271714922048997
importante,1,0.0022271714922048997
definir,1,0.0022271714922048997
dato,1,0.0022271714922048997
lugar,1,0.0022271714922048997
juego,1,0.0022271714922048997
adecuar,1,0.0022271714922048997
clasificación,1,0.0022271714922048997
1,1,0.0022271714922048997
cubrir,1,0.0022271714922048997
tamaño,1,0.0022271714922048997
género,1,0.0022271714922048997
consulta,1,0.0022271714922048997
indicar,1,0.0022271714922048997
construir,1,0.0022271714922048997
agrupar,1,0.0022271714922048997
conformar,1,0.0022271714922048997
establecer,1,0.0022271714922048997
diversidad,1,0.0022271714922048997
variación,1,0.0022271714922048997
caso,1,0.0022271714922048997
origen,1,0.0022271714922048997
querer,1,0.0022271714922048997
biológico,1,0.0022271714922048997
expresión,1,0.0022271714922048997
incluir,1,0.0022271714922048997
orgasmo,1,0.0022271714922048997
masturbación,1,0.0022271714922048997
estimulación,1,0.0022271714922048997
coito,1,0.0022271714922048997
disminución,1,0.0022271714922048997
placer,1,0.0022271714922048997
relación_sexual,1,0.0022271714922048997
identidad,1,0.0022271714922048997
desarrollar,1,0.0022271714922048997
enfermedad,1,0.0022271714922048997
prevención,1,0.0022271714922048997
fetichismo,1,0.0022271714922048997
sadomasoquismo,1,0.0022271714922048997
pareja,1,0.0022271714922048997
cultura,1,0.0022271714922048997
edad,1,0.0022271714922048997
tiempo,1,0.0022271714922048997
referencia,1,0.0022271714922048997
máximo,1,0.0022271714922048997
fenómeno,1,0.0022271714922048997
emplear,1,0.0022271714922048997
significar,1,0.0022271714922048997
frecuente,1,0.0022271714922048997
condición,1,0.0022271714922048997
polo,1,0.0022271714922048997
capacidad,1,0.0022271714922048997
sistema,1,0.0022271714922048997
secuencia,1,0.0022271714922048997
oportunidad,1,0.0022271714922048997
cambio,1,0.0022271714922048997
éxito,1,0.0022271714922048997
vivir,1,0.0022271714922048997
adolescente,1,0.0022271714922048997
desear,1,0.0022271714922048997
recibir,1,0.0022271714922048997
actitud,1,0.0022271714922048997
conducta,1,0.0022271714922048997
imagen,1,0.0022271714922048997
aprendizaje,1,0.0022271714922048997
práctica,1,0.0022271714922048997
adolescencia,1,0.0022271714922048997
asociar,1,0.0022271714922048997
método_anticonceptivo,1,0.0022271714922048997
15,1,0.0022271714922048997
cerca,1,0.0022271714922048997
11,1,0.0022271714922048997
inicio,1,0.0022271714922048997
contención,1,0.0022271714922048997
preparar,1,0.0022271714922048997
fuerza,1,0.0022271714922048997
período,1,0.0022271714922048997
homosexual,1,0.0022271714922048997
hábito,1,0.0022271714922048997
excepción,1,0.0022271714922048997
higiene,1,0.0022271714922048997
reproductivo,1,0.0022271714922048997
encuadre,1,0.0022271714922048997
fuerte,1,0.0022271714922048997
aspecto,1,0.0022271714922048997
padre,1,0.0022271714922048997
matrimonio,1,0.0022271714922048997
influencia,1,0.0022271714922048997
actualidad,1,0.0022271714922048997
reflejo,1,0.0022271714922048997
patrón,1,0.0022271714922048997
motivo,1,0.0022271714922048997
fisiología,1,0.0022271714922048997
deseable,1,0.0022271714922048997
repetir,1,0.0022271714922048997
esperar,1,0.0022271714922048997
sexualmente,1,0.0022271714922048997
durar,1,0.0022271714922048997
múltiple,1,0.0022271714922048997
familiar,1,0.0022271714922048997
característico,1,0.0022271714922048997
prolongar,1,0.0022271714922048997
madurez,1,0.0022271714922048997
amor,1,0.0022271714922048997
percibir,1,0.0022271714922048997
diagnóstico,1,0.0022271714922048997
lograr,1,0.0022271714922048997
discurso,1,0.0022271714922048997
individual,1,0.0022271714922048997
penetración,1,0.0022271714922048997
situar,1,0.0022271714922048997
2002,1,0.0022271714922048997
varón,1,0.0022271714922048997
pene,1,0.0022271714922048997
acompañar,1,0.0022271714922048997
vivencia,1,0.0022271714922048997
carecer,1,0.0022271714922048997
2003,1,0.0022271714922048997
enseñar,1,0.0022271714922048997
sesión,1,0.0022271714922048997
personal,1,0.0022271714922048997
presencia,1,0.0022271714922048997
embarazar,1,0.0022271714922048997
gracia,1,0.0022271714922048997
cuantitativo,1,0.0022271714922048997
unión,1,0.0022271714922048997
reproducción,1,0.0022271714922048997
genitalidad,1,0.0022271714922048997
alcanzar,1,0.0022271714922048997
falta,1,0.0022271714922048997
urgencia,1,0.0022271714922048997
intervención,1,0.0022271714922048997
17,1,0.0022271714922048997
síndrome,1,0.0022271714922048997
descubrimiento,1,0.0022271714922048997
favorecer,1,0.0022271714922048997
económico,1,0.0022271714922048997
reproducir,1,0.0022271714922048997
alentar,1,0.0022271714922048997
interés,1,0.0022271714922048997
impulsar,1,0.0022271714922048997
12,1,0.0022271714922048997
semana,1,0.0022271714922048997
vincular,1,0.0022271714922048997
empezar,1,0.0022271714922048997
ocurrir,1,0.0022271714922048997
especialmente,1,0.0022271714922048997
explorar,1,0.0022271714922048997
tardar,1,0.0022271714922048997
exceso,1,0.0022271714922048997
reivindicar,1,0.0022271714922048997
rápido,1,0.0022271714922048997
energía,1,0.0022271714922048997
suceder,1,0.0022271714922048997
extremadamente,1,0.0022271714922048997
40,1,0.0022271714922048997
explosión,1,0.0022271714922048997
proteger,1,0.0022271714922048997
