Respuesta,Frecuencia,Asociación
sexo,4,0.058823529411764705
orgasmo,2,0.029411764705882353
importar,2,0.029411764705882353
futuro,2,0.029411764705882353
mujer,2,0.029411764705882353
gente,2,0.029411764705882353
múltiple,2,0.029411764705882353
penetración,2,0.029411764705882353
varón,2,0.029411764705882353
capaz,2,0.029411764705882353
crimen,2,0.029411764705882353
sexualidad,1,0.014705882352941176
proceso,1,0.014705882352941176
social,1,0.014705882352941176
joven,1,0.014705882352941176
juego,1,0.014705882352941176
respetar,1,0.014705882352941176
complejo,1,0.014705882352941176
querer,1,0.014705882352941176
estructura,1,0.014705882352941176
anatomía,1,0.014705882352941176
cuerpo,1,0.014705882352941176
masturbación,1,0.014705882352941176
relación,1,0.014705882352941176
individuo,1,0.014705882352941176
ampliamente,1,0.014705882352941176
guardar,1,0.014705882352941176
prácticamente,1,0.014705882352941176
dejar,1,0.014705882352941176
deseo,1,0.014705882352941176
serie,1,0.014705882352941176
hombre,1,0.014705882352941176
mantener,1,0.014705882352941176
colectivo,1,0.014705882352941176
señalar,1,0.014705882352941176
adquirir,1,0.014705882352941176
prohibir,1,0.014705882352941176
violencia,1,0.014705882352941176
animal,1,0.014705882352941176
procrear,1,0.014705882352941176
vigilar,1,0.014705882352941176
orinar,1,0.014705882352941176
erección,1,0.014705882352941176
competencia,1,0.014705882352941176
satisfacer,1,0.014705882352941176
reciprocidad,1,0.014705882352941176
lejos,1,0.014705882352941176
grupal,1,0.014705882352941176
trabajador_sexual,1,0.014705882352941176
estrecho,1,0.014705882352941176
menstruar,1,0.014705882352941176
afeminar,1,0.014705882352941176
sexualeducativo,1,0.014705882352941176
adolesmente,1,0.014705882352941176
normados,1,0.014705882352941176
