Respuesta,Frecuencia,Asociación
hijo,65,0.014749262536873156
mujer,63,0.014295439074200136
padre,32,0.007261175402768323
relación,30,0.0068073519400953025
vivir,25,0.005672793283412752
niño,24,0.005445881552076242
vida,21,0.004765146358066712
hombre,21,0.004765146358066712
reconstitución,20,0.004538234626730202
trabajo,19,0.004311322895393692
forma,19,0.004311322895393692
pareja,19,0.004311322895393692
persona,19,0.004311322895393692
deber,18,0.0040844111640571815
sexualidad,17,0.0038574994327206717
grupo,17,0.0038574994327206717
año,17,0.0038574994327206717
familiar,17,0.0038574994327206717
social,16,0.0036305877013841615
económico,15,0.0034036759700476512
madre,15,0.0034036759700476512
hogar,15,0.0034036759700476512
educación,14,0.0031767642387111415
2,14,0.0031767642387111415
reproducción,13,0.0029498525073746312
cultural,12,0.002722940776038121
población,12,0.002722940776038121
sexual,12,0.002722940776038121
salud,12,0.002722940776038121
caso,12,0.002722940776038121
menor,12,0.002722940776038121
mantener,12,0.002722940776038121
escuela,11,0.002496029044701611
sociedad,11,0.002496029044701611
servicio,11,0.002496029044701611
condición,11,0.002496029044701611
proceso,10,0.002269117313365101
método,10,0.002269117313365101
estudio,10,0.002269117313365101
trabajar,10,0.002269117313365101
hermano,10,0.002269117313365101
necesidad,9,0.0020422055820285907
público,9,0.0020422055820285907
joven,9,0.0020422055820285907
1,9,0.0020422055820285907
cambio,9,0.0020422055820285907
responsabilidad,9,0.0020422055820285907
miembro,9,0.0020422055820285907
considerar,9,0.0020422055820285907
comunidad,9,0.0020422055820285907
término,8,0.0018152938506920807
comunicación,8,0.0018152938506920807
importante,8,0.0018152938506920807
género,8,0.0018152938506920807
nivel,8,0.0018152938506920807
institución,8,0.0018152938506920807
incluir,8,0.0018152938506920807
individuo,8,0.0018152938506920807
observar,8,0.0018152938506920807
señalar,8,0.0018152938506920807
situación,8,0.0018152938506920807
atención,8,0.0018152938506920807
sexo,8,0.0018152938506920807
existir,7,0.0015883821193555707
información,7,0.0015883821193555707
riesgo,7,0.0015883821193555707
cabo,7,0.0015883821193555707
maestro,7,0.0015883821193555707
asociación,7,0.0015883821193555707
tiempo,7,0.0015883821193555707
ideal,7,0.0015883821193555707
regulación,7,0.0015883821193555707
problema,6,0.0013614703880190605
recurso,6,0.0013614703880190605
necesario,6,0.0013614703880190605
educación_sexual,6,0.0013614703880190605
cuyo,6,0.0013614703880190605
pensar,6,0.0013614703880190605
casa,6,0.0013614703880190605
par,6,0.0013614703880190605
construir,6,0.0013614703880190605
decidir,6,0.0013614703880190605
edad,6,0.0013614703880190605
sistema,6,0.0013614703880190605
adolescente,6,0.0013614703880190605
planificación,6,0.0013614703880190605
posibilidad,6,0.0013614703880190605
autoridad,6,0.0013614703880190605
matrimonio,6,0.0013614703880190605
pobreza,6,0.0013614703880190605
calidad,6,0.0013614703880190605
esposo,6,0.0013614703880190605
aprender,6,0.0013614703880190605
historia,6,0.0013614703880190605
explicar,5,0.0011345586566825505
tema,5,0.0011345586566825505
humano,5,0.0011345586566825505
factor,5,0.0011345586566825505
organización,5,0.0011345586566825505
acción,5,0.0011345586566825505
relacionar,5,0.0011345586566825505
desarrollo,5,0.0011345586566825505
momento,5,0.0011345586566825505
tipo,5,0.0011345586566825505
histórico,5,0.0011345586566825505
implicar,5,0.0011345586566825505
establecer,5,0.0011345586566825505
sujeto,5,0.0011345586566825505
rol,5,0.0011345586566825505
actividad,5,0.0011345586566825505
