Respuesta,Frecuencia,Asociación
sexual,20,0.015037593984962405
realidad,10,0.007518796992481203
objeto,8,0.006015037593984963
placer,8,0.006015037593984963
persona,7,0.005263157894736842
deseo,7,0.005263157894736842
conducta,6,0.004511278195488722
excitación,6,0.004511278195488722
acción,5,0.0037593984962406013
género,5,0.0037593984962406013
orgasmo,5,0.0037593984962406013
sujeto,5,0.0037593984962406013
relación,5,0.0037593984962406013
pareja,5,0.0037593984962406013
generalmente,5,0.0037593984962406013
valor,5,0.0037593984962406013
producir,5,0.0037593984962406013
mujer,5,0.0037593984962406013
fantasear,5,0.0037593984962406013
erótico,5,0.0037593984962406013
sexualidad,4,0.0030075187969924814
existir,4,0.0030075187969924814
buscar,4,0.0030075187969924814
adulto,4,0.0030075187969924814
hablar,4,0.0030075187969924814
cuerpo,4,0.0030075187969924814
cuestión,4,0.0030075187969924814
actividad_sexual,4,0.0030075187969924814
relación_sexual,4,0.0030075187969924814
edad,4,0.0030075187969924814
adolescente,4,0.0030075187969924814
amor,4,0.0030075187969924814
vínculo,4,0.0030075187969924814
generar,4,0.0030075187969924814
trabajo,3,0.002255639097744361
diverso,3,0.002255639097744361
tema,3,0.002255639097744361
encontrar,3,0.002255639097744361
social,3,0.002255639097744361
forma,3,0.002255639097744361
investigación,3,0.002255639097744361
principal,3,0.002255639097744361
punto,3,0.002255639097744361
juego,3,0.002255639097744361
llegar,3,0.002255639097744361
utilizar,3,0.002255639097744361
establecer,3,0.002255639097744361
caso,3,0.002255639097744361
respuesta,3,0.002255639097744361
incluir,3,0.002255639097744361
comportamiento_sexual,3,0.002255639097744361
diferencia,3,0.002255639097744361
tiempo,3,0.002255639097744361
elegir,3,0.002255639097744361
sentir,3,0.002255639097744361
imagen,3,0.002255639097744361
psíquico,3,0.002255639097744361
afectivo,3,0.002255639097744361
sexo,3,0.002255639097744361
infantil,3,0.002255639097744361
vida,3,0.002255639097744361
pensamiento,3,0.002255639097744361
parecer,3,0.002255639097744361
noche,3,0.002255639097744361
amoroso,3,0.002255639097744361
vivencia,3,0.002255639097744361
hombre,3,0.002255639097744361
jugar,3,0.002255639097744361
ninos,3,0.002255639097744361
capaz,3,0.002255639097744361
figura,3,0.002255639097744361
seducción,3,0.002255639097744361
vincular,3,0.002255639097744361
contacto,3,0.002255639097744361
pornografía,3,0.002255639097744361
sensación,3,0.002255639097744361
estímulo,3,0.002255639097744361
parafilia,3,0.002255639097744361
caracterizar,3,0.002255639097744361
proceso,2,0.0015037593984962407
tratar,2,0.0015037593984962407
específico,2,0.0015037593984962407
elemento,2,0.0015037593984962407
cultural,2,0.0015037593984962407
factor,2,0.0015037593984962407
año,2,0.0015037593984962407
crear,2,0.0015037593984962407
2,2,0.0015037593984962407
importante,2,0.0015037593984962407
corresponder,2,0.0015037593984962407
definir,2,0.0015037593984962407
carácter,2,0.0015037593984962407
descripción,2,0.0015037593984962407
tipo,2,0.0015037593984962407
obtener,2,0.0015037593984962407
papel,2,0.0015037593984962407
1,2,0.0015037593984962407
implicar,2,0.0015037593984962407
integrar,2,0.0015037593984962407
indicar,2,0.0015037593984962407
rasgo,2,0.0015037593984962407
construir,2,0.0015037593984962407
distinto,2,0.0015037593984962407
expresión,2,0.0015037593984962407
psicológico,2,0.0015037593984962407
orientación_sexual,2,0.0015037593984962407
clasificar,2,0.0015037593984962407
privar,2,0.0015037593984962407
reconocimiento,2,0.0015037593984962407
referir,2,0.0015037593984962407
aparición,2,0.0015037593984962407
precedente,2,0.0015037593984962407
determinar,2,0.0015037593984962407
clave,2,0.0015037593984962407
ende,2,0.0015037593984962407
futuro,2,0.0015037593984962407
vivir,2,0.0015037593984962407
aumentar,2,0.0015037593984962407
experiencia,2,0.0015037593984962407
convertir,2,0.0015037593984962407
único,2,0.0015037593984962407
protagonista,2,0.0015037593984962407
asociar,2,0.0015037593984962407
creencia,2,0.0015037593984962407
mito,2,0.0015037593984962407
escaso,2,0.0015037593984962407
considerar,2,0.0015037593984962407
físico,2,0.0015037593984962407
elaborar,2,0.0015037593984962407
14,2,0.0015037593984962407
mental,2,0.0015037593984962407
distinguir,2,0.0015037593984962407
escuchar,2,0.0015037593984962407
reprimir,2,0.0015037593984962407
rechazar,2,0.0015037593984962407
remitir,2,0.0015037593984962407
aquién,2,0.0015037593984962407
vigilia,2,0.0015037593984962407
suenos,2,0.0015037593984962407
dormir,2,0.0015037593984962407
interior,2,0.0015037593984962407
animal,2,0.0015037593984962407
cronológico,2,0.0015037593984962407
expresar,2,0.0015037593984962407
sumar,2,0.0015037593984962407
transparencia,2,0.0015037593984962407
actuar,2,0.0015037593984962407
sintiéndose,2,0.0015037593984962407
patológico,2,0.0015037593984962407
gustar,2,0.0015037593984962407
acto,2,0.0015037593984962407
escena,2,0.0015037593984962407
recrear,2,0.0015037593984962407
extrano,2,0.0015037593984962407
47,2,0.0015037593984962407
212,2,0.0015037593984962407
vida_sexual,2,0.0015037593984962407
mutuo,2,0.0015037593984962407
don_juan,2,0.0015037593984962407
real,2,0.0015037593984962407
nino,2,0.0015037593984962407
lograr,2,0.0015037593984962407
erotismo,2,0.0015037593984962407
miseria,2,0.0015037593984962407
prostitución,2,0.0015037593984962407
reproducir,2,0.0015037593984962407
privilegiar,2,0.0015037593984962407
escenario,2,0.0015037593984962407
observar,2,0.0015037593984962407
emocional,2,0.0015037593984962407
ítem,2,0.0015037593984962407
grado,2,0.0015037593984962407
provocar,2,0.0015037593984962407
compromiso,2,0.0015037593984962407
manifestar,2,0.0015037593984962407
combinación,2,0.0015037593984962407
platónico,2,0.0015037593984962407
amar,2,0.0015037593984962407
obstante,2,0.0015037593984962407
novio,2,0.0015037593984962407
cuidado,2,0.0015037593984962407
satisfacción,2,0.0015037593984962407
recuerdo,2,0.0015037593984962407
reacción,2,0.0015037593984962407
corporal,2,0.0015037593984962407
sonido,2,0.0015037593984962407
mentalcorporal,2,0.0015037593984962407
serie,2,0.0015037593984962407
gusto,2,0.0015037593984962407
perversión,2,0.0015037593984962407
aludir,2,0.0015037593984962407
desplazar,2,0.0015037593984962407
coba,2,0.0015037593984962407
1997,2,0.0015037593984962407
lamacz,2,0.0015037593984962407
1989,2,0.0015037593984962407
concebir,2,0.0015037593984962407
289,2,0.0015037593984962407
alejar,2,0.0015037593984962407
código,2,0.0015037593984962407
conservador,2,0.0015037593984962407
rígido,2,0.0015037593984962407
apertura,2,0.0015037593984962407
falta,2,0.0015037593984962407
probablemente,2,0.0015037593984962407
culpabilidad,2,0.0015037593984962407
aseveración,2,0.0015037593984962407
enrique,2,0.0015037593984962407
hermano,2,0.0015037593984962407
allá,2,0.0015037593984962407
padre,2,0.0015037593984962407
exhibicionismo,2,0.0015037593984962407
masoquista,2,0.0015037593984962407
compulsivo,2,0.0015037593984962407
heterosexual,2,0.0015037593984962407
perturbar,2,0.0015037593984962407
tendencia,2,0.0015037593984962407
artículo,1,0.0007518796992481203
término,1,0.0007518796992481203
terreno,1,0.0007518796992481203
estudiar,1,0.0007518796992481203
seguir,1,0.0007518796992481203
base,1,0.0007518796992481203
etcétera,1,0.0007518796992481203
proyecto,1,0.0007518796992481203
orientar,1,0.0007518796992481203
palabra,1,0.0007518796992481203
i,1,0.0007518796992481203
perspectiva,1,0.0007518796992481203
humano,1,0.0007518796992481203
principio,1,0.0007518796992481203
construcción,1,0.0007518796992481203
acercar,1,0.0007518796992481203
contar,1,0.0007518796992481203
común,1,0.0007518796992481203
deber,1,0.0007518796992481203
comunicación,1,0.0007518796992481203
general,1,0.0007518796992481203
necesario,1,0.0007518796992481203
mayoría,1,0.0007518796992481203
estructurar,1,0.0007518796992481203
responder,1,0.0007518796992481203
suponer,1,0.0007518796992481203
impacto,1,0.0007518796992481203
necesidad,1,0.0007518796992481203
conjunto,1,0.0007518796992481203
particular,1,0.0007518796992481203
riesgo,1,0.0007518796992481203
ámbito,1,0.0007518796992481203
tender,1,0.0007518796992481203
constituir,1,0.0007518796992481203
2000,1,0.0007518796992481203
fuente,1,0.0007518796992481203
avance,1,0.0007518796992481203
variedad,1,0.0007518796992481203
disponible,1,0.0007518796992481203
presentar,1,0.0007518796992481203
tarea,1,0.0007518796992481203
desarrollo,1,0.0007518796992481203
finalidad,1,0.0007518796992481203
esquema,1,0.0007518796992481203
cualquiera,1,0.0007518796992481203
momento,1,0.0007518796992481203
relevante,1,0.0007518796992481203
producto,1,0.0007518796992481203
objetivo,1,0.0007518796992481203
resolución,1,0.0007518796992481203
requerir,1,0.0007518796992481203
componer,1,0.0007518796992481203
depender,1,0.0007518796992481203
servir,1,0.0007518796992481203
dato,1,0.0007518796992481203
lugar,1,0.0007518796992481203
resultar,1,0.0007518796992481203
pensar,1,0.0007518796992481203
c,1,0.0007518796992481203
casa,1,0.0007518796992481203
mostrar,1,0.0007518796992481203
camino,1,0.0007518796992481203
clasificación,1,0.0007518796992481203
estrategia,1,0.0007518796992481203
mejorar,1,0.0007518796992481203
parámetro,1,0.0007518796992481203
búsqueda,1,0.0007518796992481203
autor,1,0.0007518796992481203
3,1,0.0007518796992481203
atractivo,1,0.0007518796992481203
fácil,1,0.0007518796992481203
referente,1,0.0007518796992481203
4,1,0.0007518796992481203
consistir,1,0.0007518796992481203
reforzar,1,0.0007518796992481203
posterior,1,0.0007518796992481203
agrupar,1,0.0007518796992481203
número,1,0.0007518796992481203
registro,1,0.0007518796992481203
pasar,1,0.0007518796992481203
olvidar,1,0.0007518796992481203
condicionar,1,0.0007518796992481203
diversidad,1,0.0007518796992481203
tomar,1,0.0007518796992481203
abarcar,1,0.0007518796992481203
kinsey,1,0.0007518796992481203
describir,1,0.0007518796992481203
nivel,1,0.0007518796992481203
origen,1,0.0007518796992481203
contenido,1,0.0007518796992481203
