Respuesta,Frecuencia,Asociación
tumor,2,0.03571428571428571
vacuna,2,0.03571428571428571
lesión,2,0.03571428571428571
mola,2,0.03571428571428571
material,1,0.017857142857142856
humano,1,0.017857142857142856
momento,1,0.017857142857142856
lugar,1,0.017857142857142856
biológico,1,0.017857142857142856
introducir,1,0.017857142857142856
reconocer,1,0.017857142857142856
persona,1,0.017857142857142856
ejemplo,1,0.017857142857142856
concepción,1,0.017857142857142856
nacer,1,0.017857142857142856
iglesia,1,0.017857142857142856
enorme,1,0.017857142857142856
perseguir,1,0.017857142857142856
dificultad,1,0.017857142857142856
combinar,1,0.017857142857142856
d,1,0.017857142857142856
reacción,1,0.017857142857142856
reforma,1,0.017857142857142856
católico,1,0.017857142857142856
penalizar,1,0.017857142857142856
aprobar,1,0.017857142857142856
provocar,1,0.017857142857142856
embrionario,1,0.017857142857142856
inmunológico,1,0.017857142857142856
hormona,1,0.017857142857142856
duplicar,1,0.017857142857142856
salvadoreño,1,0.017857142857142856
causar,1,0.017857142857142856
intramuscular,1,0.017857142857142856
espermia,1,0.017857142857142856
nidación,1,0.017857142857142856
óvulo,1,0.017857142857142856
antiembarazo,1,0.017857142857142856
disimular,1,0.017857142857142856
tétanos,1,0.017857142857142856
prescindir,1,0.017857142857142856
liderar,1,0.017857142857142856
constitucional,1,0.017857142857142856
tipificación,1,0.017857142857142856
penal,1,0.017857142857142856
esperable,1,0.017857142857142856
modalidad,1,0.017857142857142856
originar,1,0.017857142857142856
espermatozoide,1,0.017857142857142856
cromosómico,1,0.017857142857142856
ocasión,1,0.017857142857142856
evanescencia,1,0.017857142857142856
