Respuesta,Frecuencia,Asociación
año,1,0.05555555555555555
1,1,0.05555555555555555
género,1,0.05555555555555555
construir,1,0.05555555555555555
caso,1,0.05555555555555555
expresión,1,0.05555555555555555
pareja,1,0.05555555555555555
mujer,1,0.05555555555555555
hombre,1,0.05555555555555555
concentrar,1,0.05555555555555555
muerte,1,0.05555555555555555
violencia,1,0.05555555555555555
entidad,1,0.05555555555555555
soler,1,0.05555555555555555
homofobia,1,0.05555555555555555
fronterizo,1,0.05555555555555555
dramático,1,0.05555555555555555
crudo,1,0.05555555555555555
