Respuesta,Frecuencia,Asociación
salud,4,0.038834951456310676
hombre,4,0.038834951456310676
problema,2,0.019417475728155338
general,2,0.019417475728155338
constituir,2,0.019417475728155338
hablar,2,0.019417475728155338
femenino,2,0.019417475728155338
alto,2,0.019417475728155338
servicio,2,0.019417475728155338
imagen,2,0.019417475728155338
mujer,2,0.019417475728155338
cuidado,2,0.019417475728155338
feto,2,0.019417475728155338
debilidad,2,0.019417475728155338
noción,2,0.019417475728155338
demostración,2,0.019417475728155338
masculinización,2,0.019417475728155338
determinación,1,0.009708737864077669
sexualidad,1,0.009708737864077669
término,1,0.009708737864077669
proceso,1,0.009708737864077669
encontrar,1,0.009708737864077669
población,1,0.009708737864077669
necesidad,1,0.009708737864077669
estudio,1,0.009708737864077669
análisis,1,0.009708737864077669
corresponder,1,0.009708737864077669
resultar,1,0.009708737864077669
tipo,1,0.009708737864077669
distribución,1,0.009708737864077669
mostrar,1,0.009708737864077669
escapar,1,0.009708737864077669
condicionar,1,0.009708737864077669
coito,1,0.009708737864077669
orientación_sexual,1,0.009708737864077669
masculino,1,0.009708737864077669
actividad,1,0.009708737864077669
comportamiento,1,0.009708737864077669
guardar,1,0.009708737864077669
característica,1,0.009708737864077669
índice,1,0.009708737864077669
importancia,1,0.009708737864077669
situación,1,0.009708737864077669
mil,1,0.009708737864077669
conducta,1,0.009708737864077669
producir,1,0.009708737864077669
considerar,1,0.009708737864077669
homosexual,1,0.009708737864077669
reproductivo,1,0.009708737864077669
patrón,1,0.009708737864077669
parecer,1,0.009708737864077669
aceptar,1,0.009708737864077669
frente,1,0.009708737864077669
100,1,0.009708737864077669
impregnación,1,0.009708737864077669
obstante,1,0.009708737864077669
reacción,1,0.009708737864077669
12,1,0.009708737864077669
hormonal,1,0.009708737864077669
reciente,1,0.009708737864077669
materno,1,0.009708737864077669
ciento,1,0.009708737864077669
sencillo,1,0.009708737864077669
cerebral,1,0.009708737864077669
genitales,1,0.009708737864077669
denotar,1,0.009708737864077669
paradigma,1,0.009708737864077669
rechazo,1,0.009708737864077669
homofobia,1,0.009708737864077669
lesbiano,1,0.009708737864077669
cerebro,1,0.009708737864077669
anciano,1,0.009708737864077669
duplo,1,0.009708737864077669
inﬂuencia,1,0.009708737864077669
andrógeno,1,0.009708737864077669
desmasculinización,1,0.009708737864077669
desfeminización,1,0.009708737864077669
reduciéndolo,1,0.009708737864077669
inverso,1,0.009708737864077669
934,1,0.009708737864077669
410,1,0.009708737864077669
sexoeróticas,1,0.009708737864077669
