Respuesta,Frecuencia,Asociación
relación,5,0.02403846153846154
pareja,5,0.02403846153846154
virginidad,4,0.019230769230769232
prueba,3,0.014423076923076924
basar,2,0.009615384615384616
tema,2,0.009615384615384616
comunicación,2,0.009615384615384616
control,2,0.009615384615384616
habilidad,2,0.009615384615384616
valor,2,0.009615384615384616
confianza,2,0.009615384615384616
condón,2,0.009615384615384616
exigir,2,0.009615384615384616
expectativa,2,0.009615384615384616
enamoramiento,2,0.009615384615384616
comprensión,2,0.009615384615384616
operar,2,0.009615384615384616
mutuo,2,0.009615384615384616
explicar,1,0.004807692307692308
intentar,1,0.004807692307692308
abordar,1,0.004807692307692308
encontrar,1,0.004807692307692308
principio,1,0.004807692307692308
social,1,0.004807692307692308
cultural,1,0.004807692307692308
construcción,1,0.004807692307692308
concepto,1,0.004807692307692308
deber,1,0.004807692307692308
existir,1,0.004807692307692308
necesidad,1,0.004807692307692308
forma,1,0.004807692307692308
riesgo,1,0.004807692307692308
sexual,1,0.004807692307692308
constituir,1,0.004807692307692308
investigación,1,0.004807692307692308
presentar,1,0.004807692307692308
desarrollo,1,0.004807692307692308
ciencia,1,0.004807692307692308
superar,1,0.004807692307692308
depender,1,0.004807692307692308
dato,1,0.004807692307692308
acceso,1,0.004807692307692308
b,1,0.004807692307692308
joven,1,0.004807692307692308
c,1,0.004807692307692308
esencia,1,0.004807692307692308
negociar,1,0.004807692307692308
adecuar,1,0.004807692307692308
examinar,1,0.004807692307692308
idea,1,0.004807692307692308
respetar,1,0.004807692307692308
exponer,1,0.004807692307692308
duda,1,0.004807692307692308
establecer,1,0.004807692307692308
realidad,1,0.004807692307692308
ligar,1,0.004807692307692308
describir,1,0.004807692307692308
origen,1,0.004807692307692308
querer,1,0.004807692307692308
visión,1,0.004807692307692308
cuerpo,1,0.004807692307692308
actividad_sexual,1,0.004807692307692308
placer,1,0.004807692307692308
relación_sexual,1,0.004807692307692308
femenino,1,0.004807692307692308
profundo,1,0.004807692307692308
individuo,1,0.004807692307692308
versar,1,0.004807692307692308
conquista,1,0.004807692307692308
infidelidad,1,0.004807692307692308
función,1,0.004807692307692308
terapia,1,0.004807692307692308
coacción,1,0.004807692307692308
tiempo,1,0.004807692307692308
angustiar,1,0.004807692307692308
verso,1,0.004807692307692308
suelto,1,0.004807692307692308
poema,1,0.004807692307692308
inexistente,1,0.004807692307692308
despreciar,1,0.004807692307692308
caduco,1,0.004807692307692308
confiar,1,0.004807692307692308
alguien,1,0.004807692307692308
ayudar,1,0.004807692307692308
vencer,1,0.004807692307692308
soledad,1,0.004807692307692308
intermitencia,1,0.004807692307692308
entrevistar,1,0.004807692307692308
participar,1,0.004807692307692308
sr,1,0.004807692307692308
noviazgo,1,0.004807692307692308
colocar,1,0.004807692307692308
situación,1,0.004807692307692308
difícil,1,0.004807692307692308
organizar,1,0.004807692307692308
entrevista,1,0.004807692307692308
asociar,1,0.004807692307692308
vihsida,1,0.004807692307692308
terminar,1,0.004807692307692308
viéndose,1,0.004807692307692308
persona,1,0.004807692307692308
correr,1,0.004807692307692308
7,1,0.004807692307692308
fuerte,1,0.004807692307692308
limitar,1,0.004807692307692308
asimismo,1,0.004807692307692308
posibilidad,1,0.004807692307692308
its,1,0.004807692307692308
adherir,1,0.004807692307692308
facilidad,1,0.004807692307692308
dependencia,1,0.004807692307692308
económico,1,0.004807692307692308
frente,1,0.004807692307692308
guillar,1,0.004807692307692308
estatus,1,0.004807692307692308
embrión,1,0.004807692307692308
positivo,1,0.004807692307692308
guardar,1,0.004807692307692308
pensándola,1,0.004807692307692308
auténtico,1,0.004807692307692308
voluntad,1,0.004807692307692308
filosofía,1,0.004807692307692308
gradualista,1,0.004807692307692308
consecuencia,1,0.004807692307692308
burgués,1,0.004807692307692308
monogamia,1,0.004807692307692308
salir,1,0.004807692307692308
alcoba,1,0.004807692307692308
matrimonial,1,0.004807692307692308
formar,1,0.004807692307692308
preocupación,1,0.004807692307692308
médico,1,0.004807692307692308
decimonónico,1,0.004807692307692308
atraer,1,0.004807692307692308
hombre,1,0.004807692307692308
brindar,1,0.004807692307692308
coital,1,0.004807692307692308
preservar,1,0.004807692307692308
marital,1,0.004807692307692308
ignorancia,1,0.004807692307692308
discreción,1,0.004807692307692308
cambio,1,0.004807692307692308
hombremujer,1,0.004807692307692308
importancia,1,0.004807692307692308
acentuar,1,0.004807692307692308
apoyo,1,0.004807692307692308
mujer,1,0.004807692307692308
estabilidad,1,0.004807692307692308
preservación,1,0.004807692307692308
restricción,1,0.004807692307692308
erotismo,1,0.004807692307692308
intercambio,1,0.004807692307692308
igualitario,1,0.004807692307692308
miembro,1,0.004807692307692308
expresar,1,0.004807692307692308
externo,1,0.004807692307692308
castidad,1,0.004807692307692308
previo,1,0.004807692307692308
unión,1,0.004807692307692308
serie,1,0.004807692307692308
alberoni,1,0.004807692307692308
197991,1,0.004807692307692308
sexo,1,0.004807692307692308
afianzar,1,0.004807692307692308
afectivo,1,0.004807692307692308
reivindicar,1,0.004807692307692308
exclusividad,1,0.004807692307692308
suerte,1,0.004807692307692308
gratificación,1,0.004807692307692308
símbolo,1,0.004807692307692308
reciprocidad,1,0.004807692307692308
do,1,0.004807692307692308
doble,1,0.004807692307692308
norma,1,0.004807692307692308
permisividad,1,0.004807692307692308
varón,1,0.004807692307692308
represión,1,0.004807692307692308
marido,1,0.004807692307692308
importar,1,0.004807692307692308
imagen,1,0.004807692307692308
exigencia,1,0.004807692307692308
