Respuesta,Frecuencia,Asociación
hombre,5,0.0390625
mujer,3,0.0234375
estudio,2,0.015625
momento,2,0.015625
juego,2,0.015625
mostrar,2,0.015625
anatomía,2,0.015625
imagen,2,0.015625
condón,2,0.015625
fotografía,2,0.015625
seducción,2,0.015625
burgués,2,0.015625
sexualidad,1,0.0078125
trabajo,1,0.0078125
método,1,0.0078125
problema,1,0.0078125
humano,1,0.0078125
encontrar,1,0.0078125
recurso,1,0.0078125
permitir,1,0.0078125
existir,1,0.0078125
factor,1,0.0078125
sexual,1,0.0078125
objetivo,1,0.0078125
servir,1,0.0078125
registrar,1,0.0078125
finalmente,1,0.0078125
referente,1,0.0078125
utilizar,1,0.0078125
complejo,1,0.0078125
registro,1,0.0078125
realidad,1,0.0078125
tomar,1,0.0078125
cuerpo,1,0.0078125
respuesta,1,0.0078125
expresión,1,0.0078125
femenino,1,0.0078125
prevención,1,0.0078125
relación,1,0.0078125
pareja,1,0.0078125
referencia,1,0.0078125
pregunta,1,0.0078125
persona,1,0.0078125
referir,1,0.0078125
ofrecer,1,0.0078125
producción,1,0.0078125
do,1,0.0078125
analizar,1,0.0078125
sentir,1,0.0078125
encuesta,1,0.0078125
menor,1,0.0078125
considerar,1,0.0078125
negar,1,0.0078125
sexo,1,0.0078125
demostrar,1,0.0078125
aspecto,1,0.0078125
hijo,1,0.0078125
casar,1,0.0078125
interpretar,1,0.0078125
serie,1,0.0078125
sexualmente,1,0.0078125
1996,1,0.0078125
catalogar,1,0.0078125
proporción,1,0.0078125
6,1,0.0078125
acompañar,1,0.0078125
obstante,1,0.0078125
moral,1,0.0078125
beneficio,1,0.0078125
miedo,1,0.0078125
falta,1,0.0078125
premisa,1,0.0078125
cuidado,1,0.0078125
oposición,1,0.0078125
sumar,1,0.0078125
versus,1,0.0078125
9,1,0.0078125
1986,1,0.0078125
acto_sexual,1,0.0078125
igualmente,1,0.0078125
categoría,1,0.0078125
doble,1,0.0078125
constatar,1,0.0078125
virtud,1,0.0078125
soledad,1,0.0078125
virilidad,1,0.0078125
desenlace,1,0.0078125
consumar,1,0.0078125
virginidad,1,0.0078125
its,1,0.0078125
monogamia,1,0.0078125
anatomofisiológicos,1,0.0078125
foucault,1,0.0078125
placa,1,0.0078125
fotográfico,1,0.0078125
dubois,1,0.0078125
recato,1,0.0078125
represión_sexual,1,0.0078125
baudrillard,1,0.0078125
2000125,1,0.0078125
símbolo_sexual,1,0.0078125
coquetería,1,0.0078125
sirviente,1,0.0078125
esfumar,1,0.0078125
coqueto,1,0.0078125
acoso_sexual,1,0.0078125
sentimentalismo,1,0.0078125
esconder,1,0.0078125
connotación,1,0.0078125
peyorativo,1,0.0078125
perjuicio,1,0.0078125
entreverar,1,0.0078125
