Respuesta,Frecuencia,Asociación
sexual,8,0.024922118380062305
anatomía,7,0.021806853582554516
sexualidad,4,0.012461059190031152
factor,3,0.009345794392523364
placer,3,0.009345794392523364
imagen,3,0.009345794392523364
entender,3,0.009345794392523364
respuesta_sexual,3,0.009345794392523364
humano,2,0.006230529595015576
social,2,0.006230529595015576
impacto,2,0.006230529595015576
investigación,2,0.006230529595015576
estudio,2,0.006230529595015576
comportamiento_sexual,2,0.006230529595015576
femenino,2,0.006230529595015576
actividad,2,0.006230529595015576
individuo,2,0.006230529595015576
función,2,0.006230529595015576
cultura,2,0.006230529595015576
1999,2,0.006230529595015576
do,2,0.006230529595015576
naturaleza,2,0.006230529595015576
sentir,2,0.006230529595015576
anteriormente,2,0.006230529595015576
concepción,2,0.006230529595015576
iniciar,2,0.006230529595015576
médico,2,0.006230529595015576
fuerza,2,0.006230529595015576
1997,2,0.006230529595015576
influencia,2,0.006230529595015576
hombre,2,0.006230529595015576
parecer,2,0.006230529595015576
natural,2,0.006230529595015576
innato,2,0.006230529595015576
resultante,2,0.006230529595015576
selección,2,0.006230529595015576
evolución,2,0.006230529595015576
hormonal,2,0.006230529595015576
connell,2,0.006230529595015576
dowsett,2,0.006230529595015576
biología,2,0.006230529595015576
1951,2,0.006230529595015576
villanova,2,0.006230529595015576
mero,2,0.006230529595015576
probable,2,0.006230529595015576
deseabilidad,2,0.006230529595015576
presionar,2,0.006230529595015576
inclusive,2,0.006230529595015576
mentir,2,0.006230529595015576
área,1,0.003115264797507788
estudiar,1,0.003115264797507788
base,1,0.003115264797507788
intentar,1,0.003115264797507788
problema,1,0.003115264797507788
definición,1,0.003115264797507788
específico,1,0.003115264797507788
encontrar,1,0.003115264797507788
conocimiento,1,0.003115264797507788
acercar,1,0.003115264797507788
deber,1,0.003115264797507788
comunicación,1,0.003115264797507788
superior,1,0.003115264797507788
totalidad,1,0.003115264797507788
buscar,1,0.003115264797507788
alternativa,1,0.003115264797507788
relacionar,1,0.003115264797507788
mencionar,1,0.003115264797507788
grupo,1,0.003115264797507788
ciencia,1,0.003115264797507788
crear,1,0.003115264797507788
modelo,1,0.003115264797507788
aplicación,1,0.003115264797507788
amplio,1,0.003115264797507788
momento,1,0.003115264797507788
corresponder,1,0.003115264797507788
definir,1,0.003115264797507788
ilustrar,1,0.003115264797507788
explicación,1,0.003115264797507788
obtener,1,0.003115264797507788
1,1,0.003115264797507788
universidad,1,0.003115264797507788
construir,1,0.003115264797507788
exponer,1,0.003115264797507788
duda,1,0.003115264797507788
tomar,1,0.003115264797507788
abarcar,1,0.003115264797507788
origen,1,0.003115264797507788
contenido,1,0.003115264797507788
influir,1,0.003115264797507788
cuerpo,1,0.003115264797507788
medicina,1,0.003115264797507788
expresión,1,0.003115264797507788
psicológico,1,0.003115264797507788
incluir,1,0.003115264797507788
identidad,1,0.003115264797507788
identificación,1,0.003115264797507788
prevención,1,0.003115264797507788
variante,1,0.003115264797507788
comportamiento,1,0.003115264797507788
incorporar,1,0.003115264797507788
reconocer,1,0.003115264797507788
campo,1,0.003115264797507788
guardar,1,0.003115264797507788
fenómeno,1,0.003115264797507788
controlar,1,0.003115264797507788
emplear,1,0.003115264797507788
semestre,1,0.003115264797507788
pauta,1,0.003115264797507788
relativo,1,0.003115264797507788
asimismo,1,0.003115264797507788
capacidad,1,0.003115264797507788
autónomo,1,0.003115264797507788
activo,1,0.003115264797507788
manejo,1,0.003115264797507788
conducta,1,0.003115264797507788
experiencia,1,0.003115264797507788
práctica,1,0.003115264797507788
único,1,0.003115264797507788
creencia,1,0.003115264797507788
físico,1,0.003115264797507788
ideológico,1,0.003115264797507788
época,1,0.003115264797507788
disciplina,1,0.003115264797507788
sexo,1,0.003115264797507788
deseo,1,0.003115264797507788
mujer,1,0.003115264797507788
fomentar,1,0.003115264797507788
vida,1,0.003115264797507788
op,1,0.003115264797507788
cit,1,0.003115264797507788
patológico,1,0.003115264797507788
concreto,1,0.003115264797507788
aspecto,1,0.003115264797507788
fundamental,1,0.003115264797507788
labor,1,0.003115264797507788
observar,1,0.003115264797507788
adaptar,1,0.003115264797507788
