Respuesta,Frecuencia,Asociación
sexual,5,0.007587253414264037
físico,5,0.007587253414264037
proceso,4,0.006069802731411229
humano,4,0.006069802731411229
deber,4,0.006069802731411229
factor,4,0.006069802731411229
idea,4,0.006069802731411229
cambio,4,0.006069802731411229
sano,4,0.006069802731411229
forma,3,0.004552352048558422
niño,3,0.004552352048558422
clasificación,3,0.004552352048558422
4,3,0.004552352048558422
característica,3,0.004552352048558422
determinar,3,0.004552352048558422
producir,3,0.004552352048558422
considerar,3,0.004552352048558422
aparecer,3,0.004552352048558422
sexo,3,0.004552352048558422
mujer,3,0.004552352048558422
aspecto,3,0.004552352048558422
efecto,3,0.004552352048558422
respuesta_sexual,3,0.004552352048558422
situacional,3,0.004552352048558422
estrógeno,3,0.004552352048558422
término,2,0.0030349013657056147
social,2,0.0030349013657056147
existir,2,0.0030349013657056147
criterio,2,0.0030349013657056147
impacto,2,0.0030349013657056147
necesidad,2,0.0030349013657056147
educación,2,0.0030349013657056147
asignatura,2,0.0030349013657056147
presentar,2,0.0030349013657056147
estudio,2,0.0030349013657056147
etapa,2,0.0030349013657056147
principal,2,0.0030349013657056147
importante,2,0.0030349013657056147
contexto,2,0.0030349013657056147
contener,2,0.0030349013657056147
explicación,2,0.0030349013657056147
maestro,2,0.0030349013657056147
rasgo,2,0.0030349013657056147
realidad,2,0.0030349013657056147
caso,2,0.0030349013657056147
kinsey,2,0.0030349013657056147
cumplir,2,0.0030349013657056147
biológico,2,0.0030349013657056147
cuerpo,2,0.0030349013657056147
orgasmo,2,0.0030349013657056147
comportamiento_sexual,2,0.0030349013657056147
prevención,2,0.0030349013657056147
reconocer,2,0.0030349013657056147
altamente,2,0.0030349013657056147
plano,2,0.0030349013657056147
fenómeno,2,0.0030349013657056147
acercamiento,2,0.0030349013657056147
estadístico,2,0.0030349013657056147
significativo,2,0.0030349013657056147
discriminación,2,0.0030349013657056147
capacidad,2,0.0030349013657056147
sistema,2,0.0030349013657056147
sentir,2,0.0030349013657056147
resultado,2,0.0030349013657056147
conducta,2,0.0030349013657056147
percepción,2,0.0030349013657056147
normal,2,0.0030349013657056147
desviación,2,0.0030349013657056147
fuerza,2,0.0030349013657056147
vida,2,0.0030349013657056147
1948,2,0.0030349013657056147
patológico,2,0.0030349013657056147
1997,2,0.0030349013657056147
causa,2,0.0030349013657056147
serie,2,0.0030349013657056147
enfocar,2,0.0030349013657056147
grado,2,0.0030349013657056147
combinación,2,0.0030349013657056147
evidencia,2,0.0030349013657056147
favorecer,2,0.0030349013657056147
avanzar,2,0.0030349013657056147
circunstancia,2,0.0030349013657056147
violencia,2,0.0030349013657056147
alteración,2,0.0030349013657056147
ford,2,0.0030349013657056147
genitales,2,0.0030349013657056147
rango,2,0.0030349013657056147
eminentemente,2,0.0030349013657056147
subjetivo,2,0.0030349013657056147
anatómico,2,0.0030349013657056147
medicalizada,2,0.0030349013657056147
fijo,2,0.0030349013657056147
ente,2,0.0030349013657056147
excitación,2,0.0030349013657056147
disfunción_sexual,2,0.0030349013657056147
imperativo,2,0.0030349013657056147
recuerdo,2,0.0030349013657056147
beach,2,0.0030349013657056147
1951,2,0.0030349013657056147
pomeroy,2,0.0030349013657056147
martin,2,0.0030349013657056147
villanueva,2,0.0030349013657056147
its,2,0.0030349013657056147
universal,2,0.0030349013657056147
dsmvi,2,0.0030349013657056147
parafílicos,2,0.0030349013657056147
libido,2,0.0030349013657056147
postmenopáusico,2,0.0030349013657056147
básico,1,0.0015174506828528073
sexualidad,1,0.0015174506828528073
proponer,1,0.0015174506828528073
área,1,0.0015174506828528073
estudiar,1,0.0015174506828528073
texto,1,0.0015174506828528073
pretender,1,0.0015174506828528073
base,1,0.0015174506828528073
etcétera,1,0.0015174506828528073
tratar,1,0.0015174506828528073
resolver,1,0.0015174506828528073
problema,1,0.0015174506828528073
tema,1,0.0015174506828528073
encontrar,1,0.0015174506828528073
conocimiento,1,0.0015174506828528073
acercar,1,0.0015174506828528073
contar,1,0.0015174506828528073
permitir,1,0.0015174506828528073
general,1,0.0015174506828528073
mayoría,1,0.0015174506828528073
información,1,0.0015174506828528073
responder,1,0.0015174506828528073
principalmente,1,0.0015174506828528073
programa,1,0.0015174506828528073
educación_sexual,1,0.0015174506828528073
mezcla,1,0.0015174506828528073
ámbito,1,0.0015174506828528073
salud,1,0.0015174506828528073
buscar,1,0.0015174506828528073
relacionar,1,0.0015174506828528073
fuente,1,0.0015174506828528073
mencionar,1,0.0015174506828528073
investigación,1,0.0015174506828528073
año,1,0.0015174506828528073
desarrollo,1,0.0015174506828528073
