Respuesta,Frecuencia,Asociación
enfermedad,3,0.05263157894736842
caracterizar,3,0.05263157894736842
mujer,2,0.03508771929824561
causa,2,0.03508771929824561
acompañar,2,0.03508771929824561
56,2,0.03508771929824561
olor,2,0.03508771929824561
prurito,2,0.03508771929824561
cervicitis,2,0.03508771929824561
562,2,0.03508771929824561
problema,1,0.017543859649122806
deber,1,0.017543859649122806
salud,1,0.017543859649122806
presentar,1,0.017543859649122806
requerir,1,0.017543859649122806
caso,1,0.017543859649122806
apartado,1,0.017543859649122806
incluir,1,0.017543859649122806
frecuente,1,0.017543859649122806
definitivo,1,0.017543859649122806
investigar,1,0.017543859649122806
considerar,1,0.017543859649122806
médico,1,0.017543859649122806
infección,1,0.017543859649122806
descarga,1,0.017543859649122806
tratamiento,1,0.017543859649122806
vaginal,1,0.017543859649122806
síntoma,1,0.017543859649122806
indicador,1,0.017543859649122806
its,1,0.017543859649122806
etiología,1,0.017543859649122806
falla,1,0.017543859649122806
urogenital,1,0.017543859649122806
sospechoso,1,0.017543859649122806
vaginosis_bacteriano,1,0.017543859649122806
trachomatis,1,0.017543859649122806
42223,1,0.017543859649122806
ureaplasma,1,0.017543859649122806
urealyticum,1,0.017543859649122806
mycoplasma,1,0.017543859649122806
hominis,1,0.017543859649122806
423,1,0.017543859649122806
4231,1,0.017543859649122806
candidiasis,1,0.017543859649122806
561,1,0.017543859649122806
