Respuesta,Frecuencia,Asociación
tratamiento,7,0.017721518987341773
1,3,0.007594936708860759
producir,3,0.007594936708860759
efecto,3,0.007594936708860759
farmacológico,3,0.007594936708860759
dosis,3,0.007594936708860759
80,3,0.007594936708860759
disfunción_sexual,3,0.007594936708860759
método,2,0.005063291139240506
tratar,2,0.005063291139240506
sexual,2,0.005063291139240506
2,2,0.005063291139240506
producto,2,0.005063291139240506
requerir,2,0.005063291139240506
importante,2,0.005063291139240506
tipo,2,0.005063291139240506
llegar,2,0.005063291139240506
psicológico,2,0.005063291139240506
incluir,2,0.005063291139240506
oral,2,0.005063291139240506
masculino,2,0.005063291139240506
enfermedad,2,0.005063291139240506
vía,2,0.005063291139240506
introducir,2,0.005063291139240506
frecuente,2,0.005063291139240506
activo,2,0.005063291139240506
embarazo,2,0.005063291139240506
clase,2,0.005063291139240506
mujer,2,0.005063291139240506
afectar,2,0.005063291139240506
unir,2,0.005063291139240506
frente,2,0.005063291139240506
francia,2,0.005063291139240506
alemania,2,0.005063291139240506
farmacéutico,2,0.005063291139240506
europa,2,0.005063291139240506
bretaña,2,0.005063291139240506
japón,2,0.005063291139240506
escandinavo,2,0.005063291139240506
república,2,0.005063291139240506
federal,2,0.005063291139240506
residual,2,0.005063291139240506
cero,2,0.005063291139240506
9,2,0.005063291139240506
cirugía,2,0.005063291139240506
arteria,2,0.005063291139240506
vena,2,0.005063291139240506
vaso,2,0.005063291139240506
wg_mg500,2,0.005063291139240506
consecutivo,2,0.005063291139240506
serotipo,2,0.005063291139240506
sexualidad,1,0.002531645569620253
méxico,1,0.002531645569620253
proceso,1,0.002531645569620253
seguir,1,0.002531645569620253
base,1,0.002531645569620253
encontrar,1,0.002531645569620253
principio,1,0.002531645569620253
elemento,1,0.002531645569620253
país,1,0.002531645569620253
deber,1,0.002531645569620253
general,1,0.002531645569620253
necesario,1,0.002531645569620253
existir,1,0.002531645569620253
información,1,0.002531645569620253
programa,1,0.002531645569620253
forma,1,0.002531645569620253
informar,1,0.002531645569620253
organización,1,0.002531645569620253
mundial,1,0.002531645569620253
salud,1,0.002531645569620253
acción,1,0.002531645569620253
relacionar,1,0.002531645569620253
avance,1,0.002531645569620253
mencionar,1,0.002531645569620253
presentar,1,0.002531645569620253
grupo,1,0.002531645569620253
año,1,0.002531645569620253
consejo,1,0.002531645569620253
