Respuesta,Frecuencia,Asociación
violencia,46,0.015257048092868989
sexual,45,0.014925373134328358
mujer,38,0.012603648424543947
persona,27,0.008955223880597015
niñez,21,0.006965174129353234
pareja,19,0.006301824212271974
edad,18,0.005970149253731343
asociación,17,0.005638474295190713
hombre,16,0.005306799336650083
estudio,15,0.004975124378109453
sexo,15,0.004975124378109453
encontrar,13,0.004311774461028192
1,13,0.004311774461028192
sexualidad,12,0.003980099502487562
humano,12,0.003980099502487562
adulto,12,0.003980099502487562
vida,11,0.003648424543946932
presente,10,0.003316749585406302
resultado,10,0.003316749585406302
sufrir,10,0.003316749585406302
factor,9,0.0029850746268656717
salud,9,0.0029850746268656717
cuerpo,9,0.0029850746268656717
variable,9,0.0029850746268656717
considerar,9,0.0029850746268656717
derecho,9,0.0029850746268656717
moral,9,0.0029850746268656717
diseño,8,0.0026533996683250414
obtener,8,0.0026533996683250414
tipo,7,0.002321724709784411
caso,7,0.002321724709784411
experimentar,7,0.002321724709784411
deber,6,0.001990049751243781
riesgo,6,0.001990049751243781
relacionar,6,0.001990049751243781
presentar,6,0.001990049751243781
año,6,0.001990049751243781
punto,6,0.001990049751243781
relación_sexual,6,0.001990049751243781
abuso,6,0.001990049751243781
cambio,6,0.001990049751243781
imagen,6,0.001990049751243781
práctica,6,0.001990049751243781
efecto,6,0.001990049751243781
víctima,6,0.001990049751243781
valorar,6,0.001990049751243781
tratar,5,0.001658374792703151
social,5,0.001658374792703151
2,5,0.001658374792703151
abrir,5,0.001658374792703151
b,5,0.001658374792703151
llegar,5,0.001658374792703151
implicar,5,0.001658374792703151
3,5,0.001658374792703151
establecer,5,0.001658374792703151
nivel,5,0.001658374792703151
objeto,5,0.001658374792703151
masculino,5,0.001658374792703151
enfermedad,5,0.001658374792703151
posibilidad,5,0.001658374792703151
condición,5,0.001658374792703151
experiencia,5,0.001658374792703151
natural,5,0.001658374792703151
manifestar,5,0.001658374792703151
aspecto,5,0.001658374792703151
fisiológico,5,0.001658374792703151
reactivo,5,0.001658374792703151
económico,5,0.001658374792703151
problema,4,0.0013266998341625207
concepto,4,0.0013266998341625207
general,4,0.0013266998341625207
ejercicio,4,0.0013266998341625207
necesidad,4,0.0013266998341625207
educación,4,0.0013266998341625207
forma,4,0.0013266998341625207
etapa,4,0.0013266998341625207
importante,4,0.0013266998341625207
dato,4,0.0013266998341625207
niño,4,0.0013266998341625207
consistir,4,0.0013266998341625207
tomar,4,0.0013266998341625207
psicológico,4,0.0013266998341625207
incluir,4,0.0013266998341625207
orgasmo,4,0.0013266998341625207
actividad_sexual,4,0.0013266998341625207
comportamiento,4,0.0013266998341625207
tiempo,4,0.0013266998341625207
servicio,4,0.0013266998341625207
medida,4,0.0013266998341625207
asignar,4,0.0013266998341625207
do,4,0.0013266998341625207
importancia,4,0.0013266998341625207
mano,4,0.0013266998341625207
conducta,4,0.0013266998341625207
menor,4,0.0013266998341625207
aborto,4,0.0013266998341625207
mental,4,0.0013266998341625207
antecedente,4,0.0013266998341625207
quedar,4,0.0013266998341625207
amor,4,0.0013266998341625207
real,4,0.0013266998341625207
libertad,4,0.0013266998341625207
deseo,4,0.0013266998341625207
disfrute,4,0.0013266998341625207
esposo,4,0.0013266998341625207
violación,4,0.0013266998341625207
padecer,4,0.0013266998341625207
existencia,4,0.0013266998341625207
interés,4,0.0013266998341625207
varón,4,0.0013266998341625207
piercings,4,0.0013266998341625207
sicológico,4,0.0013266998341625207
en_cuatro,4,0.0013266998341625207
categoría,4,0.0013266998341625207
básico,3,0.0009950248756218905
artículo,3,0.0009950248756218905
estudiar,3,0.0009950248756218905
elemento,3,0.0009950248756218905
cultural,3,0.0009950248756218905
contar,3,0.0009950248756218905
existir,3,0.0009950248756218905
mayoría,3,0.0009950248756218905
propuesta,3,0.0009950248756218905
programa,3,0.0009950248756218905
educación_sexual,3,0.0009950248756218905
investigación,3,0.0009950248756218905
desarrollo,3,0.0009950248756218905
análisis,3,0.0009950248756218905
cualquiera,3,0.0009950248756218905
definir,3,0.0009950248756218905
lugar,3,0.0009950248756218905
registrar,3,0.0009950248756218905
joven,3,0.0009950248756218905
secundario,3,0.0009950248756218905
idea,3,0.0009950248756218905
derivar,3,0.0009950248756218905
utilizar,3,0.0009950248756218905
expresión,3,0.0009950248756218905
comportamiento_sexual,3,0.0009950248756218905
masturbación,3,0.0009950248756218905
diferencia,3,0.0009950248756218905
actividad,3,0.0009950248756218905
relación,3,0.0009950248756218905
pegar,3,0.0009950248756218905
ofrecer,3,0.0009950248756218905
fenómeno,3,0.0009950248756218905
ejemplo,3,0.0009950248756218905
estadístico,3,0.0009950248756218905
significativo,3,0.0009950248756218905
consecuencia,3,0.0009950248756218905
asimismo,3,0.0009950248756218905
sistema,3,0.0009950248756218905
activo,3,0.0009950248756218905
adolescente,3,0.0009950248756218905
asociar,3,0.0009950248756218905
plantear,3,0.0009950248756218905
especial,3,0.0009950248756218905
acto,3,0.0009950248756218905
p,3,0.0009950248756218905
signo,3,0.0009950248756218905
clínico,3,0.0009950248756218905
hallazgo,3,0.0009950248756218905
ausencia,3,0.0009950248756218905
embarazar,3,0.0009950248756218905
provocar,3,0.0009950248756218905
procreación,3,0.0009950248756218905
478,3,0.0009950248756218905
tratamiento,3,0.0009950248756218905
frente,3,0.0009950248756218905
personal,3,0.0009950248756218905
protección,3,0.0009950248756218905
labor,3,0.0009950248756218905
parecer,3,0.0009950248756218905
extremo,3,0.0009950248756218905
simbólico,3,0.0009950248756218905
limitar,3,0.0009950248756218905
clase,3,0.0009950248756218905
artístico,3,0.0009950248756218905
concreto,3,0.0009950248756218905
himen,3,0.0009950248756218905
cuadro,3,0.0009950248756218905
delito,3,0.0009950248756218905
ejercer,3,0.0009950248756218905
hijo,3,0.0009950248756218905
juicio,3,0.0009950248756218905
exigir,3,0.0009950248756218905
médico,3,0.0009950248756218905
muestra,3,0.0009950248756218905
profesional,3,0.0009950248756218905
apreciar,3,0.0009950248756218905
causa,3,0.0009950248756218905
órgano,3,0.0009950248756218905
vista,3,0.0009950248756218905
0,3,0.0009950248756218905
particularidad,3,0.0009950248756218905
probable,3,0.0009950248756218905
comparación,3,0.0009950248756218905
doméstico,3,0.0009950248756218905
cuantificar,3,0.0009950248756218905
golpe,3,0.0009950248756218905
ic95,3,0.0009950248756218905
juez,3,0.0009950248756218905
1le,3,0.0009950248756218905
dicotómico,3,0.0009950248756218905
vejez,3,0.0009950248756218905
trabajo,2,0.0006633499170812604
término,2,0.0006633499170812604
lenguaje,2,0.0006633499170812604
explicar,2,0.0006633499170812604
descansar,2,0.0006633499170812604
etcétera,2,0.0006633499170812604
orientar,2,0.0006633499170812604
resolver,2,0.0006633499170812604
diverso,2,0.0006633499170812604
tema,2,0.0006633499170812604
reto,2,0.0006633499170812604
principio,2,0.0006633499170812604
permitir,2,0.0006633499170812604
necesario,2,0.0006633499170812604
actual,2,0.0006633499170812604
superior,2,0.0006633499170812604
tender,2,0.0006633499170812604
buscar,2,0.0006633499170812604
acción,2,0.0006633499170812604
salud_sexual,2,0.0006633499170812604
electrónico,2,0.0006633499170812604
representativo,2,0.0006633499170812604
ingeniería,2,0.0006633499170812604
nacional,2,0.0006633499170812604
cabo,2,0.0006633499170812604
conformación,2,0.0006633499170812604
momento,2,0.0006633499170812604
objetivo,2,0.0006633499170812604
usuario,2,0.0006633499170812604
finalmente,2,0.0006633499170812604
casa,2,0.0006633499170812604
descartar,2,0.0006633499170812604
mostrar,2,0.0006633499170812604
representatividad,2,0.0006633499170812604
búsqueda,2,0.0006633499170812604
género,2,0.0006633499170812604
4,2,0.0006633499170812604
evaluar,2,0.0006633499170812604
reforzar,2,0.0006633499170812604
construir,2,0.0006633499170812604
decidir,2,0.0006633499170812604
opinión,2,0.0006633499170812604
variar,2,0.0006633499170812604
realidad,2,0.0006633499170812604
abarcar,2,0.0006633499170812604
trabajar,2,0.0006633499170812604
requisito,2,0.0006633499170812604
institución,2,0.0006633499170812604
representar,2,0.0006633499170812604
visión,2,0.0006633499170812604
biológico,2,0.0006633499170812604
anatomía,2,0.0006633499170812604
medicina,2,0.0006633499170812604
placer,2,0.0006633499170812604
rol,2,0.0006633499170812604
femenino,2,0.0006633499170812604
profundo,2,0.0006633499170812604
prevención,2,0.0006633499170812604
masoquismo,2,0.0006633499170812604
atracción,2,0.0006633499170812604
función,2,0.0006633499170812604
terapia,2,0.0006633499170812604
cultura,2,0.0006633499170812604
alto,2,0.0006633499170812604
educativo,2,0.0006633499170812604
5,2,0.0006633499170812604
pregunta,2,0.0006633499170812604
peso,2,0.0006633499170812604
correspondiente,2,0.0006633499170812604
volver,2,0.0006633499170812604
esfuerzo,2,0.0006633499170812604
voluntad,2,0.0006633499170812604
cosa,2,0.0006633499170812604
pleno,2,0.0006633499170812604
reflejar,2,0.0006633499170812604
determinar,2,0.0006633499170812604
valor,2,0.0006633499170812604
discriminación,2,0.0006633499170812604
capacidad,2,0.0006633499170812604
orden,2,0.0006633499170812604
situación,2,0.0006633499170812604
conclusión,2,0.0006633499170812604
vivir,2,0.0006633499170812604
embarazo,2,0.0006633499170812604
desear,2,0.0006633499170812604
aumentar,2,0.0006633499170812604
adolescencia,2,0.0006633499170812604
producir,2,0.0006633499170812604
único,2,0.0006633499170812604
encuesta,2,0.0006633499170812604
gestación,2,0.0006633499170812604
10,2,0.0006633499170812604
abortar,2,0.0006633499170812604
distinguir,2,0.0006633499170812604
múltiple,2,0.0006633499170812604
incidencia,2,0.0006633499170812604
chico,2,0.0006633499170812604
penetración,2,0.0006633499170812604
34,2,0.0006633499170812604
multitud,2,0.0006633499170812604
parto,2,0.0006633499170812604
informe,2,0.0006633499170812604
presencia,2,0.0006633499170812604
284,2,0.0006633499170812604
768,2,0.0006633499170812604
665,2,0.0006633499170812604
867,2,0.0006633499170812604
trasmisión,2,0.0006633499170812604
fundamental,2,0.0006633499170812604
seguridad,2,0.0006633499170812604
alteración,2,0.0006633499170812604
familiar,2,0.0006633499170812604
violento,2,0.0006633499170812604
convivencia,2,0.0006633499170812604
inequívoco,2,0.0006633499170812604
disfunción_sexual,2,0.0006633499170812604
reseñar,2,0.0006633499170812604
30,2,0.0006633499170812604
parafilia,2,0.0006633499170812604
falta,2,0.0006633499170812604
garantía,2,0.0006633499170812604
corte,2,0.0006633499170812604
constitucional,2,0.0006633499170812604
unión,2,0.0006633499170812604
cosmos,2,0.0006633499170812604
plenamente,2,0.0006633499170812604
metafísico,2,0.0006633499170812604
nacer,2,0.0006633499170812604
norma,2,0.0006633499170812604
grado,2,0.0006633499170812604
observar,2,0.0006633499170812604
psicología,2,0.0006633499170812604
beso,2,0.0006633499170812604
abrazo,2,0.0006633499170812604
disfunción,2,0.0006633499170812604
emocional,2,0.0006633499170812604
agresión,2,0.0006633499170812604
feto,2,0.0006633499170812604
grave,2,0.0006633499170812604
tara,2,0.0006633499170812604
reproductivo,2,0.0006633499170812604
vincular,2,0.0006633499170812604
corporal,2,0.0006633499170812604
lejos,2,0.0006633499170812604
pensamiento,2,0.0006633499170812604
circunstancia,2,0.0006633499170812604
afectar,2,0.0006633499170812604
faceta,2,0.0006633499170812604
