Respuesta,Frecuencia,Asociación
biológico,4,0.0213903743315508
femenino,4,0.0213903743315508
óvulo,4,0.0213903743315508
masculino,3,0.016042780748663103
genético,3,0.016042780748663103
humano,2,0.0106951871657754
salud,2,0.0106951871657754
realidad,2,0.0106951871657754
posibilidad,2,0.0106951871657754
defecto,2,0.0106951871657754
producir,2,0.0106951871657754
reproducción,2,0.0106951871657754
radicar,2,0.0106951871657754
respeto,2,0.0106951871657754
ciento,2,0.0106951871657754
animal,2,0.0106951871657754
x,2,0.0106951871657754
encuentro,2,0.0106951871657754
celular,2,0.0106951871657754
seguir,1,0.0053475935828877
tratar,1,0.0053475935828877
tema,1,0.0053475935828877
indispensable,1,0.0053475935828877
contar,1,0.0053475935828877
necesario,1,0.0053475935828877
existir,1,0.0053475935828877
información,1,0.0053475935828877
sexual,1,0.0053475935828877
organización,1,0.0053475935828877
mundial,1,0.0053475935828877
avance,1,0.0053475935828877
investigación,1,0.0053475935828877
año,1,0.0053475935828877
necesitar,1,0.0053475935828877
momento,1,0.0053475935828877
corresponder,1,0.0053475935828877
lugar,1,0.0053475935828877
destinar,1,0.0053475935828877
contener,1,0.0053475935828877
tipo,1,0.0053475935828877
estudiante,1,0.0053475935828877
esencia,1,0.0053475935828877
descartar,1,0.0053475935828877
1,1,0.0053475935828877
técnica,1,0.0053475935828877
referente,1,0.0053475935828877
caso,1,0.0053475935828877
origen,1,0.0053475935828877
querer,1,0.0053475935828877
distinto,1,0.0053475935828877
cuerpo,1,0.0053475935828877
coito,1,0.0053475935828877
relación_sexual,1,0.0053475935828877
relación,1,0.0053475935828877
individuo,1,0.0053475935828877
edad,1,0.0053475935828877
reconocer,1,0.0053475935828877
pregunta,1,0.0053475935828877
característica,1,0.0053475935828877
aparición,1,0.0053475935828877
correcto,1,0.0053475935828877
funcional,1,0.0053475935828877
índice,1,0.0053475935828877
seleccionar,1,0.0053475935828877
condición,1,0.0053475935828877
manejo,1,0.0053475935828877
éxito,1,0.0053475935828877
tasa,1,0.0053475935828877
embarazo,1,0.0053475935828877
resultado,1,0.0053475935828877
único,1,0.0053475935828877
concepción,1,0.0053475935828877
cerca,1,0.0053475935828877
22,1,0.0053475935828877
aborto,1,0.0053475935828877
garantizar,1,0.0053475935828877
oms,1,0.0053475935828877
mujer,1,0.0053475935828877
vida,1,0.0053475935828877
genital,1,0.0053475935828877
generación,1,0.0053475935828877
patrón,1,0.0053475935828877
hombre,1,0.0053475935828877
natural,1,0.0053475935828877
sexuado,1,0.0053475935828877
vagina,1,0.0053475935828877
unir,1,0.0053475935828877
negativo,1,0.0053475935828877
afirmar,1,0.0053475935828877
pene,1,0.0053475935828877
daño,1,0.0053475935828877
surgir,1,0.0053475935828877
presencia,1,0.0053475935828877
formación,1,0.0053475935828877
unión,1,0.0053475935828877
malo,1,0.0053475935828877
acontecimiento,1,0.0053475935828877
clarificar,1,0.0053475935828877
ético,1,0.0053475935828877
embrión,1,0.0053475935828877
muerte,1,0.0053475935828877
especie,1,0.0053475935828877
ocurrir,1,0.0053475935828877
calidad,1,0.0053475935828877
laboratorio,1,0.0053475935828877
tratamiento,1,0.0053475935828877
tecnológico,1,0.0053475935828877
directo,1,0.0053475935828877
traer,1,0.0053475935828877
contacto,1,0.0053475935828877
44,1,0.0053475935828877
imposible,1,0.0053475935828877
entidad,1,0.0053475935828877
seriar,1,0.0053475935828877
programar,1,0.0053475935828877
626,1,0.0053475935828877
acertar,1,0.0053475935828877
evidentemente,1,0.0053475935828877
ovulación,1,0.0053475935828877
ideal,1,0.0053475935828877
noción,1,0.0053475935828877
integridad,1,0.0053475935828877
intercambio,1,0.0053475935828877
acarrear,1,0.0053475935828877
suceso,1,0.0053475935828877
célula,1,0.0053475935828877
estructural,1,0.0053475935828877
supervivencia,1,0.0053475935828877
368,1,0.0053475935828877
adn,1,0.0053475935828877
439,1,0.0053475935828877
cigoto,1,0.0053475935828877
singamia,1,0.0053475935828877
espermatozoide,1,0.0053475935828877
personeidad,1,0.0053475935828877
criopreservación,1,0.0053475935828877
fracción,1,0.0053475935828877
histónica,1,0.0053475935828877
cromatina,1,0.0053475935828877
protamina,1,0.0053475935828877
irreversible,1,0.0053475935828877
apoptosis,1,0.0053475935828877
afectación,1,0.0053475935828877
fragmentación,1,0.0053475935828877
espermático,1,0.0053475935828877
fivicsi,1,0.0053475935828877
fertilización,1,0.0053475935828877
macho,1,0.0053475935828877
hembra,1,0.0053475935828877
panamericano,1,0.0053475935828877
opsorganización,1,0.0053475935828877
cromosoma,1,0.0053475935828877
cromosoma_sexual,1,0.0053475935828877
mamífero,1,0.0053475935828877
recombinación,1,0.0053475935828877
genéticamente,1,0.0053475935828877
padresdiversidad,1,0.0053475935828877
ovulando,1,0.0053475935828877
parcialmente,1,0.0053475935828877
ﬁsiológicas,1,0.0053475935828877
