Respuesta,Frecuencia,Asociación
niño,2,0.10526315789473684
2,1,0.05263157894736842
idea,1,0.05263157894736842
implicar,1,0.05263157894736842
familia,1,0.05263157894736842
do,1,0.05263157894736842
costo,1,0.05263157894736842
mujer,1,0.05263157894736842
hijo,1,0.05263157894736842
quedar,1,0.05263157894736842
operar,1,0.05263157894736842
decisión,1,0.05263157894736842
ingreso,1,0.05263157894736842
insuficiente,1,0.05263157894736842
investigador,1,0.05263157894736842
marido,1,0.05263157894736842
satisfacer,1,0.05263157894736842
2fue,1,0.05263157894736842
