Respuesta,Frecuencia,Asociación
película,3,0.05
específico,1,0.016666666666666666
difusión,1,0.016666666666666666
2000,1,0.016666666666666666
año,1,0.016666666666666666
relevante,1,0.016666666666666666
cuyo,1,0.016666666666666666
clasificación,1,0.016666666666666666
escribir,1,0.016666666666666666
pareja,1,0.016666666666666666
jones,1,0.016666666666666666
protagonista,1,0.016666666666666666
menor,1,0.016666666666666666
época,1,0.016666666666666666
fantasía,1,0.016666666666666666
interesante,1,0.016666666666666666
duro,1,0.016666666666666666
puerta,1,0.016666666666666666
adquirir,1,0.016666666666666666
cercanía,1,0.016666666666666666
protagonizar,1,0.016666666666666666
empezar,1,0.016666666666666666
difundir,1,0.016666666666666666
verde,1,0.016666666666666666
detalle,1,0.016666666666666666
industria,1,0.016666666666666666
mirar,1,0.016666666666666666
x,1,0.016666666666666666
pornográfico,1,0.016666666666666666
tocar,1,0.016666666666666666
antonio,1,0.016666666666666666
michael,1,0.016666666666666666
the,1,0.016666666666666666
circuito,1,0.016666666666666666
178,1,0.016666666666666666
pornografía,1,0.016666666666666666
in,1,0.016666666666666666
popularidad,1,0.016666666666666666
cine,1,0.016666666666666666
zoom,1,0.016666666666666666
deep,1,0.016666666666666666
throat,1,0.016666666666666666
lindo,1,0.016666666666666666
lovelace,1,0.016666666666666666
taboo,1,0.016666666666666666
inside,1,0.016666666666666666
jennifer,1,0.016666666666666666
wells,1,0.016666666666666666
videocassette,1,0.016666666666666666
hard,1,0.016666666666666666
devil,1,0.016666666666666666
miss,1,0.016666666666666666
gubern,1,0.016666666666666666
cinta,1,0.016666666666666666
ninn,1,0.016666666666666666
libreto,1,0.016666666666666666
passolini,1,0.016666666666666666
malcom,1,0.016666666666666666
