Respuesta,Frecuencia,Asociación
movimiento,8,0.01167883211678832
feminista,5,0.0072992700729927005
bisexual,5,0.0072992700729927005
social,4,0.00583941605839416
pareja,4,0.00583941605839416
iniciar,4,0.00583941605839416
derecho,4,0.00583941605839416
sida,4,0.00583941605839416
institucionalización,4,0.00583941605839416
méxico,3,0.004379562043795621
internet,3,0.004379562043795621
permitir,3,0.004379562043795621
deber,3,0.004379562043795621
general,3,0.004379562043795621
constituir,3,0.004379562043795621
salud,3,0.004379562043795621
grupo,3,0.004379562043795621
año,3,0.004379562043795621
joven,3,0.004379562043795621
género,3,0.004379562043795621
caso,3,0.004379562043795621
orientación_sexual,3,0.004379562043795621
clase,3,0.004379562043795621
deseo,3,0.004379562043795621
vida,3,0.004379562043795621
período,3,0.004379562043795621
discurso,3,0.004379562043795621
transexuales,3,0.004379562043795621
sexualidad,2,0.00291970802919708
trabajo,2,0.00291970802919708
proceso,2,0.00291970802919708
problema,2,0.00291970802919708
elemento,2,0.00291970802919708
cultural,2,0.00291970802919708
factor,2,0.00291970802919708
crear,2,0.00291970802919708
estudio,2,0.00291970802919708
producto,2,0.00291970802919708
niño,2,0.00291970802919708
autor,2,0.00291970802919708
asociación,2,0.00291970802919708
reforzar,2,0.00291970802919708
objeto,2,0.00291970802919708
incluir,2,0.00291970802919708
aumento,2,0.00291970802919708
identidad,2,0.00291970802919708
enfermedad,2,0.00291970802919708
relación,2,0.00291970802919708
cultura,2,0.00291970802919708
sociedad,2,0.00291970802919708
edad,2,0.00291970802919708
tiempo,2,0.00291970802919708
aparición,2,0.00291970802919708
condición,2,0.00291970802919708
valor,2,0.00291970802919708
importancia,2,0.00291970802919708
adolescente,2,0.00291970802919708
inicio,2,0.00291970802919708
aparecer,2,0.00291970802919708
época,2,0.00291970802919708
escuchar,2,0.00291970802919708
romper,2,0.00291970802919708
homosexual,2,0.00291970802919708
hombre,2,0.00291970802919708
varón,2,0.00291970802919708
político,2,0.00291970802919708
debate,2,0.00291970802919708
asumir,2,0.00291970802919708
empezar,2,0.00291970802919708
ciudad,2,0.00291970802919708
