Respuesta,Frecuencia,Asociación
genético,7,0.03431372549019608
proceso,2,0.00980392156862745
basar,2,0.00980392156862745
humano,2,0.00980392156862745
deber,2,0.00980392156862745
programa,2,0.00980392156862745
diversidad,2,0.00980392156862745
biológico,2,0.00980392156862745
único,2,0.00980392156862745
garantizar,2,0.00980392156862745
fuerte,2,0.00980392156862745
diferenciar,2,0.00980392156862745
prevalecer,2,0.00980392156862745
cromosoma,2,0.00980392156862745
recesivo,2,0.00980392156862745
padresdiversidad,2,0.00980392156862745
texto,1,0.004901960784313725
pretender,1,0.004901960784313725
semántico,1,0.004901960784313725
concepto,1,0.004901960784313725
necesario,1,0.004901960784313725
forma,1,0.004901960784313725
sexual,1,0.004901960784313725
presentar,1,0.004901960784313725
año,1,0.004901960784313725
desarrollo,1,0.004901960784313725
modelo,1,0.004901960784313725
análisis,1,0.004901960784313725
cualquiera,1,0.004901960784313725
producto,1,0.004901960784313725
fase,1,0.004901960784313725
importante,1,0.004901960784313725
definir,1,0.004901960784313725
explicación,1,0.004901960784313725
tipo,1,0.004901960784313725
asociación,1,0.004901960784313725
pasar,1,0.004901960784313725
caso,1,0.004901960784313725
diferenciación,1,0.004901960784313725
origen,1,0.004901960784313725
evitar,1,0.004901960784313725
visión,1,0.004901960784313725
expresión,1,0.004901960784313725
masculino,1,0.004901960784313725
enfermedad,1,0.004901960784313725
individuo,1,0.004901960784313725
tiempo,1,0.004901960784313725
campo,1,0.004901960784313725
vacío,1,0.004901960784313725
corriente,1,0.004901960784313725
producción,1,0.004901960784313725
condición,1,0.004901960784313725
probabilístico,1,0.004901960784313725
conforme,1,0.004901960784313725
prueba,1,0.004901960784313725
conducta,1,0.004901960784313725
investigar,1,0.004901960784313725
convertir,1,0.004901960784313725
considerar,1,0.004901960784313725
gestación,1,0.004901960784313725
mental,1,0.004901960784313725
instinto,1,0.004901960784313725
científico,1,0.004901960784313725
mujer,1,0.004901960784313725
vida,1,0.004901960784313725
centrar,1,0.004901960784313725
incestuoso,1,0.004901960784313725
variabilidad,1,0.004901960784313725
interpretar,1,0.004901960784313725
parecer,1,0.004901960784313725
expresar,1,0.004901960784313725
múltiple,1,0.004901960784313725
incidencia,1,0.004901960784313725
cambiar,1,0.004901960784313725
retraso,1,0.004901960784313725
1996,1,0.004901960784313725
tendencia,1,0.004901960784313725
progenitor,1,0.004901960784313725
diagnóstico,1,0.004901960784313725
reducir,1,0.004901960784313725
varón,1,0.004901960784313725
surgir,1,0.004901960784313725
formación,1,0.004901960784313725
sano,1,0.004901960784313725
heredar,1,0.004901960784313725
filósofo,1,0.004901960784313725
evolución,1,0.004901960784313725
citar,1,0.004901960784313725
madre,1,0.004901960784313725
política,1,0.004901960784313725
muerte,1,0.004901960784313725
eugenésico,1,0.004901960784313725
semana,1,0.004901960784313725
especie,1,0.004901960784313725
conservador,1,0.004901960784313725
postura,1,0.004901960784313725
provocar,1,0.004901960784313725
feto,1,0.004901960784313725
estimular,1,0.004901960784313725
tejido,1,0.004901960784313725
simple,1,0.004901960784313725
1980,1,0.004901960784313725
grave,1,0.004901960784313725
absolutamente,1,0.004901960784313725
directamente,1,0.004901960784313725
básicamente,1,0.004901960784313725
1975,1,0.004901960784313725
riqueza,1,0.004901960784313725
7,1,0.004901960784313725
reducción,1,0.004901960784313725
confirmar,1,0.004901960784313725
protección,1,0.004901960784313725
ausencia,1,0.004901960784313725
enfermo,1,0.004901960784313725
30,1,0.004901960784313725
sangre,1,0.004901960784313725
causar,1,0.004901960784313725
humanidad,1,0.004901960784313725
fetal,1,0.004901960784313725
frecuencia,1,0.004901960784313725
ubicar,1,0.004901960784313725
genérico,1,0.004901960784313725
seguramente,1,0.004901960784313725
espacio,1,0.004901960784313725
radical,1,0.004901960784313725
modular,1,0.004901960784313725
activar,1,0.004901960784313725
universal,1,0.004901960784313725
garantía,1,0.004901960784313725
reduccionista,1,0.004901960784313725
wilson,1,0.004901960784313725
célula,1,0.004901960784313725
culturalmente,1,0.004901960784313725
subalterno,1,0.004901960784313725
supervivencia,1,0.004901960784313725
flecha,1,0.004901960784313725
incesto,1,0.004901960784313725
causante,1,0.004901960784313725
tara,1,0.004901960784313725
restringir,1,0.004901960784313725
cuarenta,1,0.004901960784313725
repugnancia,1,0.004901960784313725
adn,1,0.004901960784313725
cromosoma_sexual,1,0.004901960784313725
testículo,1,0.004901960784313725
determinismo,1,0.004901960784313725
rose,1,0.004901960784313725
kamin,1,0.004901960784313725
causalidad,1,0.004901960784313725
epigénesis,1,0.004901960784313725
waddington,1,0.004901960784313725
genotipo,1,0.004901960784313725
reconsideración,1,0.004901960784313725
reduccionismo,1,0.004901960784313725
gonadal,1,0.004901960784313725
gónada,1,0.004901960784313725
primitivo,1,0.004901960784313725
perturbación,1,0.004901960784313725
anormalidad,1,0.004901960784313725
heterocigosis,1,0.004901960784313725
emparentar,1,0.004901960784313725
neodarwinismo,1,0.004901960784313725
dawkins,1,0.004901960784313725
trivers,1,0.004901960784313725
egoísta,1,0.004901960784313725
sociobiología,1,0.004901960784313725
homocigosis,1,0.004901960784313725
hereditario,1,0.004901960784313725
descendencia,1,0.004901960784313725
duplicación,1,0.004901960784313725
letal,1,0.004901960784313725
semiletal,1,0.004901960784313725
abstracto,1,0.004901960784313725
abyecto,1,0.004901960784313725
postimplantacional,1,0.004901960784313725
srysex,1,0.004901960784313725
region,1,0.004901960784313725
chromosome,1,0.004901960784313725
masculinización,1,0.004901960784313725
ínfimo,1,0.004901960784313725
genéticamente,1,0.004901960784313725
maniﬁestan,1,0.004901960784313725
genoma,1,0.004901960784313725
