Respuesta,Frecuencia,Asociación
centro,5,0.020161290322580645
problema,4,0.016129032258064516
año,3,0.012096774193548387
aborto,3,0.012096774193548387
padre,3,0.012096774193548387
planificación,3,0.012096774193548387
método,2,0.008064516129032258
recurso,2,0.008064516129032258
información,2,0.008064516129032258
sexual,2,0.008064516129032258
niño,2,0.008064516129032258
obtener,2,0.008064516129032258
utilizar,2,0.008064516129032258
caso,2,0.008064516129032258
incluir,2,0.008064516129032258
pareja,2,0.008064516129032258
método_anticonceptivo,2,0.008064516129032258
sexo,2,0.008064516129032258
derecho,2,0.008064516129032258
familiar,2,0.008064516129032258
impedir,2,0.008064516129032258
lionel,2,0.008064516129032258
síndrome,2,0.008064516129032258
down,2,0.008064516129032258
tribunal,2,0.008064516129032258
indemnizar,2,0.008064516129032258
avisar,2,0.008064516129032258
madre,2,0.008064516129032258
malformación,2,0.008064516129032258
terapéutico,2,0.008064516129032258
consultorio,2,0.008064516129032258
revista,2,0.008064516129032258
292,2,0.008064516129032258
253,2,0.008064516129032258
441,2,0.008064516129032258
207,2,0.008064516129032258
empezar,2,0.008064516129032258
farmacia,2,0.008064516129032258
161,2,0.008064516129032258
13,2,0.008064516129032258
tratar,1,0.004032258064516129
tema,1,0.004032258064516129
encontrar,1,0.004032258064516129
cantidad,1,0.004032258064516129
social,1,0.004032258064516129
conocimiento,1,0.004032258064516129
común,1,0.004032258064516129
deber,1,0.004032258064516129
mayoría,1,0.004032258064516129
criterio,1,0.004032258064516129
responder,1,0.004032258064516129
propuesta,1,0.004032258064516129
conjunto,1,0.004032258064516129
atender,1,0.004032258064516129
educación_sexual,1,0.004032258064516129
impartir,1,0.004032258064516129
salud,1,0.004032258064516129
grupo,1,0.004032258064516129
momento,1,0.004032258064516129
producto,1,0.004032258064516129
público,1,0.004032258064516129
requerir,1,0.004032258064516129
ocurrencia,1,0.004032258064516129
lugar,1,0.004032258064516129
acceso,1,0.004032258064516129
pensar,1,0.004032258064516129
tipo,1,0.004032258064516129
c,1,0.004032258064516129
punto,1,0.004032258064516129
técnica,1,0.004032258064516129
3,1,0.004032258064516129
consistir,1,0.004032258064516129
posterior,1,0.004032258064516129
decidir,1,0.004032258064516129
conformar,1,0.004032258064516129
tomar,1,0.004032258064516129
desarrollar,1,0.004032258064516129
enfermedad,1,0.004032258064516129
sociedad,1,0.004032258064516129
educativo,1,0.004032258064516129
