Respuesta,Frecuencia,Asociación
placer,11,0.023255813953488372
imagen,9,0.019027484143763214
deseo,5,0.010570824524312896
presentar,4,0.008456659619450317
central,4,0.008456659619450317
hallar,4,0.008456659619450317
hablar,4,0.008456659619450317
orden,4,0.008456659619450317
erótico,4,0.008456659619450317
justamente,4,0.008456659619450317
colindar,4,0.008456659619450317
envolver,4,0.008456659619450317
teleología,4,0.008456659619450317
mostrar,3,0.006342494714587738
cuerpo,3,0.006342494714587738
determinar,3,0.006342494714587738
entender,3,0.006342494714587738
expresar,3,0.006342494714587738
erotismo,3,0.006342494714587738
ojo,3,0.006342494714587738
inconsciente,3,0.006342494714587738
sexualidad,2,0.004228329809725159
lenguaje,2,0.004228329809725159
seguir,2,0.004228329809725159
principio,2,0.004228329809725159
contar,2,0.004228329809725159
barrera,2,0.004228329809725159
principalmente,2,0.004228329809725159
forma,2,0.004228329809725159
variedad,2,0.004228329809725159
crear,2,0.004228329809725159
acceso,2,0.004228329809725159
carácter,2,0.004228329809725159
manual,2,0.004228329809725159
idea,2,0.004228329809725159
escribir,2,0.004228329809725159
registro,2,0.004228329809725159
tomar,2,0.004228329809725159
sujeto,2,0.004228329809725159
vía,2,0.004228329809725159
volver,2,0.004228329809725159
pauta,2,0.004228329809725159
14,2,0.004228329809725159
normal,2,0.004228329809725159
vida,2,0.004228329809725159
matrimonio,2,0.004228329809725159
representación,2,0.004228329809725159
hombre,2,0.004228329809725159
historia,2,0.004228329809725159
múltiple,2,0.004228329809725159
allá,2,0.004228329809725159
rodear,2,0.004228329809725159
utópico,2,0.004228329809725159
someter,2,0.004228329809725159
difícil,2,0.004228329809725159
horizonte,2,0.004228329809725159
temor,2,0.004228329809725159
dogma,2,0.004228329809725159
significante,2,0.004228329809725159
escritura,2,0.004228329809725159
obtuso,2,0.004228329809725159
kama,2,0.004228329809725159
inaccesibilidad,2,0.004228329809725159
obscuridad,2,0.004228329809725159
inaccesible,2,0.004228329809725159
filtrar,2,0.004228329809725159
susceptible,2,0.004228329809725159
puro,2,0.004228329809725159
disciplinar,2,0.004228329809725159
