Respuesta,Frecuencia,Asociación
persona,2,0.037037037037037035
deporte,2,0.037037037037037035
base,1,0.018518518518518517
orientar,1,0.018518518518518517
suponer,1,0.018518518518518517
conjunto,1,0.018518518518518517
proporcionar,1,0.018518518518518517
definir,1,0.018518518518518517
1,1,0.018518518518518517
3,1,0.018518518518518517
rol,1,0.018518518518518517
atracción,1,0.018518518518518517
relación,1,0.018518518518518517
pareja,1,0.018518518518518517
tiempo,1,0.018518518518518517
alto,1,0.018518518518518517
ofrecer,1,0.018518518518518517
valor,1,0.018518518518518517
especificar,1,0.018518518518518517
creer,1,0.018518518518518517
físico,1,0.018518518518518517
mujer,1,0.018518518518518517
aspecto,1,0.018518518518518517
j,1,0.018518518518518517
observar,1,0.018518518518518517
hombre,1,0.018518518518518517
tabla,1,0.018518518518518517
parejo,1,0.018518518518518517
machista,1,0.018518518518518517
atribuir,1,0.018518518518518517
convivencia,1,0.018518518518518517
seguridad,1,0.018518518518518517
protección,1,0.018518518518518517
detalle,1,0.018518518518518517
gustar,1,0.018518518518518517
amistad,1,0.018518518518518517
lejos,1,0.018518518518518517
cariño,1,0.018518518518518517
brindar,1,0.018518518518518517
complemento,1,0.018518518518518517
desempeñar,1,0.018518518518518517
valentía,1,0.018518518518518517
agradecimiento,1,0.018518518518518517
avión,1,0.018518518518518517
ve,1,0.018518518518518517
afuera,1,0.018518518518518517
fíjate,1,0.018518518518518517
gratitud,1,0.018518518518518517
mujeriego,1,0.018518518518518517
definidor,1,0.018518518518518517
sam,1,0.018518518518518517
valiente,1,0.018518518518518517
