Respuesta,Frecuencia,Asociación
tratar,1,0.05263157894736842
humano,1,0.05263157894736842
grupo,1,0.05263157894736842
2,1,0.05263157894736842
corresponder,1,0.05263157894736842
esencialmente,1,0.05263157894736842
1,1,0.05263157894736842
escapar,1,0.05263157894736842
caso,1,0.05263157894736842
cuerpo,1,0.05263157894736842
incluir,1,0.05263157894736842
comportamiento,1,0.05263157894736842
individuo,1,0.05263157894736842
actitud,1,0.05263157894736842
ubicar,1,0.05263157894736842
corregir,1,0.05263157894736842
domesticación,1,0.05263157894736842
monstruo,1,0.05263157894736842
quimera,1,0.05263157894736842
