Respuesta,Frecuencia,Asociación
expresión,1,0.05263157894736842
femenino,1,0.05263157894736842
coincidir,1,0.05263157894736842
plantear,1,0.05263157894736842
físico,1,0.05263157894736842
muestra,1,0.05263157894736842
mujer,1,0.05263157894736842
aspecto,1,0.05263157894736842
mitad,1,0.05263157894736842
amoroso,1,0.05263157894736842
madre,1,0.05263157894736842
vincular,1,0.05263157894736842
afecto,1,0.05263157894736842
cariñoso,1,0.05263157894736842
atributo,1,0.05263157894736842
sensible,1,0.05263157894736842
belleza,1,0.05263157894736842
instrumental,1,0.05263157894736842
definidor,1,0.05263157894736842
