Respuesta,Frecuencia,Asociación
infección,4,0.09302325581395349
virus,3,0.06976744186046512
enfermedad,2,0.046511627906976744
transmisión,2,0.046511627906976744
predominantemente,2,0.046511627906976744
piel,2,0.046511627906976744
especificación,2,0.046511627906976744
recto,2,0.046511627906976744
anogenital,2,0.046511627906976744
perianal,2,0.046511627906976744
a61,2,0.046511627906976744
deber,1,0.023255813953488372
sexual,1,0.023255813953488372
sitio,1,0.023255813953488372
clasificar,1,0.023255813953488372
especificar,1,0.023255813953488372
genitales,1,0.023255813953488372
trayecto,1,0.023255813953488372
urogenital,1,0.023255813953488372
venéreo,1,0.023255813953488372
herpes,1,0.023255813953488372
tricomoniasis,1,0.023255813953488372
a592,1,0.023255813953488372
a60,1,0.023255813953488372
a600,1,0.023255813953488372
a601,1,0.023255813953488372
a602,1,0.023255813953488372
a62,1,0.023255813953488372
verruga,1,0.023255813953488372
