Respuesta,Frecuencia,Asociación
homosexual,16,0.01609657947686117
hombre,11,0.011066398390342052
sexo,10,0.01006036217303823
sexual,9,0.009054325955734407
relación,8,0.008048289738430584
mujer,8,0.008048289738430584
conducta,7,0.007042253521126761
encontrar,6,0.006036217303822937
relación_sexual,6,0.006036217303822937
masculino,6,0.006036217303822937
sexualidad,5,0.005030181086519115
orientación_sexual,5,0.005030181086519115
persona,5,0.005030181086519115
orientación,5,0.005030181086519115
término,4,0.004024144869215292
ejercicio,4,0.004024144869215292
pareja,4,0.004024144869215292
práctica,4,0.004024144869215292
tema,3,0.0030181086519114686
deber,3,0.0030181086519114686
población,3,0.0030181086519114686
año,3,0.0030181086519114686
mostrar,3,0.0030181086519114686
idea,3,0.0030181086519114686
4,3,0.0030181086519114686
describir,3,0.0030181086519114686
incluir,3,0.0030181086519114686
sujeto,3,0.0030181086519114686
actividad,3,0.0030181086519114686
atracción,3,0.0030181086519114686
resultado,3,0.0030181086519114686
mental,3,0.0030181086519114686
exclusivamente,3,0.0030181086519114686
matrimonial,3,0.0030181086519114686
generar,3,0.0030181086519114686
aceptar,3,0.0030181086519114686
condón,3,0.0030181086519114686
reproducción,3,0.0030181086519114686
negativo,3,0.0030181086519114686
conyugal,3,0.0030181086519114686
acto_sexual,3,0.0030181086519114686
personal,3,0.0030181086519114686
patrón,3,0.0030181086519114686
incesto,3,0.0030181086519114686
dificultad,3,0.0030181086519114686
trabajo,2,0.002012072434607646
méxico,2,0.002012072434607646
seguir,2,0.002012072434607646
problema,2,0.002012072434607646
diverso,2,0.002012072434607646
elemento,2,0.002012072434607646
social,2,0.002012072434607646
general,2,0.002012072434607646
existir,2,0.002012072434607646
forma,2,0.002012072434607646
tender,2,0.002012072434607646
grupo,2,0.002012072434607646
desarrollo,2,0.002012072434607646
crear,2,0.002012072434607646
modelo,2,0.002012072434607646
interacción,2,0.002012072434607646
estudio,2,0.002012072434607646
contexto,2,0.002012072434607646
punto,2,0.002012072434607646
1,2,0.002012072434607646
indicar,2,0.002012072434607646
límite,2,0.002012072434607646
realidad,2,0.002012072434607646
kinsey,2,0.002012072434607646
contenido,2,0.002012072434607646
visión,2,0.002012072434607646
biológico,2,0.002012072434607646
orgasmo,2,0.002012072434607646
coito,2,0.002012072434607646
aumento,2,0.002012072434607646
identidad,2,0.002012072434607646
femenino,2,0.002012072434607646
desarrollar,2,0.002012072434607646
transmisión,2,0.002012072434607646
heterosexualidad,2,0.002012072434607646
sadomasoquismo,2,0.002012072434607646
comportamiento,2,0.002012072434607646
sociedad,2,0.002012072434607646
occidental,2,0.002012072434607646
alto,2,0.002012072434607646
privar,2,0.002012072434607646
referir,2,0.002012072434607646
marcar,2,0.002012072434607646
frecuente,2,0.002012072434607646
determinar,2,0.002012072434607646
cercano,2,0.002012072434607646
situación,2,0.002012072434607646
oportunidad,2,0.002012072434607646
embarazo,2,0.002012072434607646
adolescencia,2,0.002012072434607646
preocupación,2,0.002012072434607646
producir,2,0.002012072434607646
enfrentar,2,0.002012072434607646
iniciar,2,0.002012072434607646
considerar,2,0.002012072434607646
2007,2,0.002012072434607646
coital,2,0.002012072434607646
practicar,2,0.002012072434607646
homosexualidad,2,0.002012072434607646
deseo,2,0.002012072434607646
romper,2,0.002012072434607646
vida,2,0.002012072434607646
oponer,2,0.002012072434607646
pubertad,2,0.002012072434607646
fantasía,2,0.002012072434607646
deseable,2,0.002012072434607646
varón,2,0.002012072434607646
ciudadanía,2,0.002012072434607646
lógica,2,0.002012072434607646
expresar,2,0.002012072434607646
estilo,2,0.002012072434607646
reproductivo,2,0.002012072434607646
contacto,2,0.002012072434607646
bisexual,2,0.002012072434607646
declarar,2,0.002012072434607646
matrimonio,2,0.002012072434607646
evidencia,2,0.002012072434607646
arqueológico,2,0.002012072434607646
insistir,2,0.002012072434607646
socialmente,2,0.002012072434607646
procreativo,2,0.002012072434607646
amor,2,0.002012072434607646
observar,2,0.002012072434607646
reportar,2,0.002012072434607646
erótico,2,0.002012072434607646
prescribir,2,0.002012072434607646
nichols,2,0.002012072434607646
incidencia,2,0.002012072434607646
actualidad,2,0.002012072434607646
whisman,2,0.002012072434607646
1996,2,0.002012072434607646
lesbiana,2,0.002012072434607646
cajiao,2,0.002012072434607646
presencia,2,0.002012072434607646
universal,2,0.002012072434607646
discreción,2,0.002012072434607646
manejar,2,0.002012072434607646
fantasma,2,0.002012072434607646
usual,2,0.002012072434607646
generación,2,0.002012072434607646
problemático,2,0.002012072434607646
pariente,2,0.002012072434607646
modalidad,2,0.002012072434607646
pensamiento,2,0.002012072434607646
resto,2,0.002012072434607646
exclusivo,2,0.002012072434607646
75,2,0.002012072434607646
81,2,0.002012072434607646
observación,2,0.002012072434607646
incremento,2,0.002012072434607646
cosificación,2,0.002012072434607646
causa,2,0.002012072434607646
influencia,2,0.002012072434607646
parecer,2,0.002012072434607646
ropa,2,0.002012072434607646
voyeurismo,2,0.002012072434607646
proponer,1,0.001006036217303823
explicar,1,0.001006036217303823
proceso,1,0.001006036217303823
base,1,0.001006036217303823
material,1,0.001006036217303823
tratar,1,0.001006036217303823
orientar,1,0.001006036217303823
basar,1,0.001006036217303823
definición,1,0.001006036217303823
específico,1,0.001006036217303823
humano,1,0.001006036217303823
principio,1,0.001006036217303823
cantidad,1,0.001006036217303823
cultural,1,0.001006036217303823
conocimiento,1,0.001006036217303823
país,1,0.001006036217303823
recurso,1,0.001006036217303823
facilitar,1,0.001006036217303823
consenso,1,0.001006036217303823
integración,1,0.001006036217303823
permitir,1,0.001006036217303823
mayoría,1,0.001006036217303823
faltar,1,0.001006036217303823
información,1,0.001006036217303823
responder,1,0.001006036217303823
actual,1,0.001006036217303823
suponer,1,0.001006036217303823
mexicano,1,0.001006036217303823
informar,1,0.001006036217303823
riesgo,1,0.001006036217303823
constituir,1,0.001006036217303823
organización,1,0.001006036217303823
salud,1,0.001006036217303823
2000,1,0.001006036217303823
buscar,1,0.001006036217303823
relacionar,1,0.001006036217303823
variedad,1,0.001006036217303823
investigación,1,0.001006036217303823
consejo,1,0.001006036217303823
nacional,1,0.001006036217303823
aplicación,1,0.001006036217303823
análisis,1,0.001006036217303823
proporcionar,1,0.001006036217303823
cualquiera,1,0.001006036217303823
momento,1,0.001006036217303823
cuyo,1,0.001006036217303823
principal,1,0.001006036217303823
contribuir,1,0.001006036217303823
público,1,0.001006036217303823
requerir,1,0.001006036217303823
importante,1,0.001006036217303823
depender,1,0.001006036217303823
presente,1,0.001006036217303823
corresponder,1,0.001006036217303823
definir,1,0.001006036217303823
lugar,1,0.001006036217303823
resultar,1,0.001006036217303823
descripción,1,0.001006036217303823
tipo,1,0.001006036217303823
niño,1,0.001006036217303823
adulto,1,0.001006036217303823
obtener,1,0.001006036217303823
esencia,1,0.001006036217303823
papel,1,0.001006036217303823
implicar,1,0.001006036217303823
género,1,0.001006036217303823
3,1,0.001006036217303823
