Respuesta,Frecuencia,Asociación
mujer,161,0.02677532013969732
familia,65,0.010809911857641775
pareja,60,0.009978380176284716
hombre,53,0.008814235822384832
padre,48,0.007982704141027773
1,43,0.007151172459670714
año,38,0.006319640778313654
vida,35,0.005820721769499418
deber,32,0.005321802760685182
fecundidad,29,0.004822883751870947
querer,27,0.004490271079328123
embarazo,26,0.00432396474305671
familiar,26,0.00432396474305671
relación,25,0.004157658406785299
caso,24,0.0039913520705138865
económico,24,0.0039913520705138865
reproductivo,23,0.0038250457342424746
sexualidad,22,0.0036587393979710626
social,21,0.0034924330616996507
situación,21,0.0034924330616996507
derecho,21,0.0034924330616996507
decisión,20,0.0033261267254282387
niño,19,0.003159820389156827
responsabilidad,19,0.003159820389156827
varón,19,0.003159820389156827
unión,19,0.003159820389156827
madre,18,0.002993514052885415
persona,17,0.002827207716614003
vivir,17,0.002827207716614003
paternidad,17,0.002827207716614003
2,16,0.002660901380342591
edad,16,0.002660901380342591
condición,16,0.002660901380342591
desear,16,0.002660901380342591
considerar,16,0.002660901380342591
cuidado,16,0.002660901380342591
cambio,15,0.002494595044071179
casar,15,0.002494595044071179
reproducción,15,0.002494595044071179
salud,14,0.002328288707799767
nacer,14,0.002328288707799767
educación,13,0.002161982371528355
importante,13,0.002161982371528355
futuro,13,0.002161982371528355
método_anticonceptivo,13,0.002161982371528355
generación,13,0.002161982371528355
esposo,13,0.002161982371528355
cónyuge,13,0.002161982371528355
método,12,0.0019956760352569432
riesgo,12,0.0019956760352569432
pensar,12,0.0019956760352569432
cuidar,12,0.0019956760352569432
ejemplo,12,0.0019956760352569432
menor,12,0.0019956760352569432
médico,12,0.0019956760352569432
deseo,12,0.0019956760352569432
atención,12,0.0019956760352569432
problema,11,0.0018293696989855313
permitir,11,0.0018293696989855313
desarrollo,11,0.0018293696989855313
relación_sexual,11,0.0018293696989855313
tiempo,11,0.0018293696989855313
do,11,0.0018293696989855313
aborto,11,0.0018293696989855313
sexo,11,0.0018293696989855313
existir,10,0.0016630633627141194
necesidad,10,0.0016630633627141194
sexual,10,0.0016630633627141194
casa,10,0.0016630633627141194
mostrar,10,0.0016630633627141194
número,10,0.0016630633627141194
establecer,10,0.0016630633627141194
distinto,10,0.0016630633627141194
control,10,0.0016630633627141194
posibilidad,10,0.0016630633627141194
aceptar,10,0.0016630633627141194
pobre,10,0.0016630633627141194
rural,10,0.0016630633627141194
hermano,10,0.0016630633627141194
trabajo,9,0.0014967570264427074
grupo,9,0.0014967570264427074
nivel,9,0.0014967570264427074
llamar,9,0.0014967570264427074
valor,9,0.0014967570264427074
recibir,9,0.0014967570264427074
matrimonio,9,0.0014967570264427074
embarazar,9,0.0014967570264427074
quedar,9,0.0014967570264427074
unir,9,0.0014967570264427074
historia,9,0.0014967570264427074
hogar,9,0.0014967570264427074
doméstico,9,0.0014967570264427074
elevar,9,0.0014967570264427074
paridad,9,0.0014967570264427074
necesario,8,0.0013304506901712955
estudio,8,0.0013304506901712955
servir,8,0.0013304506901712955
implicar,8,0.0013304506901712955
decidir,8,0.0013304506901712955
razón,8,0.0013304506901712955
actividad,8,0.0013304506901712955
escuela,8,0.0013304506901712955
sociedad,8,0.0013304506901712955
dejar,8,0.0013304506901712955
apoyo,8,0.0013304506901712955
costo,8,0.0013304506901712955
ingreso,8,0.0013304506901712955
maternidad,8,0.0013304506901712955
preferencia,8,0.0013304506901712955
proceso,7,0.0011641443538998836
país,7,0.0011641443538998836
comunicación,7,0.0011641443538998836
educación_sexual,7,0.0011641443538998836
acción,7,0.0011641443538998836
necesitar,7,0.0011641443538998836
momento,7,0.0011641443538998836
llegar,7,0.0011641443538998836
3,7,0.0011641443538998836
representar,7,0.0011641443538998836
reconocer,7,0.0011641443538998836
identificar,7,0.0011641443538998836
porcentaje,7,0.0011641443538998836
frecuente,7,0.0011641443538998836
