Respuesta,Frecuencia,Asociación
año,2,0.11764705882352941
construcción,1,0.058823529411764705
sexual,1,0.058823529411764705
1,1,0.058823529411764705
edad,1,0.058823529411764705
alto,1,0.058823529411764705
entrada,1,0.058823529411764705
experiencia,1,0.058823529411764705
20,1,0.058823529411764705
expresar,1,0.058823529411764705
biografía,1,0.058823529411764705
proporción,1,0.058823529411764705
varón,1,0.058823529411764705
156,1,0.058823529411764705
25,1,0.058823529411764705
mediano,1,0.058823529411764705
