Respuesta,Frecuencia,Asociación
relación,20,0.008928571428571428
orientación,18,0.008035714285714285
heterosexual,16,0.007142857142857143
bisexual,16,0.007142857142857143
colombia,15,0.006696428571428571
sexual,14,0.00625
hombre,13,0.005803571428571429
deber,12,0.005357142857142857
persona,11,0.004910714285714286
social,10,0.004464285714285714
factor,9,0.0040178571428571425
identidad,9,0.0040178571428571425
político,9,0.0040178571428571425
forma,8,0.0035714285714285713
orientación_sexual,8,0.0035714285714285713
práctica,8,0.0035714285714285713
derecho,8,0.0035714285714285713
ejercicio,7,0.003125
grupo,7,0.003125
pareja,7,0.003125
conducta,7,0.003125
experiencia,7,0.003125
sexo,7,0.003125
mujer,7,0.003125
vida,7,0.003125
mitad,7,0.003125
tratar,6,0.0026785714285714286
población,6,0.0026785714285714286
momento,6,0.0026785714285714286
terapia,6,0.0026785714285714286
actitud,6,0.0026785714285714286
ciudadanía,6,0.0026785714285714286
tipo,5,0.002232142857142857
género,5,0.002232142857142857
caso,5,0.002232142857142857
psicológico,5,0.002232142857142857
incluir,5,0.002232142857142857
sociedad,5,0.002232142857142857
5,5,0.002232142857142857
llamar,5,0.002232142857142857
clase,5,0.002232142857142857
homosexualidad,5,0.002232142857142857
década,5,0.002232142857142857
activista,5,0.002232142857142857
espacio,5,0.002232142857142857
patrón,5,0.002232142857142857
sexualidad,4,0.0017857142857142857
encontrar,4,0.0017857142857142857
país,4,0.0017857142857142857
constituir,4,0.0017857142857142857
interacción,4,0.0017857142857142857
2,4,0.0017857142857142857
lugar,4,0.0017857142857142857
1,4,0.0017857142857142857
3,4,0.0017857142857142857
expresión,4,0.0017857142857142857
ejemplo,4,0.0017857142857142857
10,4,0.0017857142857142857
comunidad,4,0.0017857142857142857
mental,4,0.0017857142857142857
normal,4,0.0017857142857142857
deseo,4,0.0017857142857142857
fuerza,4,0.0017857142857142857
ciudadano,4,0.0017857142857142857
minoría,4,0.0017857142857142857
adopción,4,0.0017857142857142857
cotidiano,4,0.0017857142857142857
aceptar,4,0.0017857142857142857
reportar,4,0.0017857142857142857
personal,4,0.0017857142857142857
atención,4,0.0017857142857142857
x,4,0.0017857142857142857
término,3,0.0013392857142857143
lenguaje,3,0.0013392857142857143
explicar,3,0.0013392857142857143
proceso,3,0.0013392857142857143
diverso,3,0.0013392857142857143
