Respuesta,Frecuencia,Asociación
cambio,10,0.011961722488038277
usuario,8,0.009569377990430622
mujer,8,0.009569377990430622
método,7,0.008373205741626795
1,6,0.007177033492822967
año,5,0.005980861244019139
efecto,5,0.005980861244019139
diu,5,0.005980861244019139
tratamiento,5,0.005980861244019139
inyectable,5,0.005980861244019139
estudio,4,0.004784688995215311
2,4,0.004784688995215311
utilizar,4,0.004784688995215311
producción,4,0.004784688995215311
proceso,3,0.0035885167464114833
seguir,3,0.0035885167464114833
contar,3,0.0035885167464114833
mexicano,3,0.0035885167464114833
salud,3,0.0035885167464114833
etapa,3,0.0035885167464114833
tipo,3,0.0035885167464114833
género,3,0.0035885167464114833
orientación_sexual,3,0.0035885167464114833
femenino,3,0.0035885167464114833
actividad,3,0.0035885167464114833
do,3,0.0035885167464114833
21,3,0.0035885167464114833
médico,3,0.0035885167464114833
sexo,3,0.0035885167464114833
experimentar,3,0.0035885167464114833
anticonceptivo,3,0.0035885167464114833
testosterona,3,0.0035885167464114833
colateral,3,0.0035885167464114833
temporal,3,0.0035885167464114833
sexualidad,2,0.0023923444976076554
problema,2,0.0023923444976076554
barrera,2,0.0023923444976076554
población,2,0.0023923444976076554
existir,2,0.0023923444976076554
factor,2,0.0023923444976076554
interacción,2,0.0023923444976076554
meta,2,0.0023923444976076554
objetivo,2,0.0023923444976076554
corresponder,2,0.0023923444976076554
énfasis,2,0.0023923444976076554
secundario,2,0.0023923444976076554
caso,2,0.0023923444976076554
biológico,2,0.0023923444976076554
cuerpo,2,0.0023923444976076554
oral,2,0.0023923444976076554
disminución,2,0.0023923444976076554
individuo,2,0.0023923444976076554
terapia,2,0.0023923444976076554
edad,2,0.0023923444976076554
peso,2,0.0023923444976076554
persona,2,0.0023923444976076554
referir,2,0.0023923444976076554
1999,2,0.0023923444976076554
sistema,2,0.0023923444976076554
vivir,2,0.0023923444976076554
adolescente,2,0.0023923444976076554
adolescencia,2,0.0023923444976076554
crecimiento,2,0.0023923444976076554
menor,2,0.0023923444976076554
físico,2,0.0023923444976076554
homosexual,2,0.0023923444976076554
genital,2,0.0023923444976076554
gobierno,2,0.0023923444976076554
entrevistar,2,0.0023923444976076554
órgano,2,0.0023923444976076554
vagina,2,0.0023923444976076554
fisiología,2,0.0023923444976076554
escoger,2,0.0023923444976076554
varón,2,0.0023923444976076554
señalar,2,0.0023923444976076554
reproducción,2,0.0023923444976076554
evolución,2,0.0023923444976076554
12,2,0.0023923444976076554
cápsula,2,0.0023923444976076554
emocional,2,0.0023923444976076554
paciente,2,0.0023923444976076554
nervioso,2,0.0023923444976076554
innato,2,0.0023923444976076554
resultante,2,0.0023923444976076554
selección,2,0.0023923444976076554
connell,2,0.0023923444976076554
dowsett,2,0.0023923444976076554
1984,2,0.0023923444976076554
operación,2,0.0023923444976076554
fecundidad,2,0.0023923444976076554
aceptación,2,0.0023923444976076554
demográfico,2,0.0023923444976076554
implante_subdérmico,2,0.0023923444976076554
subdérmico,2,0.0023923444976076554
ambiente,2,0.0023923444976076554
testículo,2,0.0023923444976076554
feto,2,0.0023923444976076554
secreción,2,0.0023923444976076554
cíclico,2,0.0023923444976076554
ovario,2,0.0023923444976076554
eje,2,0.0023923444976076554
autoimagen,2,0.0023923444976076554
elasticidad,2,0.0023923444976076554
diagnosticar,2,0.0023923444976076554
cerebral,2,0.0023923444976076554
masculinización,2,0.0023923444976076554
estradiol,2,0.0023923444976076554
diario,2,0.0023923444976076554
demanda,2,0.0023923444976076554
esterilización,2,0.0023923444976076554
32,2,0.0023923444976076554
inyectables12,2,0.0023923444976076554
ong,2,0.0023923444976076554
determinación,1,0.0011961722488038277
artículo,1,0.0011961722488038277
proponer,1,0.0011961722488038277
término,1,0.0011961722488038277
área,1,0.0011961722488038277
estudiar,1,0.0011961722488038277
etcétera,1,0.0011961722488038277
proyecto,1,0.0011961722488038277
intentar,1,0.0011961722488038277
específico,1,0.0011961722488038277
humano,1,0.0011961722488038277
encontrar,1,0.0011961722488038277
elemento,1,0.0011961722488038277
social,1,0.0011961722488038277
construcción,1,0.0011961722488038277
conocimiento,1,0.0011961722488038277
país,1,0.0011961722488038277
permitir,1,0.0011961722488038277
común,1,0.0011961722488038277
deber,1,0.0011961722488038277
especialista,1,0.0011961722488038277
general,1,0.0011961722488038277
necesario,1,0.0011961722488038277
mayoría,1,0.0011961722488038277
información,1,0.0011961722488038277
responder,1,0.0011961722488038277
suponer,1,0.0011961722488038277
principalmente,1,0.0011961722488038277
necesidad,1,0.0011961722488038277
particular,1,0.0011961722488038277
programa,1,0.0011961722488038277
forma,1,0.0011961722488038277
informar,1,0.0011961722488038277
riesgo,1,0.0011961722488038277
sexual,1,0.0011961722488038277
buscar,1,0.0011961722488038277
relacionar,1,0.0011961722488038277
fuente,1,0.0011961722488038277
disponible,1,0.0011961722488038277
mencionar,1,0.0011961722488038277
investigación,1,0.0011961722488038277
presentar,1,0.0011961722488038277
grupo,1,0.0011961722488038277
desarrollo,1,0.0011961722488038277
central,1,0.0011961722488038277
cabo,1,0.0011961722488038277
análisis,1,0.0011961722488038277
amplio,1,0.0011961722488038277
necesitar,1,0.0011961722488038277
momento,1,0.0011961722488038277
ayuda,1,0.0011961722488038277
dirigir,1,0.0011961722488038277
producto,1,0.0011961722488038277
cuyo,1,0.0011961722488038277
principal,1,0.0011961722488038277
contribuir,1,0.0011961722488038277
público,1,0.0011961722488038277
fase,1,0.0011961722488038277
elaboración,1,0.0011961722488038277
importante,1,0.0011961722488038277
carácter,1,0.0011961722488038277
explicación,1,0.0011961722488038277
pensar,1,0.0011961722488038277
niño,1,0.0011961722488038277
b,1,0.0011961722488038277
adulto,1,0.0011961722488038277
finalmente,1,0.0011961722488038277
punto,1,0.0011961722488038277
obtener,1,0.0011961722488038277
adecuar,1,0.0011961722488038277
libre,1,0.0011961722488038277
descartar,1,0.0011961722488038277
llegar,1,0.0011961722488038277
mejorar,1,0.0011961722488038277
cubrir,1,0.0011961722488038277
tamaño,1,0.0011961722488038277
3,1,0.0011961722488038277
4,1,0.0011961722488038277
consistir,1,0.0011961722488038277
derivar,1,0.0011961722488038277
número,1,0.0011961722488038277
variar,1,0.0011961722488038277
complicar,1,0.0011961722488038277
establecer,1,0.0011961722488038277
condicionar,1,0.0011961722488038277
tomar,1,0.0011961722488038277
variación,1,0.0011961722488038277
cumplir,1,0.0011961722488038277
requisito,1,0.0011961722488038277
nivel,1,0.0011961722488038277
diferenciación,1,0.0011961722488038277
actualmente,1,0.0011961722488038277
estructura,1,0.0011961722488038277
sección,1,0.0011961722488038277
