Respuesta,Frecuencia,Asociación
trabajo,3,0.04838709677419355
discusión,2,0.03225806451612903
asimismo,2,0.03225806451612903
resultado,2,0.03225806451612903
condón,2,0.03225806451612903
área,1,0.016129032258064516
método,1,0.016129032258064516
conocimiento,1,0.016129032258064516
desarrollo,1,0.016129032258064516
proporcionar,1,0.016129032258064516
cuyo,1,0.016129032258064516
importante,1,0.016129032258064516
finalmente,1,0.016129032258064516
punto,1,0.016129032258064516
clasificación,1,0.016129032258064516
sitio,1,0.016129032258064516
3,1,0.016129032258064516
indicar,1,0.016129032258064516
realidad,1,0.016129032258064516
trabajar,1,0.016129032258064516
relación_sexual,1,0.016129032258064516
transmisión,1,0.016129032258064516
prevención,1,0.016129032258064516
servicio,1,0.016129032258064516
generalizar,1,0.016129032258064516
asignar,1,0.016129032258064516
determinar,1,0.016129032258064516
mujer,1,0.016129032258064516
genital,1,0.016129032258064516
parecer,1,0.016129032258064516
quitar,1,0.016129032258064516
eficaz,1,0.016129032258064516
vih,1,0.016129032258064516
favor,1,0.016129032258064516
intervención,1,0.016129032258064516
empezar,1,0.016129032258064516
proveer,1,0.016129032258064516
administración,1,0.016129032258064516
lavar,1,0.016129032258064516
reportar,1,0.016129032258064516
151,1,0.016129032258064516
soler,1,0.016129032258064516
categoría,1,0.016129032258064516
calle,1,0.016129032258064516
prestar,1,0.016129032258064516
aludir,1,0.016129032258064516
31,1,0.016129032258064516
delegación,1,0.016129032258064516
trabajador_sexual,1,0.016129032258064516
consistente,1,0.016129032258064516
bar,1,0.016129032258064516
cuarto,1,0.016129032258064516
baño,1,0.016129032258064516
n103,1,0.016129032258064516
n50,1,0.016129032258064516
cuauhtémoc,1,0.016129032258064516
