Respuesta,Frecuencia,Asociación
problema,4,0.028985507246376812
resolver,3,0.021739130434782608
idea,3,0.021739130434782608
desprender,3,0.021739130434782608
capacidad,3,0.021739130434782608
creencia,3,0.021739130434782608
exposición,3,0.021739130434782608
provocar,3,0.021739130434782608
adulto,2,0.014492753623188406
4,2,0.014492753623188406
masculino,2,0.014492753623188406
adolescente,2,0.014492753623188406
actuar,2,0.014492753623188406
ingrediente,2,0.014492753623188406
artículo,1,0.007246376811594203
tratar,1,0.007246376811594203
social,1,0.007246376811594203
acercar,1,0.007246376811594203
deber,1,0.007246376811594203
necesidad,1,0.007246376811594203
educación,1,0.007246376811594203
forma,1,0.007246376811594203
resultar,1,0.007246376811594203
adicional,1,0.007246376811594203
asegurar,1,0.007246376811594203
llegar,1,0.007246376811594203
3,1,0.007246376811594203
caso,1,0.007246376811594203
nivel,1,0.007246376811594203
incluir,1,0.007246376811594203
estimulación,1,0.007246376811594203
desarrollar,1,0.007246376811594203
pareja,1,0.007246376811594203
función,1,0.007246376811594203
edad,1,0.007246376811594203
referir,1,0.007246376811594203
cosa,1,0.007246376811594203
porcentaje,1,0.007246376811594203
generalmente,1,0.007246376811594203
relativo,1,0.007246376811594203
situación,1,0.007246376811594203
conducta,1,0.007246376811594203
aprender,1,0.007246376811594203
cuestionar,1,0.007246376811594203
20,1,0.007246376811594203
afectivo,1,0.007246376811594203
exclusivamente,1,0.007246376811594203
normal,1,0.007246376811594203
clínico,1,0.007246376811594203
sufrir,1,0.007246376811594203
heterosexual,1,0.007246376811594203
aspecto,1,0.007246376811594203
mitad,1,0.007246376811594203
causa,1,0.007246376811594203
hombre,1,0.007246376811594203
permanecer,1,0.007246376811594203
percibir,1,0.007246376811594203
varón,1,0.007246376811594203
pene,1,0.007246376811594203
pequeño,1,0.007246376811594203
carecer,1,0.007246376811594203
extremo,1,0.007246376811594203
combinación,1,0.007246376811594203
adquirir,1,0.007246376811594203
ético,1,0.007246376811594203
abandonar,1,0.007246376811594203
vulnerabilidad,1,0.007246376811594203
bajar,1,0.007246376811594203
absolutamente,1,0.007246376811594203
invitar,1,0.007246376811594203
revista,1,0.007246376811594203
nature,1,0.007246376811594203
tímido,1,0.007246376811594203
conducir,1,0.007246376811594203
incierto,1,0.007246376811594203
punta,1,0.007246376811594203
iceberg,1,0.007246376811594203
causar,1,0.007246376811594203
genitales,1,0.007246376811594203
psicólogo,1,0.007246376811594203
seguramente,1,0.007246376811594203
encabezar,1,0.007246376811594203
irreal,1,0.007246376811594203
fisiológico,1,0.007246376811594203
estilo,1,0.007246376811594203
agresividad,1,0.007246376811594203
psiquiatra,1,0.007246376811594203
notablemente,1,0.007246376811594203
umbral,1,0.007246376811594203
insoportable,1,0.007246376811594203
disfunción_eréctil,1,0.007246376811594203
covid19,1,0.007246376811594203
lacovid,1,0.007246376811594203
the,1,0.007246376811594203
new,1,0.007246376811594203
york,1,0.007246376811594203
timar,1,0.007246376811594203
elcoronavirus,1,0.007246376811594203
jubilación,1,0.007246376811594203
sernotoria,1,0.007246376811594203
franco,1,0.007246376811594203
insensibilidad,1,0.007246376811594203
degeneración,1,0.007246376811594203
neural,1,0.007246376811594203
anciano,1,0.007246376811594203
diabetes,1,0.007246376811594203
mellitus,1,0.007246376811594203
diabético,1,0.007246376811594203
nodiabéticas,1,0.007246376811594203
disfunción,1,0.007246376811594203
nervioso,1,0.007246376811594203
solitario,1,0.007246376811594203
exhibicionista,1,0.007246376811594203
taciturno,1,0.007246376811594203
sumiso,1,0.007246376811594203
