Respuesta,Frecuencia,Asociación
deseo,2,0.058823529411764705
mujer,2,0.058823529411764705
resolver,1,0.029411764705882353
concepto,1,0.029411764705882353
suponer,1,0.029411764705882353
sexual,1,0.029411764705882353
llegar,1,0.029411764705882353
orgasmo,1,0.029411764705882353
ende,1,0.029411764705882353
considerar,1,0.029411764705882353
contención,1,0.029411764705882353
oponer,1,0.029411764705882353
hijo,1,0.029411764705882353
hombre,1,0.029411764705882353
generar,1,0.029411764705882353
potencia,1,0.029411764705882353
incapaz,1,0.029411764705882353
obligatorio,1,0.029411764705882353
tensión,1,0.029411764705882353
simplemente,1,0.029411764705882353
castidad,1,0.029411764705882353
ejército,1,0.029411764705882353
engendrar,1,0.029411764705882353
sahumado,1,0.029411764705882353
huanarpu,1,0.029411764705882353
chutarpu,1,0.029411764705882353
sutarpu,1,0.029411764705882353
huallaquita,1,0.029411764705882353
pecar,1,0.029411764705882353
untar,1,0.029411764705882353
refregar,1,0.029411764705882353
frígido,1,0.029411764705882353
