Respuesta,Frecuencia,Asociación
público,2,0.02564102564102564
acto,2,0.02564102564102564
artículo,1,0.01282051282051282
lenguaje,1,0.01282051282051282
elemento,1,0.01282051282051282
cultural,1,0.01282051282051282
concepto,1,0.01282051282051282
deber,1,0.01282051282051282
lugar,1,0.01282051282051282
calificar,1,0.01282051282051282
libre,1,0.01282051282051282
utilizar,1,0.01282051282051282
cuerpo,1,0.01282051282051282
cultura,1,0.01282051282051282
producción,1,0.01282051282051282
dejar,1,0.01282051282051282
do,1,0.01282051282051282
minucioso,1,0.01282051282051282
práctica,1,0.01282051282051282
considerar,1,0.01282051282051282
físico,1,0.01282051282051282
secreto,1,0.01282051282051282
época,1,0.01282051282051282
urbano,1,0.01282051282051282
vida,1,0.01282051282051282
fantasía,1,0.01282051282051282
comunicar,1,0.01282051282051282
costumbre,1,0.01282051282051282
parecer,1,0.01282051282051282
confesión,1,0.01282051282051282
cotidiano,1,0.01282051282051282
cercanía,1,0.01282051282051282
mirada,1,0.01282051282051282
imponer,1,0.01282051282051282
cometer,1,0.01282051282051282
intimidad,1,0.01282051282051282
transformación,1,0.01282051282051282
examen,1,0.01282051282051282
públicamente,1,0.01282051282051282
consumo,1,0.01282051282051282
prostituta,1,0.01282051282051282
excitar,1,0.01282051282051282
obligatorio,1,0.01282051282051282
ocasión,1,0.01282051282051282
intencional,1,0.01282051282051282
pudor,1,0.01282051282051282
contrario,1,0.01282051282051282
liberar,1,0.01282051282051282
soledad,1,0.01282051282051282
clima,1,0.01282051282051282
distintivo,1,0.01282051282051282
prostitución,1,0.01282051282051282
clandestinizados,1,0.01282051282051282
fiesta,1,0.01282051282051282
diversión,1,0.01282051282051282
subversivo,1,0.01282051282051282
humorístico,1,0.01282051282051282
exhibición,1,0.01282051282051282
transexuales,1,0.01282051282051282
somático,1,0.01282051282051282
concilio,1,0.01282051282051282
trento,1,0.01282051282051282
develamiento,1,0.01282051282051282
penar,1,0.01282051282051282
confesor,1,0.01282051282051282
consumidor,1,0.01282051282051282
pornografía,1,0.01282051282051282
atrapar,1,0.01282051282051282
exhibicionismo,1,0.01282051282051282
voyeurismo,1,0.01282051282051282
masa,1,0.01282051282051282
mercantilizar,1,0.01282051282051282
ofender,1,0.01282051282051282
decencia,1,0.01282051282051282
licencioso,1,0.01282051282051282
teniéndose,1,0.01282051282051282
