Respuesta,Frecuencia,Asociación
cultura,10,0.007836990595611285
sexual,9,0.007053291536050157
social,8,0.006269592476489028
relación,8,0.006269592476489028
consentir,8,0.006269592476489028
hermano,7,0.0054858934169279
derecho,6,0.004702194357366771
emoción,6,0.004702194357366771
tabú,5,0.003918495297805642
regulación,5,0.003918495297805642
prohibición,5,0.003918495297805642
incestuoso,5,0.003918495297805642
repugnancia,5,0.003918495297805642
humano,4,0.003134796238244514
existir,4,0.003134796238244514
constituir,4,0.003134796238244514
cuestión,4,0.003134796238244514
práctica,4,0.003134796238244514
mujer,4,0.003134796238244514
obstante,4,0.003134796238244514
jurídico,4,0.003134796238244514
precisamente,4,0.003134796238244514
horror,4,0.003134796238244514
animal,4,0.003134796238244514
tío,4,0.003134796238244514
proceso,3,0.0023510971786833857
diverso,3,0.0023510971786833857
tema,3,0.0023510971786833857
permitir,3,0.0023510971786833857
deber,3,0.0023510971786833857
necesario,3,0.0023510971786833857
responder,3,0.0023510971786833857
año,3,0.0023510971786833857
estudio,3,0.0023510971786833857
cualquiera,3,0.0023510971786833857
adulto,3,0.0023510971786833857
1,3,0.0023510971786833857
idea,3,0.0023510971786833857
límite,3,0.0023510971786833857
visión,3,0.0023510971786833857
abuso,3,0.0023510971786833857
familia,3,0.0023510971786833857
campo,3,0.0023510971786833857
persona,3,0.0023510971786833857
marcar,3,0.0023510971786833857
producción,3,0.0023510971786833857
naturaleza,3,0.0023510971786833857
situación,3,0.0023510971786833857
conducta,3,0.0023510971786833857
experiencia,3,0.0023510971786833857
convertir,3,0.0023510971786833857
plantear,3,0.0023510971786833857
deseo,3,0.0023510971786833857
heterosexual,3,0.0023510971786833857
violación,3,0.0023510971786833857
hijo,3,0.0023510971786833857
casar,3,0.0023510971786833857
natural,3,0.0023510971786833857
madre,3,0.0023510971786833857
remitir,3,0.0023510971786833857
sostener,3,0.0023510971786833857
moderno,3,0.0023510971786833857
consentimiento,3,0.0023510971786833857
paso,3,0.0023510971786833857
significante,3,0.0023510971786833857
activar,3,0.0023510971786833857
universal,3,0.0023510971786833857
lévistrauss,3,0.0023510971786833857
interdicción,3,0.0023510971786833857
alzar,3,0.0023510971786833857
abyecto,3,0.0023510971786833857
sexualidad,2,0.001567398119122257
explicar,2,0.001567398119122257
seguir,2,0.001567398119122257
base,2,0.001567398119122257
creación,2,0.001567398119122257
basar,2,0.001567398119122257
específico,2,0.001567398119122257
abordar,2,0.001567398119122257
cantidad,2,0.001567398119122257
cultural,2,0.001567398119122257
país,2,0.001567398119122257
contar,2,0.001567398119122257
criterio,2,0.001567398119122257
particular,2,0.001567398119122257
2000,2,0.001567398119122257
relacionar,2,0.001567398119122257
grupo,2,0.001567398119122257
superar,2,0.001567398119122257
depender,2,0.001567398119122257
énfasis,2,0.001567398119122257
explicación,2,0.001567398119122257
punto,2,0.001567398119122257
publicación,2,0.001567398119122257
llegar,2,0.001567398119122257
asociación,2,0.001567398119122257
duda,2,0.001567398119122257
establecer,2,0.001567398119122257
realidad,2,0.001567398119122257
caso,2,0.001567398119122257
placer,2,0.001567398119122257
relación_sexual,2,0.001567398119122257
función,2,0.001567398119122257
sociedad,2,0.001567398119122257
tiempo,2,0.001567398119122257
posibilidad,2,0.001567398119122257
referencia,2,0.001567398119122257
reconocimiento,2,0.001567398119122257
discusión,2,0.001567398119122257
referir,2,0.001567398119122257
fenómeno,2,0.001567398119122257
cosa,2,0.001567398119122257
ejemplo,2,0.001567398119122257
condición,2,0.001567398119122257
analizar,2,0.001567398119122257
orden,2,0.001567398119122257
2005,2,0.001567398119122257
apoyo,2,0.001567398119122257
aplicar,2,0.001567398119122257
vivir,2,0.001567398119122257
preocupación,2,0.001567398119122257
protagonista,2,0.001567398119122257
menor,2,0.001567398119122257
entrevista,2,0.001567398119122257
2007,2,0.001567398119122257
comunidad,2,0.001567398119122257
